"rep","method","tree","splits","model_type","num.trees","K","p","n","setting_id"
1,"grad",1,18,"hte",100,16,5,10000,"1"
1,"grad",2,17,"hte",100,16,5,10000,"1"
1,"grad",3,17,"hte",100,16,5,10000,"1"
1,"grad",4,18,"hte",100,16,5,10000,"1"
1,"grad",5,18,"hte",100,16,5,10000,"1"
1,"grad",6,18,"hte",100,16,5,10000,"1"
1,"grad",7,17,"hte",100,16,5,10000,"1"
1,"grad",8,18,"hte",100,16,5,10000,"1"
1,"grad",9,18,"hte",100,16,5,10000,"1"
1,"grad",10,17,"hte",100,16,5,10000,"1"
1,"grad",11,18,"hte",100,16,5,10000,"1"
1,"grad",12,19,"hte",100,16,5,10000,"1"
1,"grad",13,16,"hte",100,16,5,10000,"1"
1,"grad",14,16,"hte",100,16,5,10000,"1"
1,"grad",15,17,"hte",100,16,5,10000,"1"
1,"grad",16,18,"hte",100,16,5,10000,"1"
1,"grad",17,18,"hte",100,16,5,10000,"1"
1,"grad",18,17,"hte",100,16,5,10000,"1"
1,"grad",19,18,"hte",100,16,5,10000,"1"
1,"grad",20,18,"hte",100,16,5,10000,"1"
1,"grad",21,18,"hte",100,16,5,10000,"1"
1,"grad",22,16,"hte",100,16,5,10000,"1"
1,"grad",23,17,"hte",100,16,5,10000,"1"
1,"grad",24,16,"hte",100,16,5,10000,"1"
1,"grad",25,19,"hte",100,16,5,10000,"1"
1,"grad",26,18,"hte",100,16,5,10000,"1"
1,"grad",27,17,"hte",100,16,5,10000,"1"
1,"grad",28,16,"hte",100,16,5,10000,"1"
1,"grad",29,16,"hte",100,16,5,10000,"1"
1,"grad",30,15,"hte",100,16,5,10000,"1"
1,"grad",31,17,"hte",100,16,5,10000,"1"
1,"grad",32,17,"hte",100,16,5,10000,"1"
1,"grad",33,17,"hte",100,16,5,10000,"1"
1,"grad",34,15,"hte",100,16,5,10000,"1"
1,"grad",35,19,"hte",100,16,5,10000,"1"
1,"grad",36,16,"hte",100,16,5,10000,"1"
1,"grad",37,16,"hte",100,16,5,10000,"1"
1,"grad",38,18,"hte",100,16,5,10000,"1"
1,"grad",39,16,"hte",100,16,5,10000,"1"
1,"grad",40,18,"hte",100,16,5,10000,"1"
1,"grad",41,16,"hte",100,16,5,10000,"1"
1,"grad",42,18,"hte",100,16,5,10000,"1"
1,"grad",43,17,"hte",100,16,5,10000,"1"
1,"grad",44,17,"hte",100,16,5,10000,"1"
1,"grad",45,16,"hte",100,16,5,10000,"1"
1,"grad",46,19,"hte",100,16,5,10000,"1"
1,"grad",47,17,"hte",100,16,5,10000,"1"
1,"grad",48,18,"hte",100,16,5,10000,"1"
1,"grad",49,17,"hte",100,16,5,10000,"1"
1,"grad",50,16,"hte",100,16,5,10000,"1"
1,"grad",51,17,"hte",100,16,5,10000,"1"
1,"grad",52,15,"hte",100,16,5,10000,"1"
1,"grad",53,19,"hte",100,16,5,10000,"1"
1,"grad",54,16,"hte",100,16,5,10000,"1"
1,"grad",55,17,"hte",100,16,5,10000,"1"
1,"grad",56,19,"hte",100,16,5,10000,"1"
1,"grad",57,18,"hte",100,16,5,10000,"1"
1,"grad",58,16,"hte",100,16,5,10000,"1"
1,"grad",59,18,"hte",100,16,5,10000,"1"
1,"grad",60,19,"hte",100,16,5,10000,"1"
1,"grad",61,18,"hte",100,16,5,10000,"1"
1,"grad",62,19,"hte",100,16,5,10000,"1"
1,"grad",63,17,"hte",100,16,5,10000,"1"
1,"grad",64,17,"hte",100,16,5,10000,"1"
1,"grad",65,17,"hte",100,16,5,10000,"1"
1,"grad",66,18,"hte",100,16,5,10000,"1"
1,"grad",67,17,"hte",100,16,5,10000,"1"
1,"grad",68,17,"hte",100,16,5,10000,"1"
1,"grad",69,16,"hte",100,16,5,10000,"1"
1,"grad",70,19,"hte",100,16,5,10000,"1"
1,"grad",71,16,"hte",100,16,5,10000,"1"
1,"grad",72,18,"hte",100,16,5,10000,"1"
1,"grad",73,18,"hte",100,16,5,10000,"1"
1,"grad",74,18,"hte",100,16,5,10000,"1"
1,"grad",75,16,"hte",100,16,5,10000,"1"
1,"grad",76,17,"hte",100,16,5,10000,"1"
1,"grad",77,16,"hte",100,16,5,10000,"1"
1,"grad",78,17,"hte",100,16,5,10000,"1"
1,"grad",79,17,"hte",100,16,5,10000,"1"
1,"grad",80,17,"hte",100,16,5,10000,"1"
1,"grad",81,18,"hte",100,16,5,10000,"1"
1,"grad",82,19,"hte",100,16,5,10000,"1"
1,"grad",83,17,"hte",100,16,5,10000,"1"
1,"grad",84,17,"hte",100,16,5,10000,"1"
1,"grad",85,17,"hte",100,16,5,10000,"1"
1,"grad",86,18,"hte",100,16,5,10000,"1"
1,"grad",87,17,"hte",100,16,5,10000,"1"
1,"grad",88,18,"hte",100,16,5,10000,"1"
1,"grad",89,16,"hte",100,16,5,10000,"1"
1,"grad",90,16,"hte",100,16,5,10000,"1"
1,"grad",91,16,"hte",100,16,5,10000,"1"
1,"grad",92,16,"hte",100,16,5,10000,"1"
1,"grad",93,17,"hte",100,16,5,10000,"1"
1,"grad",94,19,"hte",100,16,5,10000,"1"
1,"grad",95,15,"hte",100,16,5,10000,"1"
1,"grad",96,18,"hte",100,16,5,10000,"1"
1,"grad",97,18,"hte",100,16,5,10000,"1"
1,"grad",98,18,"hte",100,16,5,10000,"1"
1,"grad",99,14,"hte",100,16,5,10000,"1"
1,"grad",100,17,"hte",100,16,5,10000,"1"
1,"fpt1",1,17,"hte",100,16,5,10000,"1"
1,"fpt1",2,19,"hte",100,16,5,10000,"1"
1,"fpt1",3,18,"hte",100,16,5,10000,"1"
1,"fpt1",4,18,"hte",100,16,5,10000,"1"
1,"fpt1",5,18,"hte",100,16,5,10000,"1"
1,"fpt1",6,18,"hte",100,16,5,10000,"1"
1,"fpt1",7,16,"hte",100,16,5,10000,"1"
1,"fpt1",8,17,"hte",100,16,5,10000,"1"
1,"fpt1",9,17,"hte",100,16,5,10000,"1"
1,"fpt1",10,18,"hte",100,16,5,10000,"1"
1,"fpt1",11,17,"hte",100,16,5,10000,"1"
1,"fpt1",12,17,"hte",100,16,5,10000,"1"
1,"fpt1",13,17,"hte",100,16,5,10000,"1"
1,"fpt1",14,20,"hte",100,16,5,10000,"1"
1,"fpt1",15,20,"hte",100,16,5,10000,"1"
1,"fpt1",16,17,"hte",100,16,5,10000,"1"
1,"fpt1",17,19,"hte",100,16,5,10000,"1"
1,"fpt1",18,17,"hte",100,16,5,10000,"1"
1,"fpt1",19,19,"hte",100,16,5,10000,"1"
1,"fpt1",20,16,"hte",100,16,5,10000,"1"
1,"fpt1",21,18,"hte",100,16,5,10000,"1"
1,"fpt1",22,18,"hte",100,16,5,10000,"1"
1,"fpt1",23,17,"hte",100,16,5,10000,"1"
1,"fpt1",24,17,"hte",100,16,5,10000,"1"
1,"fpt1",25,15,"hte",100,16,5,10000,"1"
1,"fpt1",26,15,"hte",100,16,5,10000,"1"
1,"fpt1",27,15,"hte",100,16,5,10000,"1"
1,"fpt1",28,16,"hte",100,16,5,10000,"1"
1,"fpt1",29,14,"hte",100,16,5,10000,"1"
1,"fpt1",30,18,"hte",100,16,5,10000,"1"
1,"fpt1",31,18,"hte",100,16,5,10000,"1"
1,"fpt1",32,18,"hte",100,16,5,10000,"1"
1,"fpt1",33,16,"hte",100,16,5,10000,"1"
1,"fpt1",34,17,"hte",100,16,5,10000,"1"
1,"fpt1",35,18,"hte",100,16,5,10000,"1"
1,"fpt1",36,17,"hte",100,16,5,10000,"1"
1,"fpt1",37,17,"hte",100,16,5,10000,"1"
1,"fpt1",38,18,"hte",100,16,5,10000,"1"
1,"fpt1",39,16,"hte",100,16,5,10000,"1"
1,"fpt1",40,17,"hte",100,16,5,10000,"1"
1,"fpt1",41,17,"hte",100,16,5,10000,"1"
1,"fpt1",42,18,"hte",100,16,5,10000,"1"
1,"fpt1",43,18,"hte",100,16,5,10000,"1"
1,"fpt1",44,17,"hte",100,16,5,10000,"1"
1,"fpt1",45,17,"hte",100,16,5,10000,"1"
1,"fpt1",46,17,"hte",100,16,5,10000,"1"
1,"fpt1",47,17,"hte",100,16,5,10000,"1"
1,"fpt1",48,16,"hte",100,16,5,10000,"1"
1,"fpt1",49,17,"hte",100,16,5,10000,"1"
1,"fpt1",50,19,"hte",100,16,5,10000,"1"
1,"fpt1",51,16,"hte",100,16,5,10000,"1"
1,"fpt1",52,17,"hte",100,16,5,10000,"1"
1,"fpt1",53,17,"hte",100,16,5,10000,"1"
1,"fpt1",54,16,"hte",100,16,5,10000,"1"
1,"fpt1",55,17,"hte",100,16,5,10000,"1"
1,"fpt1",56,16,"hte",100,16,5,10000,"1"
1,"fpt1",57,16,"hte",100,16,5,10000,"1"
1,"fpt1",58,17,"hte",100,16,5,10000,"1"
1,"fpt1",59,16,"hte",100,16,5,10000,"1"
1,"fpt1",60,16,"hte",100,16,5,10000,"1"
1,"fpt1",61,17,"hte",100,16,5,10000,"1"
1,"fpt1",62,18,"hte",100,16,5,10000,"1"
1,"fpt1",63,17,"hte",100,16,5,10000,"1"
1,"fpt1",64,17,"hte",100,16,5,10000,"1"
1,"fpt1",65,15,"hte",100,16,5,10000,"1"
1,"fpt1",66,17,"hte",100,16,5,10000,"1"
1,"fpt1",67,16,"hte",100,16,5,10000,"1"
1,"fpt1",68,16,"hte",100,16,5,10000,"1"
1,"fpt1",69,17,"hte",100,16,5,10000,"1"
1,"fpt1",70,17,"hte",100,16,5,10000,"1"
1,"fpt1",71,18,"hte",100,16,5,10000,"1"
1,"fpt1",72,17,"hte",100,16,5,10000,"1"
1,"fpt1",73,17,"hte",100,16,5,10000,"1"
1,"fpt1",74,16,"hte",100,16,5,10000,"1"
1,"fpt1",75,16,"hte",100,16,5,10000,"1"
1,"fpt1",76,16,"hte",100,16,5,10000,"1"
1,"fpt1",77,15,"hte",100,16,5,10000,"1"
1,"fpt1",78,16,"hte",100,16,5,10000,"1"
1,"fpt1",79,18,"hte",100,16,5,10000,"1"
1,"fpt1",80,18,"hte",100,16,5,10000,"1"
1,"fpt1",81,17,"hte",100,16,5,10000,"1"
1,"fpt1",82,18,"hte",100,16,5,10000,"1"
1,"fpt1",83,18,"hte",100,16,5,10000,"1"
1,"fpt1",84,19,"hte",100,16,5,10000,"1"
1,"fpt1",85,16,"hte",100,16,5,10000,"1"
1,"fpt1",86,15,"hte",100,16,5,10000,"1"
1,"fpt1",87,17,"hte",100,16,5,10000,"1"
1,"fpt1",88,16,"hte",100,16,5,10000,"1"
1,"fpt1",89,17,"hte",100,16,5,10000,"1"
1,"fpt1",90,16,"hte",100,16,5,10000,"1"
1,"fpt1",91,18,"hte",100,16,5,10000,"1"
1,"fpt1",92,17,"hte",100,16,5,10000,"1"
1,"fpt1",93,18,"hte",100,16,5,10000,"1"
1,"fpt1",94,16,"hte",100,16,5,10000,"1"
1,"fpt1",95,17,"hte",100,16,5,10000,"1"
1,"fpt1",96,18,"hte",100,16,5,10000,"1"
1,"fpt1",97,17,"hte",100,16,5,10000,"1"
1,"fpt1",98,16,"hte",100,16,5,10000,"1"
1,"fpt1",99,19,"hte",100,16,5,10000,"1"
1,"fpt1",100,17,"hte",100,16,5,10000,"1"
1,"fpt2",1,17,"hte",100,16,5,10000,"1"
1,"fpt2",2,19,"hte",100,16,5,10000,"1"
1,"fpt2",3,18,"hte",100,16,5,10000,"1"
1,"fpt2",4,18,"hte",100,16,5,10000,"1"
1,"fpt2",5,18,"hte",100,16,5,10000,"1"
1,"fpt2",6,17,"hte",100,16,5,10000,"1"
1,"fpt2",7,17,"hte",100,16,5,10000,"1"
1,"fpt2",8,17,"hte",100,16,5,10000,"1"
1,"fpt2",9,16,"hte",100,16,5,10000,"1"
1,"fpt2",10,19,"hte",100,16,5,10000,"1"
1,"fpt2",11,18,"hte",100,16,5,10000,"1"
1,"fpt2",12,17,"hte",100,16,5,10000,"1"
1,"fpt2",13,17,"hte",100,16,5,10000,"1"
1,"fpt2",14,20,"hte",100,16,5,10000,"1"
1,"fpt2",15,20,"hte",100,16,5,10000,"1"
1,"fpt2",16,17,"hte",100,16,5,10000,"1"
1,"fpt2",17,19,"hte",100,16,5,10000,"1"
