"rep","method","tree","splits","model_type","num.trees","K","p","n","setting_id"
1,"grad",1,373,"vcm",100,16,5,10000,"1"
1,"grad",2,359,"vcm",100,16,5,10000,"1"
1,"grad",3,395,"vcm",100,16,5,10000,"1"
1,"grad",4,390,"vcm",100,16,5,10000,"1"
1,"grad",5,388,"vcm",100,16,5,10000,"1"
1,"grad",6,385,"vcm",100,16,5,10000,"1"
1,"grad",7,401,"vcm",100,16,5,10000,"1"
1,"grad",8,396,"vcm",100,16,5,10000,"1"
1,"grad",9,399,"vcm",100,16,5,10000,"1"
1,"grad",10,389,"vcm",100,16,5,10000,"1"
1,"grad",11,410,"vcm",100,16,5,10000,"1"
1,"grad",12,393,"vcm",100,16,5,10000,"1"
1,"grad",13,387,"vcm",100,16,5,10000,"1"
1,"grad",14,384,"vcm",100,16,5,10000,"1"
1,"grad",15,405,"vcm",100,16,5,10000,"1"
1,"grad",16,404,"vcm",100,16,5,10000,"1"
1,"grad",17,373,"vcm",100,16,5,10000,"1"
1,"grad",18,401,"vcm",100,16,5,10000,"1"
1,"grad",19,388,"vcm",100,16,5,10000,"1"
1,"grad",20,410,"vcm",100,16,5,10000,"1"
1,"grad",21,380,"vcm",100,16,5,10000,"1"
1,"grad",22,406,"vcm",100,16,5,10000,"1"
1,"grad",23,379,"vcm",100,16,5,10000,"1"
1,"grad",24,372,"vcm",100,16,5,10000,"1"
1,"grad",25,398,"vcm",100,16,5,10000,"1"
1,"grad",26,378,"vcm",100,16,5,10000,"1"
1,"grad",27,395,"vcm",100,16,5,10000,"1"
1,"grad",28,416,"vcm",100,16,5,10000,"1"
1,"grad",29,385,"vcm",100,16,5,10000,"1"
1,"grad",30,384,"vcm",100,16,5,10000,"1"
1,"grad",31,393,"vcm",100,16,5,10000,"1"
1,"grad",32,390,"vcm",100,16,5,10000,"1"
1,"grad",33,357,"vcm",100,16,5,10000,"1"
1,"grad",34,379,"vcm",100,16,5,10000,"1"
1,"grad",35,356,"vcm",100,16,5,10000,"1"
1,"grad",36,409,"vcm",100,16,5,10000,"1"
1,"grad",37,392,"vcm",100,16,5,10000,"1"
1,"grad",38,384,"vcm",100,16,5,10000,"1"
1,"grad",39,400,"vcm",100,16,5,10000,"1"
1,"grad",40,396,"vcm",100,16,5,10000,"1"
1,"grad",41,386,"vcm",100,16,5,10000,"1"
