"rep","method","tree","splits","model_type","num.trees","K","p","n","setting_id"
1,"grad",1,13,"hte",100,4,2,2000,"3"
1,"grad",2,14,"hte",100,4,2,2000,"3"
1,"grad",3,14,"hte",100,4,2,2000,"3"
1,"grad",4,15,"hte",100,4,2,2000,"3"
1,"grad",5,15,"hte",100,4,2,2000,"3"
1,"grad",6,16,"hte",100,4,2,2000,"3"
1,"grad",7,14,"hte",100,4,2,2000,"3"
1,"grad",8,14,"hte",100,4,2,2000,"3"
1,"grad",9,14,"hte",100,4,2,2000,"3"
1,"grad",10,14,"hte",100,4,2,2000,"3"
1,"grad",11,16,"hte",100,4,2,2000,"3"
1,"grad",12,14,"hte",100,4,2,2000,"3"
1,"grad",13,15,"hte",100,4,2,2000,"3"
1,"grad",14,13,"hte",100,4,2,2000,"3"
1,"grad",15,14,"hte",100,4,2,2000,"3"
1,"grad",16,14,"hte",100,4,2,2000,"3"
1,"grad",17,14,"hte",100,4,2,2000,"3"
1,"grad",18,16,"hte",100,4,2,2000,"3"
1,"grad",19,13,"hte",100,4,2,2000,"3"
1,"grad",20,13,"hte",100,4,2,2000,"3"
1,"grad",21,14,"hte",100,4,2,2000,"3"
1,"grad",22,14,"hte",100,4,2,2000,"3"
1,"grad",23,14,"hte",100,4,2,2000,"3"
1,"grad",24,13,"hte",100,4,2,2000,"3"
1,"grad",25,14,"hte",100,4,2,2000,"3"
1,"grad",26,13,"hte",100,4,2,2000,"3"
1,"grad",27,14,"hte",100,4,2,2000,"3"
1,"grad",28,13,"hte",100,4,2,2000,"3"
1,"grad",29,13,"hte",100,4,2,2000,"3"
1,"grad",30,13,"hte",100,4,2,2000,"3"
1,"grad",31,15,"hte",100,4,2,2000,"3"
1,"grad",32,13,"hte",100,4,2,2000,"3"
1,"grad",33,16,"hte",100,4,2,2000,"3"
1,"grad",34,13,"hte",100,4,2,2000,"3"
1,"grad",35,14,"hte",100,4,2,2000,"3"
1,"grad",36,13,"hte",100,4,2,2000,"3"
1,"grad",37,15,"hte",100,4,2,2000,"3"
1,"grad",38,14,"hte",100,4,2,2000,"3"
1,"grad",39,13,"hte",100,4,2,2000,"3"
1,"grad",40,15,"hte",100,4,2,2000,"3"
1,"grad",41,15,"hte",100,4,2,2000,"3"
1,"grad",42,14,"hte",100,4,2,2000,"3"
1,"grad",43,15,"hte",100,4,2,2000,"3"
1,"grad",44,15,"hte",100,4,2,2000,"3"
1,"grad",45,14,"hte",100,4,2,2000,"3"
1,"grad",46,13,"hte",100,4,2,2000,"3"
1,"grad",47,15,"hte",100,4,2,2000,"3"
1,"grad",48,13,"hte",100,4,2,2000,"3"
1,"grad",49,14,"hte",100,4,2,2000,"3"
1,"grad",50,15,"hte",100,4,2,2000,"3"
1,"grad",51,13,"hte",100,4,2,2000,"3"
1,"grad",52,14,"hte",100,4,2,2000,"3"
1,"grad",53,13,"hte",100,4,2,2000,"3"
1,"grad",54,13,"hte",100,4,2,2000,"3"
1,"grad",55,13,"hte",100,4,2,2000,"3"
1,"grad",56,12,"hte",100,4,2,2000,"3"
1,"grad",57,15,"hte",100,4,2,2000,"3"
1,"grad",58,13,"hte",100,4,2,2000,"3"
1,"grad",59,14,"hte",100,4,2,2000,"3"
1,"grad",60,15,"hte",100,4,2,2000,"3"
1,"grad",61,15,"hte",100,4,2,2000,"3"
1,"grad",62,14,"hte",100,4,2,2000,"3"
1,"grad",63,15,"hte",100,4,2,2000,"3"
1,"grad",64,15,"hte",100,4,2,2000,"3"
1,"grad",65,13,"hte",100,4,2,2000,"3"
1,"grad",66,14,"hte",100,4,2,2000,"3"
1,"grad",67,13,"hte",100,4,2,2000,"3"
1,"grad",68,14,"hte",100,4,2,2000,"3"
1,"grad",69,14,"hte",100,4,2,2000,"3"
1,"grad",70,16,"hte",100,4,2,2000,"3"
1,"grad",71,12,"hte",100,4,2,2000,"3"
1,"grad",72,13,"hte",100,4,2,2000,"3"
1,"grad",73,14,"hte",100,4,2,2000,"3"
1,"grad",74,14,"hte",100,4,2,2000,"3"
1,"grad",75,12,"hte",100,4,2,2000,"3"
1,"grad",76,16,"hte",100,4,2,2000,"3"
1,"grad",77,12,"hte",100,4,2,2000,"3"
1,"grad",78,13,"hte",100,4,2,2000,"3"
1,"grad",79,13,"hte",100,4,2,2000,"3"
1,"grad",80,14,"hte",100,4,2,2000,"3"
1,"grad",81,15,"hte",100,4,2,2000,"3"
1,"grad",82,13,"hte",100,4,2,2000,"3"
1,"grad",83,12,"hte",100,4,2,2000,"3"
1,"grad",84,15,"hte",100,4,2,2000,"3"
1,"grad",85,15,"hte",100,4,2,2000,"3"
1,"grad",86,12,"hte",100,4,2,2000,"3"
1,"grad",87,15,"hte",100,4,2,2000,"3"
1,"grad",88,14,"hte",100,4,2,2000,"3"
1,"grad",89,13,"hte",100,4,2,2000,"3"
1,"grad",90,14,"hte",100,4,2,2000,"3"
1,"grad",91,13,"hte",100,4,2,2000,"3"
1,"grad",92,16,"hte",100,4,2,2000,"3"
1,"grad",93,15,"hte",100,4,2,2000,"3"
1,"grad",94,13,"hte",100,4,2,2000,"3"
1,"grad",95,15,"hte",100,4,2,2000,"3"
1,"grad",96,12,"hte",100,4,2,2000,"3"
1,"grad",97,13,"hte",100,4,2,2000,"3"
1,"grad",98,15,"hte",100,4,2,2000,"3"
1,"grad",99,15,"hte",100,4,2,2000,"3"
1,"grad",100,14,"hte",100,4,2,2000,"3"
1,"fpt1",1,13,"hte",100,4,2,2000,"3"
1,"fpt1",2,12,"hte",100,4,2,2000,"3"
1,"fpt1",3,15,"hte",100,4,2,2000,"3"
1,"fpt1",4,15,"hte",100,4,2,2000,"3"
1,"fpt1",5,15,"hte",100,4,2,2000,"3"
1,"fpt1",6,13,"hte",100,4,2,2000,"3"
1,"fpt1",7,14,"hte",100,4,2,2000,"3"
1,"fpt1",8,14,"hte",100,4,2,2000,"3"
1,"fpt1",9,13,"hte",100,4,2,2000,"3"
1,"fpt1",10,14,"hte",100,4,2,2000,"3"
1,"fpt1",11,14,"hte",100,4,2,2000,"3"
1,"fpt1",12,16,"hte",100,4,2,2000,"3"
1,"fpt1",13,15,"hte",100,4,2,2000,"3"
1,"fpt1",14,14,"hte",100,4,2,2000,"3"
1,"fpt1",15,12,"hte",100,4,2,2000,"3"
1,"fpt1",16,14,"hte",100,4,2,2000,"3"
1,"fpt1",17,15,"hte",100,4,2,2000,"3"
1,"fpt1",18,16,"hte",100,4,2,2000,"3"
1,"fpt1",19,13,"hte",100,4,2,2000,"3"
1,"fpt1",20,15,"hte",100,4,2,2000,"3"
1,"fpt1",21,13,"hte",100,4,2,2000,"3"
1,"fpt1",22,16,"hte",100,4,2,2000,"3"
1,"fpt1",23,16,"hte",100,4,2,2000,"3"
1,"fpt1",24,13,"hte",100,4,2,2000,"3"
1,"fpt1",25,14,"hte",100,4,2,2000,"3"
1,"fpt1",26,14,"hte",100,4,2,2000,"3"
1,"fpt1",27,13,"hte",100,4,2,2000,"3"
