"method","rep","iter","gc","gc0","gc1","gc2","time","model_type","num.trees","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,0.306664922041818,"hte",500,16,2,1000,"5"
"grad",1,2,FALSE,0,0,0,0.276347059872933,"hte",500,16,2,1000,"5"
"grad",1,3,FALSE,0,0,0,0.280684291967191,"hte",500,16,2,1000,"5"
"grad",1,4,FALSE,0,0,0,0.282731557963416,"hte",500,16,2,1000,"5"
"grad",1,5,TRUE,1,0,0,0.317167019005865,"hte",500,16,2,1000,"5"
"grad",1,6,FALSE,0,0,0,0.28056566498708,"hte",500,16,2,1000,"5"
"grad",1,7,FALSE,0,0,0,0.28264260198921,"hte",500,16,2,1000,"5"
"grad",1,8,FALSE,0,0,0,0.281021718052216,"hte",500,16,2,1000,"5"
"grad",1,9,FALSE,0,0,0,0.280505241942592,"hte",500,16,2,1000,"5"
"grad",1,10,FALSE,0,0,0,0.280416653957218,"hte",500,16,2,1000,"5"
"fpt1",1,1,FALSE,0,0,0,0.265004563960247,"hte",500,16,2,1000,"5"
"fpt1",1,2,FALSE,0,0,0,0.238066099002026,"hte",500,16,2,1000,"5"
"fpt1",1,3,TRUE,1,0,0,0.255318055860698,"hte",500,16,2,1000,"5"
"fpt1",1,4,FALSE,0,0,0,0.270564047852531,"hte",500,16,2,1000,"5"
"fpt1",1,5,FALSE,0,0,0,0.246471217949875,"hte",500,16,2,1000,"5"
"fpt1",1,6,FALSE,0,0,0,0.245103520923294,"hte",500,16,2,1000,"5"
"fpt1",1,7,FALSE,0,0,0,0.280947547988035,"hte",500,16,2,1000,"5"
"fpt1",1,8,TRUE,1,0,0,0.284012560965493,"hte",500,16,2,1000,"5"
"fpt1",1,9,FALSE,0,0,0,0.244514058926143,"hte",500,16,2,1000,"5"
"fpt1",1,10,FALSE,0,0,0,0.243504691985436,"hte",500,16,2,1000,"5"
"fpt2",1,1,TRUE,1,0,0,0.252435704111122,"hte",500,16,2,1000,"5"
"fpt2",1,2,FALSE,0,0,0,0.254050092073157,"hte",500,16,2,1000,"5"
"fpt2",1,3,TRUE,0,1,0,0.287038545124233,"hte",500,16,2,1000,"5"
"fpt2",1,4,FALSE,0,0,0,0.249415787053294,"hte",500,16,2,1000,"5"
"fpt2",1,5,FALSE,0,0,0,0.258220076095313,"hte",500,16,2,1000,"5"
"fpt2",1,6,FALSE,0,0,0,0.249030919047073,"hte",500,16,2,1000,"5"
"fpt2",1,7,FALSE,0,0,0,0.223079962073825,"hte",500,16,2,1000,"5"
"fpt2",1,8,TRUE,1,0,0,0.23577001306694,"hte",500,16,2,1000,"5"
"fpt2",1,9,FALSE,0,0,0,0.223018465097994,"hte",500,16,2,1000,"5"
"fpt2",1,10,FALSE,0,0,0,0.224206709070131,"hte",500,16,2,1000,"5"
