"rep","method","tree","splits","model_type","num.trees","K","p","n","setting_id"
1,"grad",1,3,"hte",100,16,2,4000,"2"
1,"grad",2,3,"hte",100,16,2,4000,"2"
1,"grad",3,3,"hte",100,16,2,4000,"2"
1,"grad",4,3,"hte",100,16,2,4000,"2"
1,"grad",5,3,"hte",100,16,2,4000,"2"
1,"grad",6,2,"hte",100,16,2,4000,"2"
1,"grad",7,2,"hte",100,16,2,4000,"2"
1,"grad",8,3,"hte",100,16,2,4000,"2"
1,"grad",9,3,"hte",100,16,2,4000,"2"
1,"grad",10,3,"hte",100,16,2,4000,"2"
1,"grad",11,4,"hte",100,16,2,4000,"2"
1,"grad",12,3,"hte",100,16,2,4000,"2"
1,"grad",13,3,"hte",100,16,2,4000,"2"
1,"grad",14,3,"hte",100,16,2,4000,"2"
1,"grad",15,3,"hte",100,16,2,4000,"2"
1,"grad",16,3,"hte",100,16,2,4000,"2"
1,"grad",17,3,"hte",100,16,2,4000,"2"
1,"grad",18,3,"hte",100,16,2,4000,"2"
1,"grad",19,3,"hte",100,16,2,4000,"2"
1,"grad",20,4,"hte",100,16,2,4000,"2"
1,"grad",21,3,"hte",100,16,2,4000,"2"
1,"grad",22,3,"hte",100,16,2,4000,"2"
1,"grad",23,3,"hte",100,16,2,4000,"2"
1,"grad",24,3,"hte",100,16,2,4000,"2"
1,"grad",25,3,"hte",100,16,2,4000,"2"
1,"grad",26,3,"hte",100,16,2,4000,"2"
1,"grad",27,3,"hte",100,16,2,4000,"2"
1,"grad",28,4,"hte",100,16,2,4000,"2"
1,"grad",29,3,"hte",100,16,2,4000,"2"
1,"grad",30,4,"hte",100,16,2,4000,"2"
1,"grad",31,3,"hte",100,16,2,4000,"2"
1,"grad",32,3,"hte",100,16,2,4000,"2"
1,"grad",33,3,"hte",100,16,2,4000,"2"
1,"grad",34,3,"hte",100,16,2,4000,"2"
1,"grad",35,2,"hte",100,16,2,4000,"2"
1,"grad",36,4,"hte",100,16,2,4000,"2"
1,"grad",37,3,"hte",100,16,2,4000,"2"
1,"grad",38,4,"hte",100,16,2,4000,"2"
1,"grad",39,3,"hte",100,16,2,4000,"2"
1,"grad",40,3,"hte",100,16,2,4000,"2"
1,"grad",41,2,"hte",100,16,2,4000,"2"
1,"grad",42,3,"hte",100,16,2,4000,"2"
1,"grad",43,3,"hte",100,16,2,4000,"2"
1,"grad",44,4,"hte",100,16,2,4000,"2"
1,"grad",45,2,"hte",100,16,2,4000,"2"
1,"grad",46,3,"hte",100,16,2,4000,"2"
1,"grad",47,3,"hte",100,16,2,4000,"2"
1,"grad",48,4,"hte",100,16,2,4000,"2"
1,"grad",49,3,"hte",100,16,2,4000,"2"
1,"grad",50,3,"hte",100,16,2,4000,"2"
1,"grad",51,3,"hte",100,16,2,4000,"2"
1,"grad",52,3,"hte",100,16,2,4000,"2"
1,"grad",53,3,"hte",100,16,2,4000,"2"
1,"grad",54,4,"hte",100,16,2,4000,"2"
1,"grad",55,4,"hte",100,16,2,4000,"2"
1,"grad",56,3,"hte",100,16,2,4000,"2"
1,"grad",57,4,"hte",100,16,2,4000,"2"
1,"grad",58,2,"hte",100,16,2,4000,"2"
1,"grad",59,3,"hte",100,16,2,4000,"2"
1,"grad",60,3,"hte",100,16,2,4000,"2"
1,"grad",61,3,"hte",100,16,2,4000,"2"
1,"grad",62,3,"hte",100,16,2,4000,"2"
1,"grad",63,3,"hte",100,16,2,4000,"2"
1,"grad",64,3,"hte",100,16,2,4000,"2"
1,"grad",65,3,"hte",100,16,2,4000,"2"
1,"grad",66,3,"hte",100,16,2,4000,"2"
1,"grad",67,4,"hte",100,16,2,4000,"2"
1,"grad",68,3,"hte",100,16,2,4000,"2"
1,"grad",69,3,"hte",100,16,2,4000,"2"
1,"grad",70,2,"hte",100,16,2,4000,"2"
1,"grad",71,2,"hte",100,16,2,4000,"2"
1,"grad",72,3,"hte",100,16,2,4000,"2"
1,"grad",73,4,"hte",100,16,2,4000,"2"
1,"grad",74,3,"hte",100,16,2,4000,"2"
1,"grad",75,3,"hte",100,16,2,4000,"2"
1,"grad",76,3,"hte",100,16,2,4000,"2"
1,"grad",77,3,"hte",100,16,2,4000,"2"
1,"grad",78,3,"hte",100,16,2,4000,"2"
1,"grad",79,3,"hte",100,16,2,4000,"2"
1,"grad",80,2,"hte",100,16,2,4000,"2"
1,"grad",81,4,"hte",100,16,2,4000,"2"
1,"grad",82,2,"hte",100,16,2,4000,"2"
1,"grad",83,3,"hte",100,16,2,4000,"2"
1,"grad",84,3,"hte",100,16,2,4000,"2"
1,"grad",85,3,"hte",100,16,2,4000,"2"
1,"grad",86,3,"hte",100,16,2,4000,"2"
1,"grad",87,3,"hte",100,16,2,4000,"2"
1,"grad",88,3,"hte",100,16,2,4000,"2"
1,"grad",89,3,"hte",100,16,2,4000,"2"
1,"grad",90,3,"hte",100,16,2,4000,"2"
1,"grad",91,2,"hte",100,16,2,4000,"2"
1,"grad",92,3,"hte",100,16,2,4000,"2"
1,"grad",93,3,"hte",100,16,2,4000,"2"
1,"grad",94,5,"hte",100,16,2,4000,"2"
1,"grad",95,3,"hte",100,16,2,4000,"2"
1,"grad",96,3,"hte",100,16,2,4000,"2"
1,"grad",97,3,"hte",100,16,2,4000,"2"
1,"grad",98,3,"hte",100,16,2,4000,"2"
1,"grad",99,3,"hte",100,16,2,4000,"2"
1,"grad",100,4,"hte",100,16,2,4000,"2"
1,"fpt1",1,3,"hte",100,16,2,4000,"2"
1,"fpt1",2,3,"hte",100,16,2,4000,"2"
1,"fpt1",3,3,"hte",100,16,2,4000,"2"
1,"fpt1",4,3,"hte",100,16,2,4000,"2"
1,"fpt1",5,3,"hte",100,16,2,4000,"2"
1,"fpt1",6,4,"hte",100,16,2,4000,"2"
1,"fpt1",7,2,"hte",100,16,2,4000,"2"
1,"fpt1",8,3,"hte",100,16,2,4000,"2"
1,"fpt1",9,3,"hte",100,16,2,4000,"2"
1,"fpt1",10,3,"hte",100,16,2,4000,"2"
1,"fpt1",11,2,"hte",100,16,2,4000,"2"
1,"fpt1",12,2,"hte",100,16,2,4000,"2"
1,"fpt1",13,3,"hte",100,16,2,4000,"2"
1,"fpt1",14,4,"hte",100,16,2,4000,"2"
1,"fpt1",15,3,"hte",100,16,2,4000,"2"
1,"fpt1",16,3,"hte",100,16,2,4000,"2"
1,"fpt1",17,4,"hte",100,16,2,4000,"2"
1,"fpt1",18,3,"hte",100,16,2,4000,"2"
1,"fpt1",19,3,"hte",100,16,2,4000,"2"
1,"fpt1",20,2,"hte",100,16,2,4000,"2"
1,"fpt1",21,3,"hte",100,16,2,4000,"2"
1,"fpt1",22,2,"hte",100,16,2,4000,"2"
1,"fpt1",23,3,"hte",100,16,2,4000,"2"
1,"fpt1",24,3,"hte",100,16,2,4000,"2"
1,"fpt1",25,3,"hte",100,16,2,4000,"2"
1,"fpt1",26,3,"hte",100,16,2,4000,"2"
1,"fpt1",27,4,"hte",100,16,2,4000,"2"
1,"fpt1",28,3,"hte",100,16,2,4000,"2"
1,"fpt1",29,3,"hte",100,16,2,4000,"2"
1,"fpt1",30,3,"hte",100,16,2,4000,"2"
1,"fpt1",31,3,"hte",100,16,2,4000,"2"
1,"fpt1",32,4,"hte",100,16,2,4000,"2"
1,"fpt1",33,3,"hte",100,16,2,4000,"2"
1,"fpt1",34,3,"hte",100,16,2,4000,"2"
1,"fpt1",35,2,"hte",100,16,2,4000,"2"
1,"fpt1",36,3,"hte",100,16,2,4000,"2"
1,"fpt1",37,3,"hte",100,16,2,4000,"2"
1,"fpt1",38,3,"hte",100,16,2,4000,"2"
1,"fpt1",39,2,"hte",100,16,2,4000,"2"
1,"fpt1",40,2,"hte",100,16,2,4000,"2"
1,"fpt1",41,4,"hte",100,16,2,4000,"2"
1,"fpt1",42,3,"hte",100,16,2,4000,"2"
1,"fpt1",43,3,"hte",100,16,2,4000,"2"
1,"fpt1",44,3,"hte",100,16,2,4000,"2"
1,"fpt1",45,3,"hte",100,16,2,4000,"2"
1,"fpt1",46,3,"hte",100,16,2,4000,"2"
1,"fpt1",47,3,"hte",100,16,2,4000,"2"
1,"fpt1",48,3,"hte",100,16,2,4000,"2"
1,"fpt1",49,3,"hte",100,16,2,4000,"2"
1,"fpt1",50,3,"hte",100,16,2,4000,"2"
1,"fpt1",51,3,"hte",100,16,2,4000,"2"
1,"fpt1",52,4,"hte",100,16,2,4000,"2"
1,"fpt1",53,2,"hte",100,16,2,4000,"2"
1,"fpt1",54,4,"hte",100,16,2,4000,"2"
1,"fpt1",55,4,"hte",100,16,2,4000,"2"
1,"fpt1",56,3,"hte",100,16,2,4000,"2"
1,"fpt1",57,4,"hte",100,16,2,4000,"2"
1,"fpt1",58,2,"hte",100,16,2,4000,"2"
1,"fpt1",59,3,"hte",100,16,2,4000,"2"
1,"fpt1",60,3,"hte",100,16,2,4000,"2"
1,"fpt1",61,3,"hte",100,16,2,4000,"2"
1,"fpt1",62,3,"hte",100,16,2,4000,"2"
1,"fpt1",63,3,"hte",100,16,2,4000,"2"
1,"fpt1",64,2,"hte",100,16,2,4000,"2"
1,"fpt1",65,3,"hte",100,16,2,4000,"2"
1,"fpt1",66,3,"hte",100,16,2,4000,"2"
1,"fpt1",67,3,"hte",100,16,2,4000,"2"
1,"fpt1",68,3,"hte",100,16,2,4000,"2"
1,"fpt1",69,4,"hte",100,16,2,4000,"2"
1,"fpt1",70,3,"hte",100,16,2,4000,"2"
1,"fpt1",71,3,"hte",100,16,2,4000,"2"
1,"fpt1",72,3,"hte",100,16,2,4000,"2"
1,"fpt1",73,3,"hte",100,16,2,4000,"2"
1,"fpt1",74,3,"hte",100,16,2,4000,"2"
1,"fpt1",75,3,"hte",100,16,2,4000,"2"
1,"fpt1",76,3,"hte",100,16,2,4000,"2"
1,"fpt1",77,3,"hte",100,16,2,4000,"2"
1,"fpt1",78,3,"hte",100,16,2,4000,"2"
1,"fpt1",79,3,"hte",100,16,2,4000,"2"
1,"fpt1",80,3,"hte",100,16,2,4000,"2"
1,"fpt1",81,3,"hte",100,16,2,4000,"2"
1,"fpt1",82,4,"hte",100,16,2,4000,"2"
1,"fpt1",83,3,"hte",100,16,2,4000,"2"
1,"fpt1",84,2,"hte",100,16,2,4000,"2"
1,"fpt1",85,3,"hte",100,16,2,4000,"2"
1,"fpt1",86,3,"hte",100,16,2,4000,"2"
1,"fpt1",87,3,"hte",100,16,2,4000,"2"
1,"fpt1",88,3,"hte",100,16,2,4000,"2"
1,"fpt1",89,3,"hte",100,16,2,4000,"2"
1,"fpt1",90,3,"hte",100,16,2,4000,"2"
1,"fpt1",91,3,"hte",100,16,2,4000,"2"
1,"fpt1",92,3,"hte",100,16,2,4000,"2"
1,"fpt1",93,4,"hte",100,16,2,4000,"2"
1,"fpt1",94,5,"hte",100,16,2,4000,"2"
1,"fpt1",95,3,"hte",100,16,2,4000,"2"
1,"fpt1",96,3,"hte",100,16,2,4000,"2"
1,"fpt1",97,3,"hte",100,16,2,4000,"2"
1,"fpt1",98,3,"hte",100,16,2,4000,"2"
1,"fpt1",99,4,"hte",100,16,2,4000,"2"
1,"fpt1",100,4,"hte",100,16,2,4000,"2"
1,"fpt2",1,3,"hte",100,16,2,4000,"2"
1,"fpt2",2,3,"hte",100,16,2,4000,"2"
1,"fpt2",3,3,"hte",100,16,2,4000,"2"
1,"fpt2",4,3,"hte",100,16,2,4000,"2"
1,"fpt2",5,3,"hte",100,16,2,4000,"2"
1,"fpt2",6,4,"hte",100,16,2,4000,"2"
1,"fpt2",7,2,"hte",100,16,2,4000,"2"
1,"fpt2",8,3,"hte",100,16,2,4000,"2"
1,"fpt2",9,3,"hte",100,16,2,4000,"2"
1,"fpt2",10,3,"hte",100,16,2,4000,"2"
1,"fpt2",11,3,"hte",100,16,2,4000,"2"
1,"fpt2",12,2,"hte",100,16,2,4000,"2"
1,"fpt2",13,3,"hte",100,16,2,4000,"2"
1,"fpt2",14,4,"hte",100,16,2,4000,"2"
1,"fpt2",15,3,"hte",100,16,2,4000,"2"
1,"fpt2",16,3,"hte",100,16,2,4000,"2"
1,"fpt2",17,4,"hte",100,16,2,4000,"2"
1,"fpt2",18,3,"hte",100,16,2,4000,"2"
1,"fpt2",19,4,"hte",100,16,2,4000,"2"
1,"fpt2",20,3,"hte",100,16,2,4000,"2"
1,"fpt2",21,3,"hte",100,16,2,4000,"2"
1,"fpt2",22,2,"hte",100,16,2,4000,"2"
1,"fpt2",23,3,"hte",100,16,2,4000,"2"
1,"fpt2",24,2,"hte",100,16,2,4000,"2"
1,"fpt2",25,3,"hte",100,16,2,4000,"2"
1,"fpt2",26,3,"hte",100,16,2,4000,"2"
1,"fpt2",27,4,"hte",100,16,2,4000,"2"
1,"fpt2",28,3,"hte",100,16,2,4000,"2"
1,"fpt2",29,3,"hte",100,16,2,4000,"2"
1,"fpt2",30,3,"hte",100,16,2,4000,"2"
1,"fpt2",31,3,"hte",100,16,2,4000,"2"
1,"fpt2",32,4,"hte",100,16,2,4000,"2"
1,"fpt2",33,3,"hte",100,16,2,4000,"2"
1,"fpt2",34,3,"hte",100,16,2,4000,"2"
1,"fpt2",35,2,"hte",100,16,2,4000,"2"
1,"fpt2",36,3,"hte",100,16,2,4000,"2"
1,"fpt2",37,3,"hte",100,16,2,4000,"2"
1,"fpt2",38,3,"hte",100,16,2,4000,"2"
1,"fpt2",39,2,"hte",100,16,2,4000,"2"
1,"fpt2",40,2,"hte",100,16,2,4000,"2"
1,"fpt2",41,3,"hte",100,16,2,4000,"2"
1,"fpt2",42,3,"hte",100,16,2,4000,"2"
1,"fpt2",43,4,"hte",100,16,2,4000,"2"
1,"fpt2",44,3,"hte",100,16,2,4000,"2"
1,"fpt2",45,3,"hte",100,16,2,4000,"2"
1,"fpt2",46,3,"hte",100,16,2,4000,"2"
1,"fpt2",47,3,"hte",100,16,2,4000,"2"
1,"fpt2",48,3,"hte",100,16,2,4000,"2"
1,"fpt2",49,3,"hte",100,16,2,4000,"2"
1,"fpt2",50,3,"hte",100,16,2,4000,"2"
1,"fpt2",51,3,"hte",100,16,2,4000,"2"
1,"fpt2",52,4,"hte",100,16,2,4000,"2"
1,"fpt2",53,2,"hte",100,16,2,4000,"2"
1,"fpt2",54,4,"hte",100,16,2,4000,"2"
1,"fpt2",55,3,"hte",100,16,2,4000,"2"
1,"fpt2",56,3,"hte",100,16,2,4000,"2"
1,"fpt2",57,4,"hte",100,16,2,4000,"2"
1,"fpt2",58,2,"hte",100,16,2,4000,"2"
1,"fpt2",59,3,"hte",100,16,2,4000,"2"
1,"fpt2",60,3,"hte",100,16,2,4000,"2"
1,"fpt2",61,3,"hte",100,16,2,4000,"2"
1,"fpt2",62,3,"hte",100,16,2,4000,"2"
1,"fpt2",63,3,"hte",100,16,2,4000,"2"
1,"fpt2",64,2,"hte",100,16,2,4000,"2"
1,"fpt2",65,3,"hte",100,16,2,4000,"2"
1,"fpt2",66,3,"hte",100,16,2,4000,"2"
1,"fpt2",67,3,"hte",100,16,2,4000,"2"
1,"fpt2",68,3,"hte",100,16,2,4000,"2"
1,"fpt2",69,3,"hte",100,16,2,4000,"2"
1,"fpt2",70,2,"hte",100,16,2,4000,"2"
1,"fpt2",71,3,"hte",100,16,2,4000,"2"
1,"fpt2",72,4,"hte",100,16,2,4000,"2"
1,"fpt2",73,3,"hte",100,16,2,4000,"2"
1,"fpt2",74,3,"hte",100,16,2,4000,"2"
1,"fpt2",75,3,"hte",100,16,2,4000,"2"
1,"fpt2",76,3,"hte",100,16,2,4000,"2"
1,"fpt2",77,3,"hte",100,16,2,4000,"2"
1,"fpt2",78,3,"hte",100,16,2,4000,"2"
1,"fpt2",79,3,"hte",100,16,2,4000,"2"
1,"fpt2",80,3,"hte",100,16,2,4000,"2"
1,"fpt2",81,3,"hte",100,16,2,4000,"2"
1,"fpt2",82,4,"hte",100,16,2,4000,"2"
1,"fpt2",83,3,"hte",100,16,2,4000,"2"
1,"fpt2",84,2,"hte",100,16,2,4000,"2"
1,"fpt2",85,3,"hte",100,16,2,4000,"2"
1,"fpt2",86,3,"hte",100,16,2,4000,"2"
1,"fpt2",87,3,"hte",100,16,2,4000,"2"
1,"fpt2",88,3,"hte",100,16,2,4000,"2"
1,"fpt2",89,3,"hte",100,16,2,4000,"2"
1,"fpt2",90,3,"hte",100,16,2,4000,"2"
1,"fpt2",91,3,"hte",100,16,2,4000,"2"
1,"fpt2",92,3,"hte",100,16,2,4000,"2"
1,"fpt2",93,4,"hte",100,16,2,4000,"2"
1,"fpt2",94,5,"hte",100,16,2,4000,"2"
1,"fpt2",95,4,"hte",100,16,2,4000,"2"
1,"fpt2",96,3,"hte",100,16,2,4000,"2"
1,"fpt2",97,3,"hte",100,16,2,4000,"2"
1,"fpt2",98,3,"hte",100,16,2,4000,"2"
1,"fpt2",99,4,"hte",100,16,2,4000,"2"
1,"fpt2",100,4,"hte",100,16,2,4000,"2"
