"method","rep","iter","gc","gc0","gc1","gc2","time","model_type","num.trees","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,0.144693144015037,"hte",250,16,2,1000,"5"
"grad",1,2,FALSE,0,0,0,0.145341004012153,"hte",250,16,2,1000,"5"
"grad",1,3,FALSE,0,0,0,0.145117573090829,"hte",250,16,2,1000,"5"
"grad",1,4,FALSE,0,0,0,0.144770327024162,"hte",250,16,2,1000,"5"
"grad",1,5,FALSE,0,0,0,0.14305635006167,"hte",250,16,2,1000,"5"
"grad",1,6,FALSE,0,0,0,0.143602151074447,"hte",250,16,2,1000,"5"
"grad",1,7,FALSE,0,0,0,0.143736390047707,"hte",250,16,2,1000,"5"
"grad",1,8,FALSE,0,0,0,0.144829226075672,"hte",250,16,2,1000,"5"
"grad",1,9,FALSE,0,0,0,0.145668696030043,"hte",250,16,2,1000,"5"
"grad",1,10,FALSE,0,0,0,0.14572594803758,"hte",250,16,2,1000,"5"
"grad",1,11,FALSE,0,0,0,0.145647524972446,"hte",250,16,2,1000,"5"
"grad",1,12,FALSE,0,0,0,0.146300600958057,"hte",250,16,2,1000,"5"
"grad",1,13,TRUE,1,0,0,0.163414016016759,"hte",250,16,2,1000,"5"
"grad",1,14,FALSE,0,0,0,0.169482161058113,"hte",250,16,2,1000,"5"
"grad",1,15,FALSE,0,0,0,0.14238168601878,"hte",250,16,2,1000,"5"
"fpt1",1,1,FALSE,0,0,0,0.125576643971726,"hte",250,16,2,1000,"5"
"fpt1",1,2,FALSE,0,0,0,0.124975751037709,"hte",250,16,2,1000,"5"
"fpt1",1,3,FALSE,0,0,0,0.125037726014853,"hte",250,16,2,1000,"5"
"fpt1",1,4,FALSE,0,0,0,0.125377274001949,"hte",250,16,2,1000,"5"
"fpt1",1,5,FALSE,0,0,0,0.125630866037682,"hte",250,16,2,1000,"5"
"fpt1",1,6,FALSE,0,0,0,0.126489702030085,"hte",250,16,2,1000,"5"
"fpt1",1,7,FALSE,0,0,0,0.126545092090964,"hte",250,16,2,1000,"5"
"fpt1",1,8,FALSE,0,0,0,0.12514347594697,"hte",250,16,2,1000,"5"
"fpt1",1,9,FALSE,0,0,0,0.125485916971229,"hte",250,16,2,1000,"5"
"fpt1",1,10,TRUE,1,0,0,0.169753278023563,"hte",250,16,2,1000,"5"
"fpt1",1,11,FALSE,0,0,0,0.161742459982634,"hte",250,16,2,1000,"5"
"fpt1",1,12,FALSE,0,0,0,0.162354475003667,"hte",250,16,2,1000,"5"
"fpt1",1,13,FALSE,0,0,0,0.126335151959211,"hte",250,16,2,1000,"5"
"fpt1",1,14,FALSE,0,0,0,0.126383372000419,"hte",250,16,2,1000,"5"
"fpt1",1,15,FALSE,0,0,0,0.125406306004152,"hte",250,16,2,1000,"5"
"fpt2",1,1,FALSE,0,0,0,0.112753674970008,"hte",250,16,2,1000,"5"
"fpt2",1,2,FALSE,0,0,0,0.112643558066338,"hte",250,16,2,1000,"5"
"fpt2",1,3,FALSE,0,0,0,0.113385093049146,"hte",250,16,2,1000,"5"
"fpt2",1,4,FALSE,0,0,0,0.113502552034333,"hte",250,16,2,1000,"5"
"fpt2",1,5,TRUE,1,0,0,0.167409082991071,"hte",250,16,2,1000,"5"
"fpt2",1,6,FALSE,0,0,0,0.115034744027071,"hte",250,16,2,1000,"5"
"fpt2",1,7,FALSE,0,0,0,0.114278727094643,"hte",250,16,2,1000,"5"
"fpt2",1,8,FALSE,0,0,0,0.11389496200718,"hte",250,16,2,1000,"5"
"fpt2",1,9,FALSE,0,0,0,0.114025756949559,"hte",250,16,2,1000,"5"
"fpt2",1,10,FALSE,0,0,0,0.114123226027004,"hte",250,16,2,1000,"5"
"fpt2",1,11,FALSE,0,0,0,0.114039984997362,"hte",250,16,2,1000,"5"
"fpt2",1,12,FALSE,0,0,0,0.113969419966452,"hte",250,16,2,1000,"5"
"fpt2",1,13,FALSE,0,0,0,0.114402972976677,"hte",250,16,2,1000,"5"
"fpt2",1,14,FALSE,0,0,0,0.113908375031315,"hte",250,16,2,1000,"5"
"fpt2",1,15,FALSE,0,0,0,0.113892620080151,"hte",250,16,2,1000,"5"
