"method","rep","iter","gc","gc0","gc1","gc2","time","model_type","num.trees","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,0.883006623014808,"vcm",250,4,2,2000,"4"
"grad",1,2,FALSE,0,0,0,0.882558701909147,"vcm",250,4,2,2000,"4"
"grad",1,3,FALSE,0,0,0,0.874862152966671,"vcm",250,4,2,2000,"4"
"grad",1,4,FALSE,0,0,0,0.88201693596784,"vcm",250,4,2,2000,"4"
"grad",1,5,FALSE,0,0,0,0.879130368004553,"vcm",250,4,2,2000,"4"
"grad",1,6,FALSE,0,0,0,0.884632588946261,"vcm",250,4,2,2000,"4"
"grad",1,7,FALSE,0,0,0,0.884230431984179,"vcm",250,4,2,2000,"4"
"grad",1,8,FALSE,0,0,0,0.87447451998014,"vcm",250,4,2,2000,"4"
"grad",1,9,FALSE,0,0,0,0.879021927947178,"vcm",250,4,2,2000,"4"
"grad",1,10,FALSE,0,0,0,0.887048925971612,"vcm",250,4,2,2000,"4"
"grad",1,11,FALSE,0,0,0,0.885214117937721,"vcm",250,4,2,2000,"4"
"grad",1,12,FALSE,0,0,0,0.887372063007206,"vcm",250,4,2,2000,"4"
"grad",1,13,FALSE,0,0,0,0.888092138920911,"vcm",250,4,2,2000,"4"
"grad",1,14,FALSE,0,0,0,0.885027682990767,"vcm",250,4,2,2000,"4"
"grad",1,15,TRUE,1,0,0,0.961121849017218,"vcm",250,4,2,2000,"4"
"fpt1",1,1,FALSE,0,0,0,0.81947391317226,"vcm",250,4,2,2000,"4"
"fpt1",1,2,FALSE,0,0,0,0.810019368072972,"vcm",250,4,2,2000,"4"
"fpt1",1,3,FALSE,0,0,0,0.819863533019088,"vcm",250,4,2,2000,"4"
"fpt1",1,4,FALSE,0,0,0,0.815001686103642,"vcm",250,4,2,2000,"4"
"fpt1",1,5,FALSE,0,0,0,0.808764695073478,"vcm",250,4,2,2000,"4"
"fpt1",1,6,FALSE,0,0,0,0.821493699098937,"vcm",250,4,2,2000,"4"
"fpt1",1,7,FALSE,0,0,0,0.811360733117908,"vcm",250,4,2,2000,"4"
"fpt1",1,8,FALSE,0,0,0,0.824700588127598,"vcm",250,4,2,2000,"4"
"fpt1",1,9,FALSE,0,0,0,0.814916267059743,"vcm",250,4,2,2000,"4"
"fpt1",1,10,FALSE,0,0,0,0.82248579908628,"vcm",250,4,2,2000,"4"
"fpt1",1,11,FALSE,0,0,0,0.818293879041448,"vcm",250,4,2,2000,"4"
"fpt1",1,12,FALSE,0,0,0,0.801902394159697,"vcm",250,4,2,2000,"4"
"fpt1",1,13,TRUE,1,0,0,0.895309160114266,"vcm",250,4,2,2000,"4"
"fpt1",1,14,FALSE,0,0,0,0.80963708111085,"vcm",250,4,2,2000,"4"
"fpt1",1,15,FALSE,0,0,0,0.799633624148555,"vcm",250,4,2,2000,"4"
"fpt2",1,1,FALSE,0,0,0,0.694080290035345,"vcm",250,4,2,2000,"4"
"fpt2",1,2,FALSE,0,0,0,0.693382617086172,"vcm",250,4,2,2000,"4"
"fpt2",1,3,FALSE,0,0,0,0.693314688047394,"vcm",250,4,2,2000,"4"
"fpt2",1,4,FALSE,0,0,0,0.692897069035098,"vcm",250,4,2,2000,"4"
"fpt2",1,5,FALSE,0,0,0,0.690094820107333,"vcm",250,4,2,2000,"4"
"fpt2",1,6,FALSE,0,0,0,0.69132508605253,"vcm",250,4,2,2000,"4"
"fpt2",1,7,FALSE,0,0,0,0.696528487023897,"vcm",250,4,2,2000,"4"
"fpt2",1,8,FALSE,0,0,0,0.692639524000697,"vcm",250,4,2,2000,"4"
"fpt2",1,9,TRUE,1,0,0,0.767391119967215,"vcm",250,4,2,2000,"4"
"fpt2",1,10,FALSE,0,0,0,0.690410175011493,"vcm",250,4,2,2000,"4"
"fpt2",1,11,FALSE,0,0,0,0.691405325080268,"vcm",250,4,2,2000,"4"
"fpt2",1,12,FALSE,0,0,0,0.68289018701762,"vcm",250,4,2,2000,"4"
"fpt2",1,13,FALSE,0,0,0,0.694118443061598,"vcm",250,4,2,2000,"4"
"fpt2",1,14,FALSE,0,0,0,0.698320721043274,"vcm",250,4,2,2000,"4"
"fpt2",1,15,FALSE,0,0,0,0.696201148093678,"vcm",250,4,2,2000,"4"
