"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,1,0.00351503293495625,TRUE,"hte",16,2,1000,"2"
"grad",1,2,FALSE,0,0,0,1,0.00345191301312298,TRUE,"hte",16,2,1000,"2"
"grad",1,3,FALSE,0,0,0,1,0.00345657696016133,TRUE,"hte",16,2,1000,"2"
"grad",1,4,FALSE,0,0,0,1,0.00345719093456864,TRUE,"hte",16,2,1000,"2"
"grad",1,5,FALSE,0,0,0,1,0.00321492098737508,TRUE,"hte",16,2,1000,"2"
"grad",1,6,FALSE,0,0,0,1,0.00330986094195396,TRUE,"hte",16,2,1000,"2"
"grad",1,7,FALSE,0,0,0,1,0.00329255999531597,TRUE,"hte",16,2,1000,"2"
"grad",1,8,FALSE,0,0,0,1,0.00329882802907377,TRUE,"hte",16,2,1000,"2"
"grad",1,9,FALSE,0,0,0,1,0.00332592392805964,TRUE,"hte",16,2,1000,"2"
"grad",1,10,FALSE,0,0,0,1,0.00331873400136828,TRUE,"hte",16,2,1000,"2"
"fpt1",1,1,FALSE,0,0,0,1,0.00298446707893163,TRUE,"hte",16,2,1000,"2"
"fpt1",1,2,FALSE,0,0,0,1,0.00292195309884846,TRUE,"hte",16,2,1000,"2"
"fpt1",1,3,FALSE,0,0,0,1,0.0028688320890069,TRUE,"hte",16,2,1000,"2"
"fpt1",1,4,FALSE,0,0,0,1,0.00280087511055171,TRUE,"hte",16,2,1000,"2"
"fpt1",1,5,FALSE,0,0,0,1,0.00266312109306455,TRUE,"hte",16,2,1000,"2"
"fpt1",1,6,FALSE,0,0,0,1,0.00276130600832403,TRUE,"hte",16,2,1000,"2"
"fpt1",1,7,FALSE,0,0,0,1,0.00276260613463819,TRUE,"hte",16,2,1000,"2"
"fpt1",1,8,FALSE,0,0,0,1,0.00266154715791345,TRUE,"hte",16,2,1000,"2"
"fpt1",1,9,FALSE,0,0,0,1,0.00275958504062146,TRUE,"hte",16,2,1000,"2"
"fpt1",1,10,FALSE,0,0,0,1,0.00276032218243927,TRUE,"hte",16,2,1000,"2"
"fpt2",1,1,FALSE,0,0,0,1,0.00257792405318469,TRUE,"hte",16,2,1000,"2"
"fpt2",1,2,FALSE,0,0,0,1,0.00237256207037717,TRUE,"hte",16,2,1000,"2"
"fpt2",1,3,FALSE,0,0,0,1,0.00237139407545328,TRUE,"hte",16,2,1000,"2"
"fpt2",1,4,FALSE,0,0,0,1,0.00247254106216133,TRUE,"hte",16,2,1000,"2"
"fpt2",1,5,FALSE,0,0,0,1,0.00241618207655847,TRUE,"hte",16,2,1000,"2"
"fpt2",1,6,FALSE,0,0,0,1,0.0023296361323446,TRUE,"hte",16,2,1000,"2"
"fpt2",1,7,FALSE,0,0,0,1,0.00234273110982031,TRUE,"hte",16,2,1000,"2"
"fpt2",1,8,FALSE,0,0,0,1,0.00241158716380596,TRUE,"hte",16,2,1000,"2"
"fpt2",1,9,FALSE,0,0,0,1,0.00239945808425546,TRUE,"hte",16,2,1000,"2"
"fpt2",1,10,FALSE,0,0,0,1,0.00239789218176156,TRUE,"hte",16,2,1000,"2"
