"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,156,0.102282566134818,FALSE,"hte",16,2,4000,"4"
"grad",1,2,FALSE,0,0,0,156,0.0754362511215732,FALSE,"hte",16,2,4000,"4"
"grad",1,3,FALSE,0,0,0,156,0.0755198390688747,FALSE,"hte",16,2,4000,"4"
"grad",1,4,FALSE,0,0,0,156,0.0763222480891272,FALSE,"hte",16,2,4000,"4"
"grad",1,5,FALSE,0,0,0,156,0.076124141109176,FALSE,"hte",16,2,4000,"4"
"grad",1,6,FALSE,0,0,0,156,0.0763339791446924,FALSE,"hte",16,2,4000,"4"
"grad",1,7,FALSE,0,0,0,156,0.0756345090921968,FALSE,"hte",16,2,4000,"4"
"grad",1,8,FALSE,0,0,0,156,0.0762117380509153,FALSE,"hte",16,2,4000,"4"
"grad",1,9,FALSE,0,0,0,156,0.0762989891227335,FALSE,"hte",16,2,4000,"4"
"grad",1,10,FALSE,0,0,0,156,0.075793483061716,FALSE,"hte",16,2,4000,"4"
"fpt1",1,1,FALSE,0,0,0,159,0.089634879026562,FALSE,"hte",16,2,4000,"4"
"fpt1",1,2,TRUE,1,0,0,159,0.0713303430238739,FALSE,"hte",16,2,4000,"4"
"fpt1",1,3,FALSE,0,0,0,159,0.0631476400885731,FALSE,"hte",16,2,4000,"4"
"fpt1",1,4,FALSE,0,0,0,159,0.0634289880981669,FALSE,"hte",16,2,4000,"4"
"fpt1",1,5,FALSE,0,0,0,159,0.0630735610611737,FALSE,"hte",16,2,4000,"4"
"fpt1",1,6,FALSE,0,0,0,159,0.0631729970918968,FALSE,"hte",16,2,4000,"4"
"fpt1",1,7,FALSE,0,0,0,159,0.0635118790669367,FALSE,"hte",16,2,4000,"4"
"fpt1",1,8,FALSE,0,0,0,159,0.0631900001317263,FALSE,"hte",16,2,4000,"4"
"fpt1",1,9,FALSE,0,0,0,159,0.063351116143167,FALSE,"hte",16,2,4000,"4"
"fpt1",1,10,FALSE,0,0,0,159,0.0632796190911904,FALSE,"hte",16,2,4000,"4"
"fpt2",1,1,FALSE,0,0,0,646,0.0825428930111229,FALSE,"hte",16,2,4000,"4"
"fpt2",1,2,FALSE,0,0,0,646,0.0561381900915876,FALSE,"hte",16,2,4000,"4"
"fpt2",1,3,TRUE,1,0,0,646,0.0685616061091423,FALSE,"hte",16,2,4000,"4"
"fpt2",1,4,FALSE,0,0,0,646,0.0921138169942424,FALSE,"hte",16,2,4000,"4"
"fpt2",1,5,FALSE,0,0,0,646,0.0563481650315225,FALSE,"hte",16,2,4000,"4"
"fpt2",1,6,FALSE,0,0,0,646,0.0565950890304521,FALSE,"hte",16,2,4000,"4"
"fpt2",1,7,FALSE,0,0,0,646,0.0912107840413228,FALSE,"hte",16,2,4000,"4"
"fpt2",1,8,FALSE,0,0,0,646,0.0561163281090558,FALSE,"hte",16,2,4000,"4"
"fpt2",1,9,FALSE,0,0,0,646,0.0563699231715873,FALSE,"hte",16,2,4000,"4"
"fpt2",1,10,FALSE,0,0,0,646,0.0830700730439276,FALSE,"hte",16,2,4000,"4"
