"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,1,0.00846259505487978,TRUE,"vcm",16,2,2000,"1"
"grad",1,2,FALSE,0,0,0,1,0.00461597007233649,TRUE,"vcm",16,2,2000,"1"
"grad",1,3,FALSE,0,0,0,1,0.00448626710567623,TRUE,"vcm",16,2,2000,"1"
"grad",1,4,FALSE,0,0,0,1,0.00470507703721523,TRUE,"vcm",16,2,2000,"1"
"grad",1,5,FALSE,0,0,0,1,0.00468826503492892,TRUE,"vcm",16,2,2000,"1"
"grad",1,6,FALSE,0,0,0,1,0.00453004206065089,TRUE,"vcm",16,2,2000,"1"
"grad",1,7,FALSE,0,0,0,1,0.00463241897523403,TRUE,"vcm",16,2,2000,"1"
"grad",1,8,FALSE,0,0,0,1,0.00468854105565697,TRUE,"vcm",16,2,2000,"1"
"grad",1,9,FALSE,0,0,0,1,0.00464148900937289,TRUE,"vcm",16,2,2000,"1"
"grad",1,10,FALSE,0,0,0,1,0.00448718410916626,TRUE,"vcm",16,2,2000,"1"
"fpt1",1,1,FALSE,0,0,0,1,0.00416150304954499,TRUE,"vcm",16,2,2000,"1"
"fpt1",1,2,FALSE,0,0,0,1,0.00386503303889185,TRUE,"vcm",16,2,2000,"1"
"fpt1",1,3,FALSE,0,0,0,1,0.00412881001830101,TRUE,"vcm",16,2,2000,"1"
"fpt1",1,4,FALSE,0,0,0,1,0.00389119004830718,TRUE,"vcm",16,2,2000,"1"
"fpt1",1,5,FALSE,0,0,0,1,0.00396389199886471,TRUE,"vcm",16,2,2000,"1"
"fpt1",1,6,FALSE,0,0,0,1,0.00402284902520478,TRUE,"vcm",16,2,2000,"1"
"fpt1",1,7,FALSE,0,0,0,1,0.00379906198941171,TRUE,"vcm",16,2,2000,"1"
"fpt1",1,8,FALSE,0,0,0,1,0.00405601505190134,TRUE,"vcm",16,2,2000,"1"
"fpt1",1,9,FALSE,0,0,0,1,0.00390494801104069,TRUE,"vcm",16,2,2000,"1"
"fpt1",1,10,FALSE,0,0,0,1,0.00395613093860447,TRUE,"vcm",16,2,2000,"1"
"fpt2",1,1,FALSE,0,0,0,1,0.00350345799233764,TRUE,"vcm",16,2,2000,"1"
"fpt2",1,2,FALSE,0,0,0,1,0.00368360709398985,TRUE,"vcm",16,2,2000,"1"
"fpt2",1,3,FALSE,0,0,0,1,0.00335790496319532,TRUE,"vcm",16,2,2000,"1"
"fpt2",1,4,FALSE,0,0,0,1,0.00363179296255112,TRUE,"vcm",16,2,2000,"1"
"fpt2",1,5,FALSE,0,0,0,1,0.00342999200802296,TRUE,"vcm",16,2,2000,"1"
"fpt2",1,6,FALSE,0,0,0,1,0.00363033299800009,TRUE,"vcm",16,2,2000,"1"
"fpt2",1,7,FALSE,0,0,0,1,0.00349633803125471,TRUE,"vcm",16,2,2000,"1"
"fpt2",1,8,FALSE,0,0,0,1,0.00352345197461545,TRUE,"vcm",16,2,2000,"1"
"fpt2",1,9,FALSE,0,0,0,1,0.00355347897857428,TRUE,"vcm",16,2,2000,"1"
"fpt2",1,10,FALSE,0,0,0,1,0.00348064606077969,TRUE,"vcm",16,2,2000,"1"
