"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,383,0.0202499381266534,FALSE,"vcm",4,2,1000,"3"
"grad",1,2,FALSE,0,0,0,383,0.0199126291554421,FALSE,"vcm",4,2,1000,"3"
"grad",1,3,FALSE,0,0,0,383,0.0200974621111527,FALSE,"vcm",4,2,1000,"3"
"grad",1,4,FALSE,0,0,0,383,0.0201544329756871,FALSE,"vcm",4,2,1000,"3"
"grad",1,5,FALSE,0,0,0,383,0.0203005450312048,FALSE,"vcm",4,2,1000,"3"
"grad",1,6,FALSE,0,0,0,383,0.0202905480982736,FALSE,"vcm",4,2,1000,"3"
"grad",1,7,FALSE,0,0,0,383,0.020158500992693,FALSE,"vcm",4,2,1000,"3"
"grad",1,8,FALSE,0,0,0,383,0.0202121931361035,FALSE,"vcm",4,2,1000,"3"
"grad",1,9,FALSE,0,0,0,383,0.0203125820262358,FALSE,"vcm",4,2,1000,"3"
"grad",1,10,FALSE,0,0,0,383,0.02027057914529,FALSE,"vcm",4,2,1000,"3"
"fpt1",1,1,FALSE,0,0,0,385,0.0167109669419006,FALSE,"vcm",4,2,1000,"3"
"fpt1",1,2,FALSE,0,0,0,385,0.0164081599796191,FALSE,"vcm",4,2,1000,"3"
"fpt1",1,3,FALSE,0,0,0,385,0.016298945993185,FALSE,"vcm",4,2,1000,"3"
"fpt1",1,4,FALSE,0,0,0,385,0.0163409309461713,FALSE,"vcm",4,2,1000,"3"
"fpt1",1,5,FALSE,0,0,0,385,0.0166111759608611,FALSE,"vcm",4,2,1000,"3"
"fpt1",1,6,FALSE,0,0,0,385,0.0166013579582796,FALSE,"vcm",4,2,1000,"3"
"fpt1",1,7,FALSE,0,0,0,385,0.0166919499170035,FALSE,"vcm",4,2,1000,"3"
"fpt1",1,8,FALSE,0,0,0,385,0.0167275889543816,FALSE,"vcm",4,2,1000,"3"
"fpt1",1,9,FALSE,0,0,0,385,0.0167306479997933,FALSE,"vcm",4,2,1000,"3"
"fpt1",1,10,FALSE,0,0,0,385,0.0167284910567105,FALSE,"vcm",4,2,1000,"3"
"fpt2",1,1,FALSE,0,0,0,379,0.0142491200240329,FALSE,"vcm",4,2,1000,"3"
"fpt2",1,2,FALSE,0,0,0,379,0.0138781510759145,FALSE,"vcm",4,2,1000,"3"
"fpt2",1,3,FALSE,0,0,0,379,0.0139036939945072,FALSE,"vcm",4,2,1000,"3"
"fpt2",1,4,FALSE,0,0,0,379,0.0140141980955377,FALSE,"vcm",4,2,1000,"3"
"fpt2",1,5,FALSE,0,0,0,379,0.0142819280736148,FALSE,"vcm",4,2,1000,"3"
"fpt2",1,6,FALSE,0,0,0,379,0.0143828900763765,FALSE,"vcm",4,2,1000,"3"
"fpt2",1,7,FALSE,0,0,0,379,0.014306549099274,FALSE,"vcm",4,2,1000,"3"
"fpt2",1,8,FALSE,0,0,0,379,0.0143269180553034,FALSE,"vcm",4,2,1000,"3"
"fpt2",1,9,FALSE,0,0,0,379,0.0143509201006964,FALSE,"vcm",4,2,1000,"3"
"fpt2",1,10,FALSE,0,0,0,379,0.0143461551051587,FALSE,"vcm",4,2,1000,"3"
