"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","avg_mse"
"grad",256,5,20000,100,1,"hte","2",1,2,"multi_arm_causal_forest",0.119877237308487
"FPT",256,5,20000,100,1,"hte","2",1,2,"multi_arm_causal_forest",0.119877237308487
"grad",256,5,20000,100,2,"hte","2",1,2,"multi_arm_causal_forest",0.163082399174163
"FPT",256,5,20000,100,2,"hte","2",1,2,"multi_arm_causal_forest",0.163082399174163
"grad",256,5,20000,100,3,"hte","2",1,2,"multi_arm_causal_forest",0.144023270629597
"FPT",256,5,20000,100,3,"hte","2",1,2,"multi_arm_causal_forest",0.144023270629597
"grad",256,5,20000,100,4,"hte","2",1,2,"multi_arm_causal_forest",0.13512616460238
"FPT",256,5,20000,100,4,"hte","2",1,2,"multi_arm_causal_forest",0.13512616460238
"grad",256,5,20000,100,5,"hte","2",1,2,"multi_arm_causal_forest",0.153429664166276
"FPT",256,5,20000,100,5,"hte","2",1,2,"multi_arm_causal_forest",0.153429664166276
"grad",256,5,20000,100,6,"hte","2",1,2,"multi_arm_causal_forest",0.131027723532702
"FPT",256,5,20000,100,6,"hte","2",1,2,"multi_arm_causal_forest",0.131027723532702
"grad",256,5,20000,100,7,"hte","2",1,2,"multi_arm_causal_forest",0.117147885331291
"FPT",256,5,20000,100,7,"hte","2",1,2,"multi_arm_causal_forest",0.117147885331291
"grad",256,5,20000,100,8,"hte","2",1,2,"multi_arm_causal_forest",0.150661024885798
"FPT",256,5,20000,100,8,"hte","2",1,2,"multi_arm_causal_forest",0.150661024885798
"grad",256,5,20000,100,9,"hte","2",1,2,"multi_arm_causal_forest",0.145664270346866
"FPT",256,5,20000,100,9,"hte","2",1,2,"multi_arm_causal_forest",0.145664270346866
"grad",256,5,20000,100,10,"hte","2",1,2,"multi_arm_causal_forest",0.132589834459092
"FPT",256,5,20000,100,10,"hte","2",1,2,"multi_arm_causal_forest",0.132589834459092
"grad",256,5,20000,100,11,"hte","2",1,2,"multi_arm_causal_forest",0.14447460040012
"FPT",256,5,20000,100,11,"hte","2",1,2,"multi_arm_causal_forest",0.14447460040012
"grad",256,5,20000,100,12,"hte","2",1,2,"multi_arm_causal_forest",0.152665741801596
"FPT",256,5,20000,100,12,"hte","2",1,2,"multi_arm_causal_forest",0.152665741801596
"grad",256,5,20000,100,13,"hte","2",1,2,"multi_arm_causal_forest",0.1273234088845
"FPT",256,5,20000,100,13,"hte","2",1,2,"multi_arm_causal_forest",0.1273234088845
"grad",256,5,20000,100,14,"hte","2",1,2,"multi_arm_causal_forest",0.136264941071482
"FPT",256,5,20000,100,14,"hte","2",1,2,"multi_arm_causal_forest",0.136264941071482
"grad",256,5,20000,100,15,"hte","2",1,2,"multi_arm_causal_forest",0.131432437934395
"FPT",256,5,20000,100,15,"hte","2",1,2,"multi_arm_causal_forest",0.131432437934395
"grad",256,5,20000,100,16,"hte","2",1,2,"multi_arm_causal_forest",0.148108267503439
"FPT",256,5,20000,100,16,"hte","2",1,2,"multi_arm_causal_forest",0.148108267503439
"grad",256,5,20000,100,17,"hte","2",1,2,"multi_arm_causal_forest",0.131025740786144
"FPT",256,5,20000,100,17,"hte","2",1,2,"multi_arm_causal_forest",0.131025740786144
"grad",256,5,20000,100,18,"hte","2",1,2,"multi_arm_causal_forest",0.134492201206882
"FPT",256,5,20000,100,18,"hte","2",1,2,"multi_arm_causal_forest",0.134492201206882
"grad",256,5,20000,100,19,"hte","2",1,2,"multi_arm_causal_forest",0.159141726312283
"FPT",256,5,20000,100,19,"hte","2",1,2,"multi_arm_causal_forest",0.159141726312283
"grad",256,5,20000,100,20,"hte","2",1,2,"multi_arm_causal_forest",0.136523348011943
"FPT",256,5,20000,100,20,"hte","2",1,2,"multi_arm_causal_forest",0.136523348011943
"grad",256,5,20000,100,21,"hte","2",1,2,"multi_arm_causal_forest",0.134075836033124
"FPT",256,5,20000,100,21,"hte","2",1,2,"multi_arm_causal_forest",0.134075836033124
"grad",256,5,20000,100,22,"hte","2",1,2,"multi_arm_causal_forest",0.134928765440167
"FPT",256,5,20000,100,22,"hte","2",1,2,"multi_arm_causal_forest",0.134928765440167
"grad",256,5,20000,100,23,"hte","2",1,2,"multi_arm_causal_forest",0.147199870390071
"FPT",256,5,20000,100,23,"hte","2",1,2,"multi_arm_causal_forest",0.147199870390071
"grad",256,5,20000,100,24,"hte","2",1,2,"multi_arm_causal_forest",0.152306518437514
"FPT",256,5,20000,100,24,"hte","2",1,2,"multi_arm_causal_forest",0.152306518437514
"grad",256,5,20000,100,25,"hte","2",1,2,"multi_arm_causal_forest",0.153966797851191
"FPT",256,5,20000,100,25,"hte","2",1,2,"multi_arm_causal_forest",0.153966797851191
"grad",256,5,20000,100,26,"hte","2",1,2,"multi_arm_causal_forest",0.156415761051456
"FPT",256,5,20000,100,26,"hte","2",1,2,"multi_arm_causal_forest",0.156415761051456
"grad",256,5,20000,100,27,"hte","2",1,2,"multi_arm_causal_forest",0.16214962073652
"FPT",256,5,20000,100,27,"hte","2",1,2,"multi_arm_causal_forest",0.16214962073652
"grad",256,5,20000,100,28,"hte","2",1,2,"multi_arm_causal_forest",0.155551015255594
"FPT",256,5,20000,100,28,"hte","2",1,2,"multi_arm_causal_forest",0.155551015255594
"grad",256,5,20000,100,29,"hte","2",1,2,"multi_arm_causal_forest",0.158343690774192
"FPT",256,5,20000,100,29,"hte","2",1,2,"multi_arm_causal_forest",0.158343690774192
"grad",256,5,20000,100,30,"hte","2",1,2,"multi_arm_causal_forest",0.145566472326465
"FPT",256,5,20000,100,30,"hte","2",1,2,"multi_arm_causal_forest",0.145566472326465
"grad",256,5,20000,100,31,"hte","2",1,2,"multi_arm_causal_forest",0.142338266110745
"FPT",256,5,20000,100,31,"hte","2",1,2,"multi_arm_causal_forest",0.142338266110745
"grad",256,5,20000,100,32,"hte","2",1,2,"multi_arm_causal_forest",0.131848058708301
"FPT",256,5,20000,100,32,"hte","2",1,2,"multi_arm_causal_forest",0.131848058708301
"grad",256,5,20000,100,33,"hte","2",1,2,"multi_arm_causal_forest",0.15059998625358
"FPT",256,5,20000,100,33,"hte","2",1,2,"multi_arm_causal_forest",0.15059998625358
"grad",256,5,20000,100,34,"hte","2",1,2,"multi_arm_causal_forest",0.141894233472982
"FPT",256,5,20000,100,34,"hte","2",1,2,"multi_arm_causal_forest",0.141894233472982
"grad",256,5,20000,100,35,"hte","2",1,2,"multi_arm_causal_forest",0.138196007134417
"FPT",256,5,20000,100,35,"hte","2",1,2,"multi_arm_causal_forest",0.138196007134417
"grad",256,5,20000,100,36,"hte","2",1,2,"multi_arm_causal_forest",0.150290999417212
"FPT",256,5,20000,100,36,"hte","2",1,2,"multi_arm_causal_forest",0.150290999417212
"grad",256,5,20000,100,37,"hte","2",1,2,"multi_arm_causal_forest",0.145475884156999
"FPT",256,5,20000,100,37,"hte","2",1,2,"multi_arm_causal_forest",0.145475884156999
"grad",256,5,20000,100,38,"hte","2",1,2,"multi_arm_causal_forest",0.14562943696788
"FPT",256,5,20000,100,38,"hte","2",1,2,"multi_arm_causal_forest",0.14562943696788
"grad",256,5,20000,100,39,"hte","2",1,2,"multi_arm_causal_forest",0.142934112878122
"FPT",256,5,20000,100,39,"hte","2",1,2,"multi_arm_causal_forest",0.142934112878122
"grad",256,5,20000,100,40,"hte","2",1,2,"multi_arm_causal_forest",0.125158632277554
"FPT",256,5,20000,100,40,"hte","2",1,2,"multi_arm_causal_forest",0.125158632277554
