"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","avg_mse"
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest",0.0344141466200467
"FPT",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest",0.0342861952767996
"grad",256,5,20000,100,2,"vcm","4",4,NA,"lm_forest",0.0311685381460516
"FPT",256,5,20000,100,2,"vcm","4",4,NA,"lm_forest",0.0295150378904228
"grad",256,5,20000,100,3,"vcm","4",4,NA,"lm_forest",0.0254852059448621
"FPT",256,5,20000,100,3,"vcm","4",4,NA,"lm_forest",0.0245707303933541
"grad",256,5,20000,100,4,"vcm","4",4,NA,"lm_forest",0.0270853788605369
"FPT",256,5,20000,100,4,"vcm","4",4,NA,"lm_forest",0.0264962022607704
"grad",256,5,20000,100,5,"vcm","4",4,NA,"lm_forest",0.0269130517152617
"FPT",256,5,20000,100,5,"vcm","4",4,NA,"lm_forest",0.0265289208063538
"grad",256,5,20000,100,6,"vcm","4",4,NA,"lm_forest",0.0394563058884891
"FPT",256,5,20000,100,6,"vcm","4",4,NA,"lm_forest",0.0394444604366338
"grad",256,5,20000,100,7,"vcm","4",4,NA,"lm_forest",0.0287460470292553
"FPT",256,5,20000,100,7,"vcm","4",4,NA,"lm_forest",0.0282024626469973
"grad",256,5,20000,100,8,"vcm","4",4,NA,"lm_forest",0.0267707602755593
"FPT",256,5,20000,100,8,"vcm","4",4,NA,"lm_forest",0.0268597668659148
"grad",256,5,20000,100,9,"vcm","4",4,NA,"lm_forest",0.0358746174840489
"FPT",256,5,20000,100,9,"vcm","4",4,NA,"lm_forest",0.0337440032325171
"grad",256,5,20000,100,10,"vcm","4",4,NA,"lm_forest",0.023233794330568
"FPT",256,5,20000,100,10,"vcm","4",4,NA,"lm_forest",0.0225875843947142
"grad",256,5,20000,100,11,"vcm","4",4,NA,"lm_forest",0.0281945726765163
"FPT",256,5,20000,100,11,"vcm","4",4,NA,"lm_forest",0.0269838168271369
"grad",256,5,20000,100,12,"vcm","4",4,NA,"lm_forest",0.02009069087838
"FPT",256,5,20000,100,12,"vcm","4",4,NA,"lm_forest",0.019140203929776
"grad",256,5,20000,100,13,"vcm","4",4,NA,"lm_forest",0.0528706183940314
"FPT",256,5,20000,100,13,"vcm","4",4,NA,"lm_forest",0.0532083818092603
"grad",256,5,20000,100,14,"vcm","4",4,NA,"lm_forest",0.0165698389014773
"FPT",256,5,20000,100,14,"vcm","4",4,NA,"lm_forest",0.0161932053996867
"grad",256,5,20000,100,15,"vcm","4",4,NA,"lm_forest",0.033617225933136
"FPT",256,5,20000,100,15,"vcm","4",4,NA,"lm_forest",0.0317757912822211
"grad",256,5,20000,100,16,"vcm","4",4,NA,"lm_forest",0.0307389069136555
"FPT",256,5,20000,100,16,"vcm","4",4,NA,"lm_forest",0.031256304271916
