"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","effect","dim_mse"
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta2",0.132478052004515
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta3",0.177947479417067
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta4",0.0976796224506561
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta5",0.146356761405668
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta6",0.0751245718983174
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta7",0.0701899080535815
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta8",0.0743248258247886
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta9",0.217568145547528
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta10",0.115503837604348
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta11",0.448332138926323
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta12",0.118672696624873
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta13",0.0603570561584559
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta14",0.0408924800295862
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta15",0.194627723661748
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta16",0.976184214381297
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta17",0.159117978426958
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta18",0.264733637026686
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta19",0.2337603625282
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta20",0.157746644071076
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta21",0.0208158725898874
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta22",0.258049256270548
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta23",0.0393626973381124
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta24",0.0433339025123142
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta25",0.0844426585820943
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta26",0.0986974605824535
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta27",0.317590605977667
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta28",0.120718643704058
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta29",0.0979332418741791
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta30",0.0286753368147703
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta31",0.0932608600547238
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta32",0.144288724302051
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta33",0.138068186119529
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta34",0.155149977154614
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta35",0.100802829795076
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta36",0.0799006582012291
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta37",0.0656264743914124
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta38",0.047775297151795
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta39",0.0572390167951578
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta40",0.102418069389704
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta41",0.0976070408787596
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta42",0.0267618665075246
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta43",0.22584171090402
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta44",0.0874377865466514
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta45",0.183036879016514
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta46",0.227839475732114
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta47",0.0675017218555866
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta48",0.0670172686326114
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta49",0.091574541764197
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta50",0.217520671347539
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta51",0.604906856338731
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta52",0.0761811364731918
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta53",0.223896133853443
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta54",0.0621257382203859
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta55",0.336361783111299
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta56",0.117019271423962
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta57",0.10300461168589
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta58",0.0348945533813173
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta59",0.0892752945438415
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta60",0.0828585776888404
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta61",0.103193532644259
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta62",0.296405004110996
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta63",0.0521312746227747
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta64",0.303035751798194
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta65",0.15713775610711
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta66",0.132401560032121
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta67",0.109941835129958
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta68",0.165429420469043
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta69",0.129218896847694
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta70",0.149465962832425
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta71",0.125773921644327
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta72",0.0708783427642071
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta73",0.0372455296147917
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta74",0.353427702888389
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta75",0.0818650963636453
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta76",0.072978425822975
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta77",0.132222843399253
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta78",0.187154089519514
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta79",0.166473818444396
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta80",0.133636634268247
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta81",0.11369064589382
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta82",0.330613033615533
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta83",0.119343253719645
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta84",0.0516291592488469
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta85",0.0694036336650695
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta86",0.0363588453088196
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta87",0.0184390891864787
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta88",0.196388766422934
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta89",0.186173959157343
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta90",0.164108083658557
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta91",0.182106354103296
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta92",0.0453857544040483
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta93",0.137346175637502
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta94",0.241063014505861
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta95",0.124138742837013
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta96",0.0978576975296559
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta97",0.117241974700089
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta98",0.101189323743399
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta99",0.133527712926934
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta100",0.274591695464012
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta101",0.0189882625960376
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta102",0.258834274399836
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta103",0.106797784808066
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta104",0.286741856532658
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta105",0.358735372098878
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta106",0.0960739637191601
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta107",0.0497100496405916
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta108",0.136902145085619
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta109",0.045015541315947
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta110",0.201952298965451
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta111",0.152056642476555
