"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","tree","nsplits"
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",1,58
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",2,62
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",3,61
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",4,44
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",5,69
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",6,56
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",7,63
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",8,66
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",9,62
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",10,67
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",11,56
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",12,63
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",13,56
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",14,61
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",15,79
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",16,60
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",17,71
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",18,76
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",19,65
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",20,57
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",21,63
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",22,59
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",23,55
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",24,61
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",25,67
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",26,64
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",27,57
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",28,65
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",29,55
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",30,51
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",31,65
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",32,60
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",33,64
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",34,62
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",35,58
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",36,59
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",37,55
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",38,56
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",39,64
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",40,55
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",41,63
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",42,67
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",43,64
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",44,67
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",45,60
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",46,62
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",47,61
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",48,58
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",49,56
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",50,55
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",51,65
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",52,56
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",53,55
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",54,55
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",55,74
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",56,63
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",57,83
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",58,64
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",59,67
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",60,69
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",61,56
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",62,57
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",63,69
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",64,64
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",65,54
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",66,66
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",67,62
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",68,56
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",69,70
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",70,63
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",71,65
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",72,71
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",73,66
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",74,59
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",75,51
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",76,63
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",77,64
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",78,62
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",79,54
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",80,58
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",81,55
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",82,60
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",83,73
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",84,59
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",85,58
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",86,65
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",87,71
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",88,53
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",89,58
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",90,69
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",91,65
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",92,75
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",93,64
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",94,67
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",95,55
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",96,69
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",97,50
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",98,58
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",99,58
"grad",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",100,68
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",1,65
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",2,69
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",3,66
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",4,51
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",5,63
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",6,61
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",7,57
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",8,61
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",9,57
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",10,60
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",11,73
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",12,63
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",13,72
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",14,61
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",15,62
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",16,73
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",17,58
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",18,58
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",19,61
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",20,64
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",21,64
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",22,71
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",23,67
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",24,69
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",25,67
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",26,62
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",27,54
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",28,50
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",29,64
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",30,53
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",31,67
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",32,60
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",33,63
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",34,76
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",35,58
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",36,68
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",37,60
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",38,65
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",39,63
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",40,58
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",41,66
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",42,71
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",43,58
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",44,61
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",45,67
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",46,69
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",47,58
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",48,64
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",49,58
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",50,62
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",51,66
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",52,55
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",53,68
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",54,64
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",55,60
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",56,56
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",57,72
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",58,64
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",59,63
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",60,55
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",61,60
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",62,60
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",63,64
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",64,56
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",65,69
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",66,63
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",67,69
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",68,60
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",69,68
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",70,67
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",71,71
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",72,58
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",73,65
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",74,65
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",75,60
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",76,61
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",77,54
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",78,62
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",79,62
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",80,52
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",81,57
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",82,60
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",83,53
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",84,66
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",85,70
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",86,61
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",87,70
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",88,62
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",89,65
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",90,63
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",91,66
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",92,75
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",93,83
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",94,58
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",95,63
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",96,69
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",97,62
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",98,63
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",99,61
"FPT",256,5,20000,100,1,"vcm","3",3,NA,"lm_forest",100,63
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",1,50
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",2,61
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",3,60
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",4,66
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",5,61
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",6,51
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",7,65
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",8,65
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",9,68
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",10,61
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",11,65
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",12,61
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",13,61
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",14,67
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",15,67
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",16,67
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",17,71
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",18,66
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",19,58
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",20,66
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",21,55
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",22,53
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",23,59
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",24,70
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",25,64
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",26,62
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",27,66
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",28,61
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",29,74
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",30,60
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",31,59
"grad",256,5,20000,100,2,"vcm","3",3,NA,"lm_forest",32,54
