"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","avg_mse"
"grad",4,2,1000,100,1,"hte","4","3","2","multi_arm_causal_forest",0.0636207056467815
"fpt1",4,2,1000,100,1,"hte","4","3","2","multi_arm_causal_forest",0.0675619715280041
"fpt2",4,2,1000,100,1,"hte","4","3","2","multi_arm_causal_forest",0.0662989994724446
"grad",4,2,1000,100,2,"hte","4","3","2","multi_arm_causal_forest",0.017063495184046
"fpt1",4,2,1000,100,2,"hte","4","3","2","multi_arm_causal_forest",0.0184886080198704
"fpt2",4,2,1000,100,2,"hte","4","3","2","multi_arm_causal_forest",0.0133066193816883
"grad",4,2,1000,100,3,"hte","4","3","2","multi_arm_causal_forest",0.118670735737396
"fpt1",4,2,1000,100,3,"hte","4","3","2","multi_arm_causal_forest",0.116614628771581
"fpt2",4,2,1000,100,3,"hte","4","3","2","multi_arm_causal_forest",0.123379729167206
"grad",4,2,1000,100,4,"hte","4","3","2","multi_arm_causal_forest",0.0539711512171916
"fpt1",4,2,1000,100,4,"hte","4","3","2","multi_arm_causal_forest",0.0584525058237267
"fpt2",4,2,1000,100,4,"hte","4","3","2","multi_arm_causal_forest",0.0542015300075723
"grad",4,2,1000,100,5,"hte","4","3","2","multi_arm_causal_forest",0.0826378970480966
"fpt1",4,2,1000,100,5,"hte","4","3","2","multi_arm_causal_forest",0.0772841719823685
"fpt2",4,2,1000,100,5,"hte","4","3","2","multi_arm_causal_forest",0.0823469874490389
"grad",4,2,1000,100,6,"hte","4","3","2","multi_arm_causal_forest",0.0560371186681669
"fpt1",4,2,1000,100,6,"hte","4","3","2","multi_arm_causal_forest",0.057531582200722
"fpt2",4,2,1000,100,6,"hte","4","3","2","multi_arm_causal_forest",0.0550626900079406
"grad",4,2,1000,100,7,"hte","4","3","2","multi_arm_causal_forest",0.0664059092670082
"fpt1",4,2,1000,100,7,"hte","4","3","2","multi_arm_causal_forest",0.0715127104074361
"fpt2",4,2,1000,100,7,"hte","4","3","2","multi_arm_causal_forest",0.0631267159570216
"grad",4,2,1000,100,8,"hte","4","3","2","multi_arm_causal_forest",0.0696686217739032
"fpt1",4,2,1000,100,8,"hte","4","3","2","multi_arm_causal_forest",0.0633941062435861
"fpt2",4,2,1000,100,8,"hte","4","3","2","multi_arm_causal_forest",0.0692022348436731
"grad",4,2,1000,100,9,"hte","4","3","2","multi_arm_causal_forest",0.110805649026197
"fpt1",4,2,1000,100,9,"hte","4","3","2","multi_arm_causal_forest",0.120078223807358
"fpt2",4,2,1000,100,9,"hte","4","3","2","multi_arm_causal_forest",0.123417054741149
"grad",4,2,1000,100,10,"hte","4","3","2","multi_arm_causal_forest",0.0736079954094456
"fpt1",4,2,1000,100,10,"hte","4","3","2","multi_arm_causal_forest",0.0759774224522874
"fpt2",4,2,1000,100,10,"hte","4","3","2","multi_arm_causal_forest",0.0766467093994272
"grad",4,2,1000,100,11,"hte","4","3","2","multi_arm_causal_forest",0.0350478179768328
"fpt1",4,2,1000,100,11,"hte","4","3","2","multi_arm_causal_forest",0.0353310909768726
"fpt2",4,2,1000,100,11,"hte","4","3","2","multi_arm_causal_forest",0.0323603514405617
"grad",4,2,1000,100,12,"hte","4","3","2","multi_arm_causal_forest",0.0818002105692451
"fpt1",4,2,1000,100,12,"hte","4","3","2","multi_arm_causal_forest",0.0775229545466073
"fpt2",4,2,1000,100,12,"hte","4","3","2","multi_arm_causal_forest",0.0751525267151447
"grad",4,2,1000,100,13,"hte","4","3","2","multi_arm_causal_forest",0.0695299209385433
"fpt1",4,2,1000,100,13,"hte","4","3","2","multi_arm_causal_forest",0.0653944432997325
"fpt2",4,2,1000,100,13,"hte","4","3","2","multi_arm_causal_forest",0.0646392029658419
"grad",4,2,1000,100,14,"hte","4","3","2","multi_arm_causal_forest",0.110327457319509
"fpt1",4,2,1000,100,14,"hte","4","3","2","multi_arm_causal_forest",0.107279869200061
"fpt2",4,2,1000,100,14,"hte","4","3","2","multi_arm_causal_forest",0.105452849646929
"grad",4,2,1000,100,15,"hte","4","3","2","multi_arm_causal_forest",0.0974435642246528
"fpt1",4,2,1000,100,15,"hte","4","3","2","multi_arm_causal_forest",0.113277414560709
"fpt2",4,2,1000,100,15,"hte","4","3","2","multi_arm_causal_forest",0.0999387565999554
"grad",4,2,1000,100,16,"hte","4","3","2","multi_arm_causal_forest",0.0543669489123451
"fpt1",4,2,1000,100,16,"hte","4","3","2","multi_arm_causal_forest",0.056936716993617
"fpt2",4,2,1000,100,16,"hte","4","3","2","multi_arm_causal_forest",0.058846373336665
"grad",4,2,1000,100,17,"hte","4","3","2","multi_arm_causal_forest",0.0396275400620045
"fpt1",4,2,1000,100,17,"hte","4","3","2","multi_arm_causal_forest",0.0450530344533774
"fpt2",4,2,1000,100,17,"hte","4","3","2","multi_arm_causal_forest",0.0424577410005302
"grad",4,2,1000,100,18,"hte","4","3","2","multi_arm_causal_forest",0.0458634746630563
"fpt1",4,2,1000,100,18,"hte","4","3","2","multi_arm_causal_forest",0.0650981203722761
"fpt2",4,2,1000,100,18,"hte","4","3","2","multi_arm_causal_forest",0.0584239500259251
"grad",4,2,1000,100,19,"hte","4","3","2","multi_arm_causal_forest",0.0377413626417016
"fpt1",4,2,1000,100,19,"hte","4","3","2","multi_arm_causal_forest",0.0385601685543974
"fpt2",4,2,1000,100,19,"hte","4","3","2","multi_arm_causal_forest",0.033316787728856
"grad",4,2,1000,100,20,"hte","4","3","2","multi_arm_causal_forest",0.066949890017163
"fpt1",4,2,1000,100,20,"hte","4","3","2","multi_arm_causal_forest",0.0635522613014035
"fpt2",4,2,1000,100,20,"hte","4","3","2","multi_arm_causal_forest",0.0597627445259069
"grad",4,2,1000,100,21,"hte","4","3","2","multi_arm_causal_forest",0.0857641046475299
"fpt1",4,2,1000,100,21,"hte","4","3","2","multi_arm_causal_forest",0.0862202806981932
"fpt2",4,2,1000,100,21,"hte","4","3","2","multi_arm_causal_forest",0.0877047996941011
"grad",4,2,1000,100,22,"hte","4","3","2","multi_arm_causal_forest",0.0625991140636447
"fpt1",4,2,1000,100,22,"hte","4","3","2","multi_arm_causal_forest",0.0613793874348523
