"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","avg_mse"
"grad",4,2,1000,100,1,"vcm","3",3,NA,"lm_forest",0.0377507894034916
"fpt1",4,2,1000,100,1,"vcm","3",3,NA,"lm_forest",0.0379696551806764
"fpt2",4,2,1000,100,1,"vcm","3",3,NA,"lm_forest",0.0369131844586845
"grad",4,2,1000,100,2,"vcm","3",3,NA,"lm_forest",0.0315149083614657
"fpt1",4,2,1000,100,2,"vcm","3",3,NA,"lm_forest",0.0318371080883473
"fpt2",4,2,1000,100,2,"vcm","3",3,NA,"lm_forest",0.0329991797295262
"grad",4,2,1000,100,3,"vcm","3",3,NA,"lm_forest",0.0349393647653879
"fpt1",4,2,1000,100,3,"vcm","3",3,NA,"lm_forest",0.0342389306870576
"fpt2",4,2,1000,100,3,"vcm","3",3,NA,"lm_forest",0.0338969950173705
"grad",4,2,1000,100,4,"vcm","3",3,NA,"lm_forest",0.0301306982723632
"fpt1",4,2,1000,100,4,"vcm","3",3,NA,"lm_forest",0.0313742952114529
"fpt2",4,2,1000,100,4,"vcm","3",3,NA,"lm_forest",0.0297003891444491
"grad",4,2,1000,100,5,"vcm","3",3,NA,"lm_forest",0.0274228065790613
"fpt1",4,2,1000,100,5,"vcm","3",3,NA,"lm_forest",0.0272622984601692
"fpt2",4,2,1000,100,5,"vcm","3",3,NA,"lm_forest",0.0278287397172382
"grad",4,2,1000,100,6,"vcm","3",3,NA,"lm_forest",0.0230422708583865
"fpt1",4,2,1000,100,6,"vcm","3",3,NA,"lm_forest",0.0239549773744935
"fpt2",4,2,1000,100,6,"vcm","3",3,NA,"lm_forest",0.0230332867932931
"grad",4,2,1000,100,7,"vcm","3",3,NA,"lm_forest",0.0327232658256358
"fpt1",4,2,1000,100,7,"vcm","3",3,NA,"lm_forest",0.0334869665384182
"fpt2",4,2,1000,100,7,"vcm","3",3,NA,"lm_forest",0.0328572104899803
"grad",4,2,1000,100,8,"vcm","3",3,NA,"lm_forest",0.0325967997005646
"fpt1",4,2,1000,100,8,"vcm","3",3,NA,"lm_forest",0.0343960616452285
"fpt2",4,2,1000,100,8,"vcm","3",3,NA,"lm_forest",0.0336286712294109
"grad",4,2,1000,100,9,"vcm","3",3,NA,"lm_forest",0.0250512359801818
"fpt1",4,2,1000,100,9,"vcm","3",3,NA,"lm_forest",0.0240995438999481
"fpt2",4,2,1000,100,9,"vcm","3",3,NA,"lm_forest",0.0232995437269151
"grad",4,2,1000,100,10,"vcm","3",3,NA,"lm_forest",0.0325174324779554
"fpt1",4,2,1000,100,10,"vcm","3",3,NA,"lm_forest",0.0309040654526417
"fpt2",4,2,1000,100,10,"vcm","3",3,NA,"lm_forest",0.0313197923225215
"grad",4,2,1000,100,11,"vcm","3",3,NA,"lm_forest",0.0322868295656894
"fpt1",4,2,1000,100,11,"vcm","3",3,NA,"lm_forest",0.0311506371095961
"fpt2",4,2,1000,100,11,"vcm","3",3,NA,"lm_forest",0.0306862079950298
"grad",4,2,1000,100,12,"vcm","3",3,NA,"lm_forest",0.0281439149015453
"fpt1",4,2,1000,100,12,"vcm","3",3,NA,"lm_forest",0.0285985631961706
"fpt2",4,2,1000,100,12,"vcm","3",3,NA,"lm_forest",0.0290749565487669
"grad",4,2,1000,100,13,"vcm","3",3,NA,"lm_forest",0.0272930665849979
"fpt1",4,2,1000,100,13,"vcm","3",3,NA,"lm_forest",0.0279608018258685
"fpt2",4,2,1000,100,13,"vcm","3",3,NA,"lm_forest",0.0290722121348915
"grad",4,2,1000,100,14,"vcm","3",3,NA,"lm_forest",0.0270736940467438
"fpt1",4,2,1000,100,14,"vcm","3",3,NA,"lm_forest",0.0273396069777693
"fpt2",4,2,1000,100,14,"vcm","3",3,NA,"lm_forest",0.0255854513558755
"grad",4,2,1000,100,15,"vcm","3",3,NA,"lm_forest",0.0281610221476024
"fpt1",4,2,1000,100,15,"vcm","3",3,NA,"lm_forest",0.0281335348842682
"fpt2",4,2,1000,100,15,"vcm","3",3,NA,"lm_forest",0.0281954688878168
"grad",4,2,1000,100,16,"vcm","3",3,NA,"lm_forest",0.0292145888443664
"fpt1",4,2,1000,100,16,"vcm","3",3,NA,"lm_forest",0.0293153486966179
"fpt2",4,2,1000,100,16,"vcm","3",3,NA,"lm_forest",0.0296689655189338
"grad",4,2,1000,100,17,"vcm","3",3,NA,"lm_forest",0.0232919699035015
"fpt1",4,2,1000,100,17,"vcm","3",3,NA,"lm_forest",0.0231861906118826
"fpt2",4,2,1000,100,17,"vcm","3",3,NA,"lm_forest",0.0236973338354184
"grad",4,2,1000,100,18,"vcm","3",3,NA,"lm_forest",0.0328999609841698
"fpt1",4,2,1000,100,18,"vcm","3",3,NA,"lm_forest",0.0325089026113888
"fpt2",4,2,1000,100,18,"vcm","3",3,NA,"lm_forest",0.0314176525545661
"grad",4,2,1000,100,19,"vcm","3",3,NA,"lm_forest",0.0269929119335523
"fpt1",4,2,1000,100,19,"vcm","3",3,NA,"lm_forest",0.0275228748886046
"fpt2",4,2,1000,100,19,"vcm","3",3,NA,"lm_forest",0.0253830507177217
"grad",4,2,1000,100,20,"vcm","3",3,NA,"lm_forest",0.0344873338336864
"fpt1",4,2,1000,100,20,"vcm","3",3,NA,"lm_forest",0.0326502166449364
"fpt2",4,2,1000,100,20,"vcm","3",3,NA,"lm_forest",0.0350338992558132
"grad",4,2,1000,100,21,"vcm","3",3,NA,"lm_forest",0.0282258952441315
"fpt1",4,2,1000,100,21,"vcm","3",3,NA,"lm_forest",0.0286687823064137
"fpt2",4,2,1000,100,21,"vcm","3",3,NA,"lm_forest",0.0282487763360017
"grad",4,2,1000,100,22,"vcm","3",3,NA,"lm_forest",0.0349574787617904
"fpt1",4,2,1000,100,22,"vcm","3",3,NA,"lm_forest",0.0350845036828437
"fpt2",4,2,1000,100,22,"vcm","3",3,NA,"lm_forest",0.0354936509150986
"grad",4,2,1000,100,23,"vcm","3",3,NA,"lm_forest",0.0318713855962322
"fpt1",4,2,1000,100,23,"vcm","3",3,NA,"lm_forest",0.0327103145803132
"fpt2",4,2,1000,100,23,"vcm","3",3,NA,"lm_forest",0.0321412467046715
"grad",4,2,1000,100,24,"vcm","3",3,NA,"lm_forest",0.0269473137785657
"fpt1",4,2,1000,100,24,"vcm","3",3,NA,"lm_forest",0.0273486449253352
"fpt2",4,2,1000,100,24,"vcm","3",3,NA,"lm_forest",0.0258583792502571
"grad",4,2,1000,100,25,"vcm","3",3,NA,"lm_forest",0.0325413860255189
"fpt1",4,2,1000,100,25,"vcm","3",3,NA,"lm_forest",0.0324774446676602
"fpt2",4,2,1000,100,25,"vcm","3",3,NA,"lm_forest",0.0317650346977248
"grad",4,2,1000,100,26,"vcm","3",3,NA,"lm_forest",0.0226542870436178
"fpt1",4,2,1000,100,26,"vcm","3",3,NA,"lm_forest",0.0227922069919609
"fpt2",4,2,1000,100,26,"vcm","3",3,NA,"lm_forest",0.0223280194851701
"grad",4,2,1000,100,27,"vcm","3",3,NA,"lm_forest",0.0325169448334465
"fpt1",4,2,1000,100,27,"vcm","3",3,NA,"lm_forest",0.0334230776116952
"fpt2",4,2,1000,100,27,"vcm","3",3,NA,"lm_forest",0.0332334943889203
"grad",4,2,1000,100,28,"vcm","3",3,NA,"lm_forest",0.0288422108740642
"fpt1",4,2,1000,100,28,"vcm","3",3,NA,"lm_forest",0.0291417549243795
"fpt2",4,2,1000,100,28,"vcm","3",3,NA,"lm_forest",0.0289219558324742
"grad",4,2,1000,100,29,"vcm","3",3,NA,"lm_forest",0.0378649831817647
"fpt1",4,2,1000,100,29,"vcm","3",3,NA,"lm_forest",0.0390477563968722
"fpt2",4,2,1000,100,29,"vcm","3",3,NA,"lm_forest",0.0369606036182894
"grad",4,2,1000,100,30,"vcm","3",3,NA,"lm_forest",0.0270898720523312
"fpt1",4,2,1000,100,30,"vcm","3",3,NA,"lm_forest",0.0275379850413622
"fpt2",4,2,1000,100,30,"vcm","3",3,NA,"lm_forest",0.0270839697740151
"grad",4,2,1000,100,31,"vcm","3",3,NA,"lm_forest",0.0365259780791763
"fpt1",4,2,1000,100,31,"vcm","3",3,NA,"lm_forest",0.0355499863779903
"fpt2",4,2,1000,100,31,"vcm","3",3,NA,"lm_forest",0.035888513008071
"grad",4,2,1000,100,32,"vcm","3",3,NA,"lm_forest",0.0352771240989861
"fpt1",4,2,1000,100,32,"vcm","3",3,NA,"lm_forest",0.036783078454378
"fpt2",4,2,1000,100,32,"vcm","3",3,NA,"lm_forest",0.0354718853075512
"grad",4,2,1000,100,33,"vcm","3",3,NA,"lm_forest",0.0282598208423743
"fpt1",4,2,1000,100,33,"vcm","3",3,NA,"lm_forest",0.0295882474761246
"fpt2",4,2,1000,100,33,"vcm","3",3,NA,"lm_forest",0.0278339400901514
"grad",4,2,1000,100,34,"vcm","3",3,NA,"lm_forest",0.0297076727423942
"fpt1",4,2,1000,100,34,"vcm","3",3,NA,"lm_forest",0.0296608327035341
"fpt2",4,2,1000,100,34,"vcm","3",3,NA,"lm_forest",0.030224334956425
"grad",4,2,1000,100,35,"vcm","3",3,NA,"lm_forest",0.0348424289337481
"fpt1",4,2,1000,100,35,"vcm","3",3,NA,"lm_forest",0.0354042490906226
"fpt2",4,2,1000,100,35,"vcm","3",3,NA,"lm_forest",0.034097352646252
"grad",4,2,1000,100,36,"vcm","3",3,NA,"lm_forest",0.0288749687007735
"fpt1",4,2,1000,100,36,"vcm","3",3,NA,"lm_forest",0.0281040437858403
"fpt2",4,2,1000,100,36,"vcm","3",3,NA,"lm_forest",0.0275284384981938
"grad",4,2,1000,100,37,"vcm","3",3,NA,"lm_forest",0.0356269306685785
"fpt1",4,2,1000,100,37,"vcm","3",3,NA,"lm_forest",0.0366844447277898
"fpt2",4,2,1000,100,37,"vcm","3",3,NA,"lm_forest",0.0363108246638625
"grad",4,2,1000,100,38,"vcm","3",3,NA,"lm_forest",0.0248735479547772
"fpt1",4,2,1000,100,38,"vcm","3",3,NA,"lm_forest",0.0258428176868023
"fpt2",4,2,1000,100,38,"vcm","3",3,NA,"lm_forest",0.0259281192078187
"grad",4,2,1000,100,39,"vcm","3",3,NA,"lm_forest",0.0271788556779792
"fpt1",4,2,1000,100,39,"vcm","3",3,NA,"lm_forest",0.0281210843547473
"fpt2",4,2,1000,100,39,"vcm","3",3,NA,"lm_forest",0.028590817225997
"grad",4,2,1000,100,40,"vcm","3",3,NA,"lm_forest",0.0309355977958485
"fpt1",4,2,1000,100,40,"vcm","3",3,NA,"lm_forest",0.0322764870664038
"fpt2",4,2,1000,100,40,"vcm","3",3,NA,"lm_forest",0.0309817965247786
"grad",4,2,1000,100,41,"vcm","3",3,NA,"lm_forest",0.0238494818037207
"fpt1",4,2,1000,100,41,"vcm","3",3,NA,"lm_forest",0.023481882970781
"fpt2",4,2,1000,100,41,"vcm","3",3,NA,"lm_forest",0.0238563612679987
"grad",4,2,1000,100,42,"vcm","3",3,NA,"lm_forest",0.0405796752582897
"fpt1",4,2,1000,100,42,"vcm","3",3,NA,"lm_forest",0.0380280537845192
"fpt2",4,2,1000,100,42,"vcm","3",3,NA,"lm_forest",0.0385707026146651
