"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","avg_mse"
"grad",4,5,20000,100,1,"hte","4",3,2,"multi_arm_causal_forest",0.0370812038895014
"FPT",4,5,20000,100,1,"hte","4",3,2,"multi_arm_causal_forest",0.0400060007679043
"grad",4,5,20000,100,2,"hte","4",3,2,"multi_arm_causal_forest",0.023862808842256
"FPT",4,5,20000,100,2,"hte","4",3,2,"multi_arm_causal_forest",0.02829291798094
"grad",4,5,20000,100,3,"hte","4",3,2,"multi_arm_causal_forest",0.0409376482921986
"FPT",4,5,20000,100,3,"hte","4",3,2,"multi_arm_causal_forest",0.0390256041189287
"grad",4,5,20000,100,4,"hte","4",3,2,"multi_arm_causal_forest",0.0472441451558906
"FPT",4,5,20000,100,4,"hte","4",3,2,"multi_arm_causal_forest",0.0433790581312184
"grad",4,5,20000,100,5,"hte","4",3,2,"multi_arm_causal_forest",0.0436674901819134
"FPT",4,5,20000,100,5,"hte","4",3,2,"multi_arm_causal_forest",0.0478209506698951
"grad",4,5,20000,100,6,"hte","4",3,2,"multi_arm_causal_forest",0.0167645357142551
"FPT",4,5,20000,100,6,"hte","4",3,2,"multi_arm_causal_forest",0.0193713595307811
"grad",4,5,20000,100,7,"hte","4",3,2,"multi_arm_causal_forest",0.0132179730024282
"FPT",4,5,20000,100,7,"hte","4",3,2,"multi_arm_causal_forest",0.0135472514615555
"grad",4,5,20000,100,8,"hte","4",3,2,"multi_arm_causal_forest",0.028730629366044
"FPT",4,5,20000,100,8,"hte","4",3,2,"multi_arm_causal_forest",0.0266548809844059
"grad",4,5,20000,100,9,"hte","4",3,2,"multi_arm_causal_forest",0.0338149042397911
"FPT",4,5,20000,100,9,"hte","4",3,2,"multi_arm_causal_forest",0.030847997563614
"grad",4,5,20000,100,10,"hte","4",3,2,"multi_arm_causal_forest",0.0194900843898862
"FPT",4,5,20000,100,10,"hte","4",3,2,"multi_arm_causal_forest",0.022399632146225
"grad",4,5,20000,100,11,"hte","4",3,2,"multi_arm_causal_forest",0.0207760823157124
"FPT",4,5,20000,100,11,"hte","4",3,2,"multi_arm_causal_forest",0.0211502128307241
"grad",4,5,20000,100,12,"hte","4",3,2,"multi_arm_causal_forest",0.0449755866635297
"FPT",4,5,20000,100,12,"hte","4",3,2,"multi_arm_causal_forest",0.0445985925404609
"grad",4,5,20000,100,13,"hte","4",3,2,"multi_arm_causal_forest",0.0493751366647668
"FPT",4,5,20000,100,13,"hte","4",3,2,"multi_arm_causal_forest",0.0449339411078982
"grad",4,5,20000,100,14,"hte","4",3,2,"multi_arm_causal_forest",0.037986711119792
"FPT",4,5,20000,100,14,"hte","4",3,2,"multi_arm_causal_forest",0.0369658555909197
"grad",4,5,20000,100,15,"hte","4",3,2,"multi_arm_causal_forest",0.0398636703025581
"FPT",4,5,20000,100,15,"hte","4",3,2,"multi_arm_causal_forest",0.0313280495707761
"grad",4,5,20000,100,16,"hte","4",3,2,"multi_arm_causal_forest",0.0473909854274749
"FPT",4,5,20000,100,16,"hte","4",3,2,"multi_arm_causal_forest",0.0477669785473964
"grad",4,5,20000,100,17,"hte","4",3,2,"multi_arm_causal_forest",0.0348119689813801
"FPT",4,5,20000,100,17,"hte","4",3,2,"multi_arm_causal_forest",0.0307083580433642
"grad",4,5,20000,100,18,"hte","4",3,2,"multi_arm_causal_forest",0.0271617666066056
"FPT",4,5,20000,100,18,"hte","4",3,2,"multi_arm_causal_forest",0.0269095662614396
"grad",4,5,20000,100,19,"hte","4",3,2,"multi_arm_causal_forest",0.0516947389520015
"FPT",4,5,20000,100,19,"hte","4",3,2,"multi_arm_causal_forest",0.0507171167957643
"grad",4,5,20000,100,20,"hte","4",3,2,"multi_arm_causal_forest",0.0400082869603914
"FPT",4,5,20000,100,20,"hte","4",3,2,"multi_arm_causal_forest",0.0362156421145646
"grad",4,5,20000,100,21,"hte","4",3,2,"multi_arm_causal_forest",0.0496847622912358
"FPT",4,5,20000,100,21,"hte","4",3,2,"multi_arm_causal_forest",0.0487301378419315
"grad",4,5,20000,100,22,"hte","4",3,2,"multi_arm_causal_forest",0.0589712196897158
"FPT",4,5,20000,100,22,"hte","4",3,2,"multi_arm_causal_forest",0.0607125175310537
"grad",4,5,20000,100,23,"hte","4",3,2,"multi_arm_causal_forest",0.0307574907538372
"FPT",4,5,20000,100,23,"hte","4",3,2,"multi_arm_causal_forest",0.0333605968430617
"grad",4,5,20000,100,24,"hte","4",3,2,"multi_arm_causal_forest",0.0347892804759062
"FPT",4,5,20000,100,24,"hte","4",3,2,"multi_arm_causal_forest",0.0350485397815716
"grad",4,5,20000,100,25,"hte","4",3,2,"multi_arm_causal_forest",0.0319684759614282
"FPT",4,5,20000,100,25,"hte","4",3,2,"multi_arm_causal_forest",0.0309573416581134
"grad",4,5,20000,100,26,"hte","4",3,2,"multi_arm_causal_forest",0.0172531895670233
"FPT",4,5,20000,100,26,"hte","4",3,2,"multi_arm_causal_forest",0.0215794054866008
"grad",4,5,20000,100,27,"hte","4",3,2,"multi_arm_causal_forest",0.0321696708611183
"FPT",4,5,20000,100,27,"hte","4",3,2,"multi_arm_causal_forest",0.0299144559666747
"grad",4,5,20000,100,28,"hte","4",3,2,"multi_arm_causal_forest",0.0226456243675898
"FPT",4,5,20000,100,28,"hte","4",3,2,"multi_arm_causal_forest",0.0213782981154287
"grad",4,5,20000,100,29,"hte","4",3,2,"multi_arm_causal_forest",0.0500279284205686
"FPT",4,5,20000,100,29,"hte","4",3,2,"multi_arm_causal_forest",0.0455510868763803
"grad",4,5,20000,100,30,"hte","4",3,2,"multi_arm_causal_forest",0.0437867612970468
"FPT",4,5,20000,100,30,"hte","4",3,2,"multi_arm_causal_forest",0.0376533657416515
"grad",4,5,20000,100,31,"hte","4",3,2,"multi_arm_causal_forest",0.038975708374371
"FPT",4,5,20000,100,31,"hte","4",3,2,"multi_arm_causal_forest",0.0384540930236394
"grad",4,5,20000,100,32,"hte","4",3,2,"multi_arm_causal_forest",0.0396958881134293
