"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","avg_mse"
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",0.00858112490884095
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",0.00869978615218937
"grad",4,5,20000,100,2,"vcm","2",2,NA,"lm_forest",0.0137856023748417
"FPT",4,5,20000,100,2,"vcm","2",2,NA,"lm_forest",0.0135825545160523
"grad",4,5,20000,100,3,"vcm","2",2,NA,"lm_forest",0.0122073467676248
"FPT",4,5,20000,100,3,"vcm","2",2,NA,"lm_forest",0.0121035237923839
"grad",4,5,20000,100,4,"vcm","2",2,NA,"lm_forest",0.0102868216738025
"FPT",4,5,20000,100,4,"vcm","2",2,NA,"lm_forest",0.010242133527919
"grad",4,5,20000,100,5,"vcm","2",2,NA,"lm_forest",0.00856498616312977
"FPT",4,5,20000,100,5,"vcm","2",2,NA,"lm_forest",0.00828245658643921
"grad",4,5,20000,100,6,"vcm","2",2,NA,"lm_forest",0.010562985736779
"FPT",4,5,20000,100,6,"vcm","2",2,NA,"lm_forest",0.0104772631026234
"grad",4,5,20000,100,7,"vcm","2",2,NA,"lm_forest",0.00972034065314264
"FPT",4,5,20000,100,7,"vcm","2",2,NA,"lm_forest",0.00962472960884313
"grad",4,5,20000,100,8,"vcm","2",2,NA,"lm_forest",0.00976547071719208
"FPT",4,5,20000,100,8,"vcm","2",2,NA,"lm_forest",0.00980134854970893
"grad",4,5,20000,100,9,"vcm","2",2,NA,"lm_forest",0.0147046504906974
"FPT",4,5,20000,100,9,"vcm","2",2,NA,"lm_forest",0.0144871759137661
"grad",4,5,20000,100,10,"vcm","2",2,NA,"lm_forest",0.00920651181736291
"FPT",4,5,20000,100,10,"vcm","2",2,NA,"lm_forest",0.00917367272277731
"grad",4,5,20000,100,11,"vcm","2",2,NA,"lm_forest",0.0146064631429871
"FPT",4,5,20000,100,11,"vcm","2",2,NA,"lm_forest",0.0141232726168544
"grad",4,5,20000,100,12,"vcm","2",2,NA,"lm_forest",0.0109779333751119
"FPT",4,5,20000,100,12,"vcm","2",2,NA,"lm_forest",0.0111233596924471
"grad",4,5,20000,100,13,"vcm","2",2,NA,"lm_forest",0.00726979689338975
"FPT",4,5,20000,100,13,"vcm","2",2,NA,"lm_forest",0.00731001755942756
"grad",4,5,20000,100,14,"vcm","2",2,NA,"lm_forest",0.00919142377616286
"FPT",4,5,20000,100,14,"vcm","2",2,NA,"lm_forest",0.00924447384257891
"grad",4,5,20000,100,15,"vcm","2",2,NA,"lm_forest",0.0108215903822328
"FPT",4,5,20000,100,15,"vcm","2",2,NA,"lm_forest",0.0108954552620534
"grad",4,5,20000,100,16,"vcm","2",2,NA,"lm_forest",0.00784443163124634
"FPT",4,5,20000,100,16,"vcm","2",2,NA,"lm_forest",0.00775626132013487
"grad",4,5,20000,100,17,"vcm","2",2,NA,"lm_forest",0.0119152208679229
"FPT",4,5,20000,100,17,"vcm","2",2,NA,"lm_forest",0.0119694753392646
"grad",4,5,20000,100,18,"vcm","2",2,NA,"lm_forest",0.0132153428663189
