"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","effect","dim_mse"
"grad",4,5,20000,100,1,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0154499398421273
"grad",4,5,20000,100,1,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00884082634446273
"grad",4,5,20000,100,1,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00996064879320207
"FPT",4,5,20000,100,1,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0149620586990475
"FPT",4,5,20000,100,1,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00798834647975618
"FPT",4,5,20000,100,1,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00999332564788625
"grad",4,5,20000,100,2,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00845895756962159
"grad",4,5,20000,100,2,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00792599563519681
"grad",4,5,20000,100,2,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00902208938191479
"FPT",4,5,20000,100,2,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00824593487869099
"FPT",4,5,20000,100,2,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00749629465714403
"FPT",4,5,20000,100,2,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00858795012924743
"grad",4,5,20000,100,3,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00726198109290248
"grad",4,5,20000,100,3,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0123624647459603
"grad",4,5,20000,100,3,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00987456374413283
"FPT",4,5,20000,100,3,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00733830234361462
"FPT",4,5,20000,100,3,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0107885448738343
"FPT",4,5,20000,100,3,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0104147026089095
"grad",4,5,20000,100,4,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00689428034724957
"grad",4,5,20000,100,4,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0121236623190697
"grad",4,5,20000,100,4,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00995951627394232
"FPT",4,5,20000,100,4,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00690366876091644
"FPT",4,5,20000,100,4,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0114563948987853
"FPT",4,5,20000,100,4,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00951194709476419
"grad",4,5,20000,100,5,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0117601536330702
"grad",4,5,20000,100,5,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00972121629002431
"grad",4,5,20000,100,5,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00912897460181848
"FPT",4,5,20000,100,5,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0107934268897251
"FPT",4,5,20000,100,5,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0084069430939929
"FPT",4,5,20000,100,5,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00820017233758275
"grad",4,5,20000,100,6,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0159707206679529
"grad",4,5,20000,100,6,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0137258663798382
"grad",4,5,20000,100,6,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0115134995597488
"FPT",4,5,20000,100,6,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.014758879290348
"FPT",4,5,20000,100,6,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0116448912520468
"FPT",4,5,20000,100,6,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0111063203597111
"grad",4,5,20000,100,7,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.010290886435024
"grad",4,5,20000,100,7,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0107314436439453
"grad",4,5,20000,100,7,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0235370642381807
"FPT",4,5,20000,100,7,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0109100731808931
"FPT",4,5,20000,100,7,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0106775371078837
"FPT",4,5,20000,100,7,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.020408410614526
"grad",4,5,20000,100,8,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0109486013914652
"grad",4,5,20000,100,8,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0123263338214008
"grad",4,5,20000,100,8,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0120623031756774
"FPT",4,5,20000,100,8,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0126065177967767
"FPT",4,5,20000,100,8,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0119133516968664
"FPT",4,5,20000,100,8,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0121165144527279
"grad",4,5,20000,100,9,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0086508297427087
"grad",4,5,20000,100,9,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0180376262419459
"grad",4,5,20000,100,9,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00947485544738155
"FPT",4,5,20000,100,9,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00952987184331563
"FPT",4,5,20000,100,9,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0179645273687978
"FPT",4,5,20000,100,9,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.010102053184953
"grad",4,5,20000,100,10,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00676078614211478
"grad",4,5,20000,100,10,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0138976296971512
"grad",4,5,20000,100,10,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0109878293881092
"FPT",4,5,20000,100,10,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00721816017202597
"FPT",4,5,20000,100,10,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0141208834246353
"FPT",4,5,20000,100,10,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00922778536785074
"grad",4,5,20000,100,11,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0155625147604551
"grad",4,5,20000,100,11,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0156595873366562
"grad",4,5,20000,100,11,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0139856224810338
"FPT",4,5,20000,100,11,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0152307816959255
"FPT",4,5,20000,100,11,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.013925014886696
"FPT",4,5,20000,100,11,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0142217056073633
"grad",4,5,20000,100,12,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00840961932591476
"grad",4,5,20000,100,12,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00657164410758826
"grad",4,5,20000,100,12,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00979867640393696
"FPT",4,5,20000,100,12,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00891467143702338
"FPT",4,5,20000,100,12,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00742564525749993
"FPT",4,5,20000,100,12,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.010245036052691
"grad",4,5,20000,100,13,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0100210339617258
"grad",4,5,20000,100,13,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00872053559360881
"grad",4,5,20000,100,13,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0081682073297945
"FPT",4,5,20000,100,13,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0100831322016371
"FPT",4,5,20000,100,13,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00850177428328323
"FPT",4,5,20000,100,13,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00817836796047729
"grad",4,5,20000,100,14,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00963641092635514
"grad",4,5,20000,100,14,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0132809250632671
"grad",4,5,20000,100,14,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00883931337661823
"FPT",4,5,20000,100,14,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0093044790044712
"FPT",4,5,20000,100,14,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.013500325522173
"FPT",4,5,20000,100,14,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00816422051448526
"grad",4,5,20000,100,15,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0120345155716464
"grad",4,5,20000,100,15,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00837227149700236
"grad",4,5,20000,100,15,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0112549427723295
"FPT",4,5,20000,100,15,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0114809889002036
"FPT",4,5,20000,100,15,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00781993314391473
"FPT",4,5,20000,100,15,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0103829824049403
"grad",4,5,20000,100,16,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0109755534939008
"grad",4,5,20000,100,16,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00871344681605739
"grad",4,5,20000,100,16,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0210498829198006
"FPT",4,5,20000,100,16,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0109682496454271
"FPT",4,5,20000,100,16,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00918630211918599
