"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","effect","dim_mse"
"grad",4,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta1",0.015819039155858
"grad",4,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta2",0.0142272522242269
"grad",4,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta3",0.01238764502669
"grad",4,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta4",0.0155775645351166
"FPT",4,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta1",0.0156658356985255
"FPT",4,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta2",0.013986984206507
"FPT",4,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta3",0.0124129939474706
"FPT",4,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta4",0.016076912526102
"grad",4,5,20000,100,2,"vcm","4",4,NA,"lm_forest","theta1",0.0134789562202191
"grad",4,5,20000,100,2,"vcm","4",4,NA,"lm_forest","theta2",0.0149844411389089
"grad",4,5,20000,100,2,"vcm","4",4,NA,"lm_forest","theta3",0.0159655638364464
"grad",4,5,20000,100,2,"vcm","4",4,NA,"lm_forest","theta4",0.0219094568719344
"FPT",4,5,20000,100,2,"vcm","4",4,NA,"lm_forest","theta1",0.0135237431923956
"FPT",4,5,20000,100,2,"vcm","4",4,NA,"lm_forest","theta2",0.0143126247849266
"FPT",4,5,20000,100,2,"vcm","4",4,NA,"lm_forest","theta3",0.0153448762867481
"FPT",4,5,20000,100,2,"vcm","4",4,NA,"lm_forest","theta4",0.0221622371908287
"grad",4,5,20000,100,3,"vcm","4",4,NA,"lm_forest","theta1",0.0102873523844282
"grad",4,5,20000,100,3,"vcm","4",4,NA,"lm_forest","theta2",0.0109605316669585
"grad",4,5,20000,100,3,"vcm","4",4,NA,"lm_forest","theta3",0.0109750500517623
"grad",4,5,20000,100,3,"vcm","4",4,NA,"lm_forest","theta4",0.0107726021835961
"FPT",4,5,20000,100,3,"vcm","4",4,NA,"lm_forest","theta1",0.00975900419815608
"FPT",4,5,20000,100,3,"vcm","4",4,NA,"lm_forest","theta2",0.0107580554316006
"FPT",4,5,20000,100,3,"vcm","4",4,NA,"lm_forest","theta3",0.0108465356508233
"FPT",4,5,20000,100,3,"vcm","4",4,NA,"lm_forest","theta4",0.0104143724521764
"grad",4,5,20000,100,4,"vcm","4",4,NA,"lm_forest","theta1",0.0107583387070747
"grad",4,5,20000,100,4,"vcm","4",4,NA,"lm_forest","theta2",0.0105510696016464
"grad",4,5,20000,100,4,"vcm","4",4,NA,"lm_forest","theta3",0.0112520214011829
"grad",4,5,20000,100,4,"vcm","4",4,NA,"lm_forest","theta4",0.0118503506976028
"FPT",4,5,20000,100,4,"vcm","4",4,NA,"lm_forest","theta1",0.0105783071651327
"FPT",4,5,20000,100,4,"vcm","4",4,NA,"lm_forest","theta2",0.0110259324949761
"FPT",4,5,20000,100,4,"vcm","4",4,NA,"lm_forest","theta3",0.0107103970918176
"FPT",4,5,20000,100,4,"vcm","4",4,NA,"lm_forest","theta4",0.0116634878906744
"grad",4,5,20000,100,5,"vcm","4",4,NA,"lm_forest","theta1",0.0150239355740431
"grad",4,5,20000,100,5,"vcm","4",4,NA,"lm_forest","theta2",0.0163669521894427
"grad",4,5,20000,100,5,"vcm","4",4,NA,"lm_forest","theta3",0.0141720277960829
"grad",4,5,20000,100,5,"vcm","4",4,NA,"lm_forest","theta4",0.0116723406981489
"FPT",4,5,20000,100,5,"vcm","4",4,NA,"lm_forest","theta1",0.0147568645529597
"FPT",4,5,20000,100,5,"vcm","4",4,NA,"lm_forest","theta2",0.0164884382245556
"FPT",4,5,20000,100,5,"vcm","4",4,NA,"lm_forest","theta3",0.0133678090602394
"FPT",4,5,20000,100,5,"vcm","4",4,NA,"lm_forest","theta4",0.0119808760833011
"grad",4,5,20000,100,6,"vcm","4",4,NA,"lm_forest","theta1",0.015946040421799
"grad",4,5,20000,100,6,"vcm","4",4,NA,"lm_forest","theta2",0.0193828784448662
"grad",4,5,20000,100,6,"vcm","4",4,NA,"lm_forest","theta3",0.0198644104039043
"grad",4,5,20000,100,6,"vcm","4",4,NA,"lm_forest","theta4",0.0178214593565415
"FPT",4,5,20000,100,6,"vcm","4",4,NA,"lm_forest","theta1",0.0162669273686079
"FPT",4,5,20000,100,6,"vcm","4",4,NA,"lm_forest","theta2",0.0190046903231192
"FPT",4,5,20000,100,6,"vcm","4",4,NA,"lm_forest","theta3",0.0207245999399295
"FPT",4,5,20000,100,6,"vcm","4",4,NA,"lm_forest","theta4",0.0179616585874941
"grad",4,5,20000,100,7,"vcm","4",4,NA,"lm_forest","theta1",0.0129032974728256
"grad",4,5,20000,100,7,"vcm","4",4,NA,"lm_forest","theta2",0.0125909384653372
"grad",4,5,20000,100,7,"vcm","4",4,NA,"lm_forest","theta3",0.0149737176868693
"grad",4,5,20000,100,7,"vcm","4",4,NA,"lm_forest","theta4",0.0143601963704466
"FPT",4,5,20000,100,7,"vcm","4",4,NA,"lm_forest","theta1",0.0129707864911342
"FPT",4,5,20000,100,7,"vcm","4",4,NA,"lm_forest","theta2",0.0121833327478755
"FPT",4,5,20000,100,7,"vcm","4",4,NA,"lm_forest","theta3",0.0143917535043807
"FPT",4,5,20000,100,7,"vcm","4",4,NA,"lm_forest","theta4",0.0139150492099576
"grad",4,5,20000,100,8,"vcm","4",4,NA,"lm_forest","theta1",0.011451469737111
"grad",4,5,20000,100,8,"vcm","4",4,NA,"lm_forest","theta2",0.0133614747310675
"grad",4,5,20000,100,8,"vcm","4",4,NA,"lm_forest","theta3",0.0151055574691357
"grad",4,5,20000,100,8,"vcm","4",4,NA,"lm_forest","theta4",0.0123366708208193
"FPT",4,5,20000,100,8,"vcm","4",4,NA,"lm_forest","theta1",0.0113624370646896
"FPT",4,5,20000,100,8,"vcm","4",4,NA,"lm_forest","theta2",0.013091338258958
"FPT",4,5,20000,100,8,"vcm","4",4,NA,"lm_forest","theta3",0.0156804670365608
"FPT",4,5,20000,100,8,"vcm","4",4,NA,"lm_forest","theta4",0.0122552538671986
"grad",4,5,20000,100,9,"vcm","4",4,NA,"lm_forest","theta1",0.0159357342705296
"grad",4,5,20000,100,9,"vcm","4",4,NA,"lm_forest","theta2",0.0126698143686239
"grad",4,5,20000,100,9,"vcm","4",4,NA,"lm_forest","theta3",0.0118563124418835
"grad",4,5,20000,100,9,"vcm","4",4,NA,"lm_forest","theta4",0.0095432133627929
"FPT",4,5,20000,100,9,"vcm","4",4,NA,"lm_forest","theta1",0.0161676514675097
