"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","tree","nsplits"
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",1,150
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",2,149
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",3,153
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",4,151
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",5,150
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",6,147
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",7,145
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",8,150
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",9,148
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",10,148
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",11,148
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",12,148
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",13,151
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",14,146
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",15,145
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",16,154
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",17,150
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",18,148
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",19,145
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",20,148
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",21,150
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",22,146
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",23,147
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",24,139
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",25,146
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",26,148
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",27,148
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",28,147
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",29,148
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",30,144
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",31,155
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",32,145
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",33,145
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",34,156
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",35,141
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",36,155
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",37,154
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",38,154
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",39,148
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",40,144
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",41,149
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",42,154
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",43,155
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",44,144
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",45,151
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",46,149
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",47,146
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",48,153
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",49,151
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",50,154
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",51,150
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",52,147
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",53,153
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",54,151
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",55,151
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",56,146
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",57,146
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",58,144
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",59,147
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",60,149
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",61,154
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",62,147
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",63,147
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",64,157
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",65,146
