"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","tree","nsplits"
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",1,1960
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",2,1988
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",3,2000
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",4,2003
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",5,2009
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",6,2013
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",7,1991
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",8,1958
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",9,1995
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",10,2021
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",11,2013
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",12,1986
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",13,2022
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",14,2034
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",15,1985
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",16,1985
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",17,1984
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",18,2014
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",19,1977
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",20,1982
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",21,2015
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",22,1951
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",23,2026
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",24,2017
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",25,2023
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",26,1980
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",27,1981
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",28,2013
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",29,2024
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",30,2004
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",31,1988
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",32,1987
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",33,2026
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",34,2022
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",35,2007
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",36,1986
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",37,1984
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",38,2007
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",39,2017
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",40,2017
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",41,1967
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",42,1992
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",43,1992
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",44,1992
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",45,2049
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",46,2000
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",47,2010
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",48,2029
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",49,2046
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",50,1979
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",51,1992
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",52,1986
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",53,2003
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",54,1996
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",55,1997
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",56,1987
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",57,1999
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",58,1985
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",59,1997
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",60,1990
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",61,2002
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",62,1982
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",63,2017
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",64,1967
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",65,1984
