"method","median","K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN"
"grad",0.0254856540123001,10,3,5000,1,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.0223908190382645,10,3,5000,1,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.0255796229466796,8,3,5000,1,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.0208343110280111,8,3,5000,1,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.0228507809806615,6,3,5000,1,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.01983389002271,6,3,5000,1,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.0207914700731635,4,3,5000,1,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.0186329610878602,4,3,5000,1,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.0328387229237705,10,3,6000,1,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.027111156960018,10,3,6000,1,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.0304308390477672,8,3,6000,1,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.0254452569643036,8,3,6000,1,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.0228311030659825,6,3,6000,1,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.0230962430359796,6,3,6000,1,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.0230433620745316,4,3,6000,1,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.0204928809544072,4,3,6000,1,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.0249464650405571,10,3,5000,5,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.0193754659267142,10,3,5000,5,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.0206040369812399,8,3,5000,5,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.0179769590031356,8,3,5000,5,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.0191237910185009,6,3,5000,5,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.0171912019141018,6,3,5000,5,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.021053517004475,4,3,5000,5,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.0183690770063549,4,3,5000,5,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.0283336999127641,10,3,6000,5,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.0247343220980838,10,3,6000,5,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.0273741550045088,8,3,6000,5,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.0257921221200377,8,3,6000,5,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.0285314610227942,6,3,6000,5,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.024579027085565,6,3,6000,5,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.0245561540359631,4,3,6000,5,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.0231037569465116,4,3,6000,5,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.0846275379881263,10,3,5000,10,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.0400305250659585,10,3,5000,10,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.0396207490703091,8,3,5000,10,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.0448706509778276,8,3,5000,10,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.0450818480458111,6,3,5000,10,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.0369603539584205,6,3,5000,10,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.0393892019055784,4,3,5000,10,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.0358075051335618,4,3,5000,10,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.055844703107141,10,3,6000,10,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.0454850631067529,10,3,6000,10,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.0576314980862662,8,3,6000,10,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.0470400830963627,8,3,6000,10,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.0502627000678331,6,3,6000,10,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.0408771709771827,6,3,6000,10,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.0674091720720753,4,3,6000,10,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.0405544630484655,4,3,6000,10,"hte","1",1,1,"multi_arm_causal_forest"
