"K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN","grad","fpt2","fpt2_FACTOR"
10,3,5000,1,"hte","2",1,2,"multi_arm_causal_forest",0.0231877060141414,0.0196980200707912,1.17715922365846
8,3,5000,1,"hte","2",1,2,"multi_arm_causal_forest",0.0187117969617248,0.0163154100300744,1.14687874391346
6,3,5000,1,"hte","2",1,2,"multi_arm_causal_forest",0.0188787970691919,0.0167719450546429,1.12561763156777
4,3,5000,1,"hte","2",1,2,"multi_arm_causal_forest",0.0156002909643576,0.0168965760385618,0.923281197844712
10,3,6000,1,"hte","2",1,2,"multi_arm_causal_forest",0.0338121450040489,0.030330799985677,1.11477920199981
8,3,6000,1,"hte","2",1,2,"multi_arm_causal_forest",0.025749912019819,0.0257113439729437,1.00150004009576
6,3,6000,1,"hte","2",1,2,"multi_arm_causal_forest",0.0257586119696498,0.0253144520102069,1.01754570706345
4,3,6000,1,"hte","2",1,2,"multi_arm_causal_forest",0.0211432700743899,0.019325539120473,1.094058486161
10,3,5000,5,"hte","2",1,2,"multi_arm_causal_forest",0.020576338050887,0.0165809990139678,1.24095888514037
8,3,5000,5,"hte","2",1,2,"multi_arm_causal_forest",0.0198839179938659,0.0181369560305029,1.09632057112698
6,3,5000,5,"hte","2",1,2,"multi_arm_causal_forest",0.0201514250366017,0.0168404249707237,1.19661024419717
4,3,5000,5,"hte","2",1,2,"multi_arm_causal_forest",0.0165860011475161,0.0155783789232373,1.06468081366128
10,3,6000,5,"hte","2",1,2,"multi_arm_causal_forest",0.0548183039063588,0.0267268599709496,2.05105665109717
8,3,6000,5,"hte","2",1,2,"multi_arm_causal_forest",0.0244856431381777,0.0276510070543736,0.885524461732208
6,3,6000,5,"hte","2",1,2,"multi_arm_causal_forest",0.0259737210581079,0.0273531259736046,0.94957048357735
4,3,6000,5,"hte","2",1,2,"multi_arm_causal_forest",0.0206742050359026,0.0216459190705791,0.955108672839986
10,3,5000,10,"hte","2",1,2,"multi_arm_causal_forest",0.0442161640385166,0.0363192639779299,1.21743006866508
8,3,5000,10,"hte","2",1,2,"multi_arm_causal_forest",0.0416031880304217,0.0392682240344584,1.05946191999705
6,3,5000,10,"hte","2",1,2,"multi_arm_causal_forest",0.0345825350377709,0.0341221470152959,1.01349235211573
4,3,5000,10,"hte","2",1,2,"multi_arm_causal_forest",0.0454373199027032,0.0412583809811622,1.10128703119613
10,3,6000,10,"hte","2",1,2,"multi_arm_causal_forest",0.0487268600845709,0.0464899031212553,1.0481170493619
8,3,6000,10,"hte","2",1,2,"multi_arm_causal_forest",0.0563570450758561,0.0432693710317835,1.30246970852567
6,3,6000,10,"hte","2",1,2,"multi_arm_causal_forest",0.051174002001062,0.0424932349706069,1.20428585953646
4,3,6000,10,"hte","2",1,2,"multi_arm_causal_forest",0.0473033480811864,0.0443039609817788,1.06770020180907
