"K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN","grad","fpt2","fpt2_FACTOR"
10,3,5000,1,"vcm","2",2,NA,"lm_forest",0.0346129719400778,0.0264401079621166,1.30910857057283
8,3,5000,1,"vcm","2",2,NA,"lm_forest",0.0304150790907443,0.0237608620664105,1.28004947824433
6,3,5000,1,"vcm","2",2,NA,"lm_forest",0.0308770360425115,0.0262877960922197,1.17457682394494
4,3,5000,1,"vcm","2",2,NA,"lm_forest",0.0276048619998619,0.0236098660388961,1.16920875173049
10,3,6000,1,"vcm","2",2,NA,"lm_forest",0.0413668320979923,0.0344511830480769,1.20073763621599
8,3,6000,1,"vcm","2",2,NA,"lm_forest",0.0418677609413862,0.0290971040958539,1.43889786431881
6,3,6000,1,"vcm","2",2,NA,"lm_forest",0.0403850720031187,0.02718267403543,1.48569165603357
4,3,6000,1,"vcm","2",2,NA,"lm_forest",0.0358200400369242,0.0260590510442853,1.37457192804338
10,3,5000,5,"vcm","2",2,NA,"lm_forest",0.047418597037904,0.0253800940699875,1.86833811203156
8,3,5000,5,"vcm","2",2,NA,"lm_forest",0.0525423331419006,0.0301913119619712,1.74031301481971
6,3,5000,5,"vcm","2",2,NA,"lm_forest",0.0364725840045139,0.0339799370849505,1.07335643127684
4,3,5000,5,"vcm","2",2,NA,"lm_forest",0.0333536269608885,0.0234305079793558,1.42351275483553
10,3,6000,5,"vcm","2",2,NA,"lm_forest",0.0498607160989195,0.0405277031240985,1.23028724194516
8,3,6000,5,"vcm","2",2,NA,"lm_forest",0.042823547963053,0.0320516900392249,1.33607768921531
6,3,6000,5,"vcm","2",2,NA,"lm_forest",0.0470187470782548,0.0332093989709392,1.41582649898
4,3,6000,5,"vcm","2",2,NA,"lm_forest",0.0482575879432261,0.0284980599535629,1.69336397010396
10,3,5000,10,"vcm","2",2,NA,"lm_forest",0.0910145780071616,0.0561565819662064,1.62072859174249
8,3,5000,10,"vcm","2",2,NA,"lm_forest",0.0773773600813001,0.0563945149770007,1.37207244557129
6,3,5000,10,"vcm","2",2,NA,"lm_forest",0.0686149200191721,0.0573081790935248,1.1972971590529
4,3,5000,10,"vcm","2",2,NA,"lm_forest",0.0571550989989191,0.0591680239886045,0.965979513020866
10,3,6000,10,"vcm","2",2,NA,"lm_forest",0.101026928052306,0.0718528400175273,1.40602553813687
8,3,6000,10,"vcm","2",2,NA,"lm_forest",0.0999154170276597,0.065434301039204,1.52695781021328
6,3,6000,10,"vcm","2",2,NA,"lm_forest",0.0877517149783671,0.0660767609952018,1.32802688353231
4,3,6000,10,"vcm","2",2,NA,"lm_forest",0.0738112189574167,0.0732771930051968,1.00728775121315
