"method","median","K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN"
"grad",0.0460541259963065,10,3,5000,1,"vcm","3",3,NA,"lm_forest"
"fpt2",0.0292367710499093,10,3,5000,1,"vcm","3",3,NA,"lm_forest"
"grad",0.0386203629896045,8,3,5000,1,"vcm","3",3,NA,"lm_forest"
"fpt2",0.0271122140111402,8,3,5000,1,"vcm","3",3,NA,"lm_forest"
"grad",0.0370233000721782,6,3,5000,1,"vcm","3",3,NA,"lm_forest"
"fpt2",0.025502888020128,6,3,5000,1,"vcm","3",3,NA,"lm_forest"
"grad",0.0272696811007336,4,3,5000,1,"vcm","3",3,NA,"lm_forest"
"fpt2",0.0233087000669912,4,3,5000,1,"vcm","3",3,NA,"lm_forest"
"grad",0.0452968230238184,10,3,6000,1,"vcm","3",3,NA,"lm_forest"
"fpt2",0.0351289251120761,10,3,6000,1,"vcm","3",3,NA,"lm_forest"
"grad",0.0439842478372157,8,3,6000,1,"vcm","3",3,NA,"lm_forest"
"fpt2",0.0347853359999135,8,3,6000,1,"vcm","3",3,NA,"lm_forest"
"grad",0.0381770940730348,6,3,6000,1,"vcm","3",3,NA,"lm_forest"
"fpt2",0.0343087910441682,6,3,6000,1,"vcm","3",3,NA,"lm_forest"
"grad",0.0348733310820535,4,3,6000,1,"vcm","3",3,NA,"lm_forest"
"fpt2",0.0289698371198028,4,3,6000,1,"vcm","3",3,NA,"lm_forest"
"grad",0.052267984021455,10,3,5000,5,"vcm","3",3,NA,"lm_forest"
"fpt2",0.0316256410442293,10,3,5000,5,"vcm","3",3,NA,"lm_forest"
"grad",0.0404525849735364,8,3,5000,5,"vcm","3",3,NA,"lm_forest"
"fpt2",0.0256779820192605,8,3,5000,5,"vcm","3",3,NA,"lm_forest"
"grad",0.0339022910920903,6,3,5000,5,"vcm","3",3,NA,"lm_forest"
"fpt2",0.0284547260962427,6,3,5000,5,"vcm","3",3,NA,"lm_forest"
"grad",0.0407529020449147,4,3,5000,5,"vcm","3",3,NA,"lm_forest"
"fpt2",0.0260184020735323,4,3,5000,5,"vcm","3",3,NA,"lm_forest"
"grad",0.0646964570041746,10,3,6000,5,"vcm","3",3,NA,"lm_forest"
"fpt2",0.0368073970312253,10,3,6000,5,"vcm","3",3,NA,"lm_forest"
"grad",0.051398501964286,8,3,6000,5,"vcm","3",3,NA,"lm_forest"
"fpt2",0.0343891910742968,8,3,6000,5,"vcm","3",3,NA,"lm_forest"
"grad",0.0442291999934241,6,3,6000,5,"vcm","3",3,NA,"lm_forest"
"fpt2",0.0379780100192875,6,3,6000,5,"vcm","3",3,NA,"lm_forest"
"grad",0.0342964839655906,4,3,6000,5,"vcm","3",3,NA,"lm_forest"
"fpt2",0.0290720560587943,4,3,6000,5,"vcm","3",3,NA,"lm_forest"
"grad",0.0813853540457785,10,3,5000,10,"vcm","3",3,NA,"lm_forest"
"fpt2",0.0587164749158546,10,3,5000,10,"vcm","3",3,NA,"lm_forest"
"grad",0.0902400839840993,8,3,5000,10,"vcm","3",3,NA,"lm_forest"
"fpt2",0.0588717000791803,8,3,5000,10,"vcm","3",3,NA,"lm_forest"
"grad",0.0844332239357755,6,3,5000,10,"vcm","3",3,NA,"lm_forest"
"fpt2",0.0524917439324781,6,3,5000,10,"vcm","3",3,NA,"lm_forest"
"grad",0.06409814406652,4,3,5000,10,"vcm","3",3,NA,"lm_forest"
"fpt2",0.0494808789808303,4,3,5000,10,"vcm","3",3,NA,"lm_forest"
"grad",0.0985204698517919,10,3,6000,10,"vcm","3",3,NA,"lm_forest"
"fpt2",0.09544037503656,10,3,6000,10,"vcm","3",3,NA,"lm_forest"
"grad",0.0854067429900169,8,3,6000,10,"vcm","3",3,NA,"lm_forest"
"fpt2",0.0637876240070909,8,3,6000,10,"vcm","3",3,NA,"lm_forest"
"grad",0.0793127299984917,6,3,6000,10,"vcm","3",3,NA,"lm_forest"
"fpt2",0.0676938850665465,6,3,6000,10,"vcm","3",3,NA,"lm_forest"
"grad",0.0700164519948885,4,3,6000,10,"vcm","3",3,NA,"lm_forest"
"fpt2",0.0584995719837025,4,3,6000,10,"vcm","3",3,NA,"lm_forest"
