"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","avg_mse"
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",0.0679244185819461
"FPT",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",0.0601751805431649
"grad",256,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",0.0904359101841562
"FPT",256,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",0.0832464350716325
"grad",256,5,20000,100,3,"hte","1",1,1,"multi_arm_causal_forest",0.0765573024936031
"FPT",256,5,20000,100,3,"hte","1",1,1,"multi_arm_causal_forest",0.0639659084520243
"grad",256,5,20000,100,4,"hte","1",1,1,"multi_arm_causal_forest",0.0817082489890369
"FPT",256,5,20000,100,4,"hte","1",1,1,"multi_arm_causal_forest",0.0758408334422211
"grad",256,5,20000,100,5,"hte","1",1,1,"multi_arm_causal_forest",0.104227600835669
"FPT",256,5,20000,100,5,"hte","1",1,1,"multi_arm_causal_forest",0.089764995462973
"grad",256,5,20000,100,6,"hte","1",1,1,"multi_arm_causal_forest",0.0817499670943275
"FPT",256,5,20000,100,6,"hte","1",1,1,"multi_arm_causal_forest",0.076376312326274
"grad",256,5,20000,100,7,"hte","1",1,1,"multi_arm_causal_forest",0.0660874049255058
"FPT",256,5,20000,100,7,"hte","1",1,1,"multi_arm_causal_forest",0.0528355391932085
"grad",256,5,20000,100,8,"hte","1",1,1,"multi_arm_causal_forest",0.0748537052867569
"FPT",256,5,20000,100,8,"hte","1",1,1,"multi_arm_causal_forest",0.0622301967971663
"grad",256,5,20000,100,9,"hte","1",1,1,"multi_arm_causal_forest",0.0757228532013359
"FPT",256,5,20000,100,9,"hte","1",1,1,"multi_arm_causal_forest",0.0709308124321279
"grad",256,5,20000,100,10,"hte","1",1,1,"multi_arm_causal_forest",0.0678489762049506
"FPT",256,5,20000,100,10,"hte","1",1,1,"multi_arm_causal_forest",0.0618105586132845
"grad",256,5,20000,100,11,"hte","1",1,1,"multi_arm_causal_forest",0.0776422144166212
"FPT",256,5,20000,100,11,"hte","1",1,1,"multi_arm_causal_forest",0.0681952589040474
"grad",256,5,20000,100,12,"hte","1",1,1,"multi_arm_causal_forest",0.130846794390626
"FPT",256,5,20000,100,12,"hte","1",1,1,"multi_arm_causal_forest",0.121614337577806
"grad",256,5,20000,100,13,"hte","1",1,1,"multi_arm_causal_forest",0.108791425795997
"FPT",256,5,20000,100,13,"hte","1",1,1,"multi_arm_causal_forest",0.0939862083115999
"grad",256,5,20000,100,14,"hte","1",1,1,"multi_arm_causal_forest",0.0890869191281557
"FPT",256,5,20000,100,14,"hte","1",1,1,"multi_arm_causal_forest",0.0846108485561638
"grad",256,5,20000,100,15,"hte","1",1,1,"multi_arm_causal_forest",0.0642560312150968
"FPT",256,5,20000,100,15,"hte","1",1,1,"multi_arm_causal_forest",0.0583903978026579
"grad",256,5,20000,100,16,"hte","1",1,1,"multi_arm_causal_forest",0.177222852375134
"FPT",256,5,20000,100,16,"hte","1",1,1,"multi_arm_causal_forest",0.177093053530723
"grad",256,5,20000,100,17,"hte","1",1,1,"multi_arm_causal_forest",0.0812158956431172
"FPT",256,5,20000,100,17,"hte","1",1,1,"multi_arm_causal_forest",0.0750876406231674
"grad",256,5,20000,100,18,"hte","1",1,1,"multi_arm_causal_forest",0.0688832725158527
"FPT",256,5,20000,100,18,"hte","1",1,1,"multi_arm_causal_forest",0.0593853433265941
"grad",256,5,20000,100,19,"hte","1",1,1,"multi_arm_causal_forest",0.073757291067487
"FPT",256,5,20000,100,19,"hte","1",1,1,"multi_arm_causal_forest",0.0653280229737876
"grad",256,5,20000,100,20,"hte","1",1,1,"multi_arm_causal_forest",0.089776512392113
"FPT",256,5,20000,100,20,"hte","1",1,1,"multi_arm_causal_forest",0.0760211254147854
"grad",256,5,20000,100,21,"hte","1",1,1,"multi_arm_causal_forest",0.090870965065738
"FPT",256,5,20000,100,21,"hte","1",1,1,"multi_arm_causal_forest",0.0820753063354322
