"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","avg_mse"
"grad",4,5,10000,100,1,"vcm","2",2,NA,"lm_forest",0.0149493924148178
"fpt1",4,5,10000,100,1,"vcm","2",2,NA,"lm_forest",0.0151054918989432
"fpt2",4,5,10000,100,1,"vcm","2",2,NA,"lm_forest",0.0151210609637662
"grad",4,5,10000,100,2,"vcm","2",2,NA,"lm_forest",0.0106741588027406
"fpt1",4,5,10000,100,2,"vcm","2",2,NA,"lm_forest",0.0106531601816883
"fpt2",4,5,10000,100,2,"vcm","2",2,NA,"lm_forest",0.0105778025518485
"grad",4,5,10000,100,3,"vcm","2",2,NA,"lm_forest",0.00969753568476174
"fpt1",4,5,10000,100,3,"vcm","2",2,NA,"lm_forest",0.00973957011849835
"fpt2",4,5,10000,100,3,"vcm","2",2,NA,"lm_forest",0.00970974087554118
"grad",4,5,10000,100,4,"vcm","2",2,NA,"lm_forest",0.00987940959259268
"fpt1",4,5,10000,100,4,"vcm","2",2,NA,"lm_forest",0.00986159334463394
"fpt2",4,5,10000,100,4,"vcm","2",2,NA,"lm_forest",0.00989348895700619
"grad",4,5,10000,100,5,"vcm","2",2,NA,"lm_forest",0.0132733125270421
"fpt1",4,5,10000,100,5,"vcm","2",2,NA,"lm_forest",0.0133748021841727
"fpt2",4,5,10000,100,5,"vcm","2",2,NA,"lm_forest",0.0135501501651309
"grad",4,5,10000,100,6,"vcm","2",2,NA,"lm_forest",0.0192670116349264
"fpt1",4,5,10000,100,6,"vcm","2",2,NA,"lm_forest",0.0195743464686377
"fpt2",4,5,10000,100,6,"vcm","2",2,NA,"lm_forest",0.0196910982756643
"grad",4,5,10000,100,7,"vcm","2",2,NA,"lm_forest",0.0148904828325226
"fpt1",4,5,10000,100,7,"vcm","2",2,NA,"lm_forest",0.0152607440207289
"fpt2",4,5,10000,100,7,"vcm","2",2,NA,"lm_forest",0.0148905634032034
"grad",4,5,10000,100,8,"vcm","2",2,NA,"lm_forest",0.0146686615971911
"fpt1",4,5,10000,100,8,"vcm","2",2,NA,"lm_forest",0.0149116739399055
"fpt2",4,5,10000,100,8,"vcm","2",2,NA,"lm_forest",0.0146130725689307
"grad",4,5,10000,100,9,"vcm","2",2,NA,"lm_forest",0.0126085505542256
"fpt1",4,5,10000,100,9,"vcm","2",2,NA,"lm_forest",0.0131940829627554
"fpt2",4,5,10000,100,9,"vcm","2",2,NA,"lm_forest",0.012669536098889
"grad",4,5,10000,100,10,"vcm","2",2,NA,"lm_forest",0.012163050300704
"fpt1",4,5,10000,100,10,"vcm","2",2,NA,"lm_forest",0.0120304526274451
"fpt2",4,5,10000,100,10,"vcm","2",2,NA,"lm_forest",0.0120849506951356
"grad",4,5,10000,100,11,"vcm","2",2,NA,"lm_forest",0.00988727313707602
"fpt1",4,5,10000,100,11,"vcm","2",2,NA,"lm_forest",0.0100952747650168
"fpt2",4,5,10000,100,11,"vcm","2",2,NA,"lm_forest",0.0100869872680286
"grad",4,5,10000,100,12,"vcm","2",2,NA,"lm_forest",0.0153008818835287
"fpt1",4,5,10000,100,12,"vcm","2",2,NA,"lm_forest",0.0154192494297508
"fpt2",4,5,10000,100,12,"vcm","2",2,NA,"lm_forest",0.0154693822963565
"grad",4,5,10000,100,13,"vcm","2",2,NA,"lm_forest",0.0102538000273952
"fpt1",4,5,10000,100,13,"vcm","2",2,NA,"lm_forest",0.0102104997727952
"fpt2",4,5,10000,100,13,"vcm","2",2,NA,"lm_forest",0.0101257298655496
"grad",4,5,10000,100,14,"vcm","2",2,NA,"lm_forest",0.0147862702786939
"fpt1",4,5,10000,100,14,"vcm","2",2,NA,"lm_forest",0.0149024374301965
"fpt2",4,5,10000,100,14,"vcm","2",2,NA,"lm_forest",0.0146297795561108
"grad",4,5,10000,100,15,"vcm","2",2,NA,"lm_forest",0.0112672724635749
"fpt1",4,5,10000,100,15,"vcm","2",2,NA,"lm_forest",0.0112355591189909
"fpt2",4,5,10000,100,15,"vcm","2",2,NA,"lm_forest",0.011121430282422
"grad",4,5,10000,100,16,"vcm","2",2,NA,"lm_forest",0.0110602790594778
"fpt1",4,5,10000,100,16,"vcm","2",2,NA,"lm_forest",0.0113738493504849
"fpt2",4,5,10000,100,16,"vcm","2",2,NA,"lm_forest",0.0111498229011532
"grad",4,5,10000,100,17,"vcm","2",2,NA,"lm_forest",0.010151957243922
"fpt1",4,5,10000,100,17,"vcm","2",2,NA,"lm_forest",0.0103542328860044
"fpt2",4,5,10000,100,17,"vcm","2",2,NA,"lm_forest",0.0099833806376191
"grad",4,5,10000,100,18,"vcm","2",2,NA,"lm_forest",0.0121630703167013
"fpt1",4,5,10000,100,18,"vcm","2",2,NA,"lm_forest",0.0123497356019449
"fpt2",4,5,10000,100,18,"vcm","2",2,NA,"lm_forest",0.0120860663635081
"grad",4,5,10000,100,19,"vcm","2",2,NA,"lm_forest",0.0120349439644596
"fpt1",4,5,10000,100,19,"vcm","2",2,NA,"lm_forest",0.0123059302240656
"fpt2",4,5,10000,100,19,"vcm","2",2,NA,"lm_forest",0.012264752923666
"grad",4,5,10000,100,20,"vcm","2",2,NA,"lm_forest",0.0111152980974063
"fpt1",4,5,10000,100,20,"vcm","2",2,NA,"lm_forest",0.0115833146281266
"fpt2",4,5,10000,100,20,"vcm","2",2,NA,"lm_forest",0.011355236698178
"grad",4,5,10000,100,21,"vcm","2",2,NA,"lm_forest",0.0176632888493461
"fpt1",4,5,10000,100,21,"vcm","2",2,NA,"lm_forest",0.0175840219028649
"fpt2",4,5,10000,100,21,"vcm","2",2,NA,"lm_forest",0.0179816266886071
"grad",4,5,10000,100,22,"vcm","2",2,NA,"lm_forest",0.015187079214464
"fpt1",4,5,10000,100,22,"vcm","2",2,NA,"lm_forest",0.0154361334659199
"fpt2",4,5,10000,100,22,"vcm","2",2,NA,"lm_forest",0.0151538268947278
"grad",4,5,10000,100,23,"vcm","2",2,NA,"lm_forest",0.0120377645021567
"fpt1",4,5,10000,100,23,"vcm","2",2,NA,"lm_forest",0.0120743930172619
"fpt2",4,5,10000,100,23,"vcm","2",2,NA,"lm_forest",0.0122848692660011
"grad",4,5,10000,100,24,"vcm","2",2,NA,"lm_forest",0.0163492100792086
"fpt1",4,5,10000,100,24,"vcm","2",2,NA,"lm_forest",0.0161455772955639
"fpt2",4,5,10000,100,24,"vcm","2",2,NA,"lm_forest",0.0165684101964847
"grad",4,5,10000,100,25,"vcm","2",2,NA,"lm_forest",0.0117636219821176
"fpt1",4,5,10000,100,25,"vcm","2",2,NA,"lm_forest",0.0117908527458838
"fpt2",4,5,10000,100,25,"vcm","2",2,NA,"lm_forest",0.0117442855198876
"grad",4,5,10000,100,26,"vcm","2",2,NA,"lm_forest",0.00925642864777019
"fpt1",4,5,10000,100,26,"vcm","2",2,NA,"lm_forest",0.00907858307646699
"fpt2",4,5,10000,100,26,"vcm","2",2,NA,"lm_forest",0.00903823169062344
"grad",4,5,10000,100,27,"vcm","2",2,NA,"lm_forest",0.0100604375182233
"fpt1",4,5,10000,100,27,"vcm","2",2,NA,"lm_forest",0.0102987029166742
"fpt2",4,5,10000,100,27,"vcm","2",2,NA,"lm_forest",0.0098449769277794
"grad",4,5,10000,100,28,"vcm","2",2,NA,"lm_forest",0.0147428128691576
"fpt1",4,5,10000,100,28,"vcm","2",2,NA,"lm_forest",0.014927106737922
"fpt2",4,5,10000,100,28,"vcm","2",2,NA,"lm_forest",0.0148524062177167
"grad",4,5,10000,100,29,"vcm","2",2,NA,"lm_forest",0.0125417361619765
"fpt1",4,5,10000,100,29,"vcm","2",2,NA,"lm_forest",0.0126987592001821
"fpt2",4,5,10000,100,29,"vcm","2",2,NA,"lm_forest",0.0126547702827025
"grad",4,5,10000,100,30,"vcm","2",2,NA,"lm_forest",0.00944352645804435
"fpt1",4,5,10000,100,30,"vcm","2",2,NA,"lm_forest",0.00938748889334148
"fpt2",4,5,10000,100,30,"vcm","2",2,NA,"lm_forest",0.00939291334918169
"grad",4,5,10000,100,31,"vcm","2",2,NA,"lm_forest",0.0141937804508049
"fpt1",4,5,10000,100,31,"vcm","2",2,NA,"lm_forest",0.0141033898069715
"fpt2",4,5,10000,100,31,"vcm","2",2,NA,"lm_forest",0.0140691079560414
"grad",4,5,10000,100,32,"vcm","2",2,NA,"lm_forest",0.0166999970352551
"fpt1",4,5,10000,100,32,"vcm","2",2,NA,"lm_forest",0.0165571365575236
"fpt2",4,5,10000,100,32,"vcm","2",2,NA,"lm_forest",0.0163273468485729
"grad",4,5,10000,100,33,"vcm","2",2,NA,"lm_forest",0.0115237587028757
"fpt1",4,5,10000,100,33,"vcm","2",2,NA,"lm_forest",0.0117645922671756
"fpt2",4,5,10000,100,33,"vcm","2",2,NA,"lm_forest",0.0115009075462131
"grad",4,5,10000,100,34,"vcm","2",2,NA,"lm_forest",0.0152832081720785
"fpt1",4,5,10000,100,34,"vcm","2",2,NA,"lm_forest",0.0151962595000451
"fpt2",4,5,10000,100,34,"vcm","2",2,NA,"lm_forest",0.0151268822305463
"grad",4,5,10000,100,35,"vcm","2",2,NA,"lm_forest",0.0106514095496009
"fpt1",4,5,10000,100,35,"vcm","2",2,NA,"lm_forest",0.0107366880728264
"fpt2",4,5,10000,100,35,"vcm","2",2,NA,"lm_forest",0.010489936505516
"grad",4,5,10000,100,36,"vcm","2",2,NA,"lm_forest",0.0101231281745921
"fpt1",4,5,10000,100,36,"vcm","2",2,NA,"lm_forest",0.010190361350767
"fpt2",4,5,10000,100,36,"vcm","2",2,NA,"lm_forest",0.00988585501582143
"grad",4,5,10000,100,37,"vcm","2",2,NA,"lm_forest",0.00933044921170159
"fpt1",4,5,10000,100,37,"vcm","2",2,NA,"lm_forest",0.00907132422555343
"fpt2",4,5,10000,100,37,"vcm","2",2,NA,"lm_forest",0.00900837251094938
"grad",4,5,10000,100,38,"vcm","2",2,NA,"lm_forest",0.0104124066280655
"fpt1",4,5,10000,100,38,"vcm","2",2,NA,"lm_forest",0.0106388020228354
"fpt2",4,5,10000,100,38,"vcm","2",2,NA,"lm_forest",0.010542027402882
"grad",4,5,10000,100,39,"vcm","2",2,NA,"lm_forest",0.0104877361130107
"fpt1",4,5,10000,100,39,"vcm","2",2,NA,"lm_forest",0.0107691197331392
"fpt2",4,5,10000,100,39,"vcm","2",2,NA,"lm_forest",0.0106984559481885
"grad",4,5,10000,100,40,"vcm","2",2,NA,"lm_forest",0.0126160610528376
"fpt1",4,5,10000,100,40,"vcm","2",2,NA,"lm_forest",0.0129939346469358
"fpt2",4,5,10000,100,40,"vcm","2",2,NA,"lm_forest",0.0126124547919767
"grad",4,5,10000,100,41,"vcm","2",2,NA,"lm_forest",0.0169889769784816
"fpt1",4,5,10000,100,41,"vcm","2",2,NA,"lm_forest",0.0170694292036881
"fpt2",4,5,10000,100,41,"vcm","2",2,NA,"lm_forest",0.0168527235613477
"grad",4,5,10000,100,42,"vcm","2",2,NA,"lm_forest",0.0160489075492987
"fpt1",4,5,10000,100,42,"vcm","2",2,NA,"lm_forest",0.0163033721712168
"fpt2",4,5,10000,100,42,"vcm","2",2,NA,"lm_forest",0.0160636672234218
"grad",4,5,10000,100,43,"vcm","2",2,NA,"lm_forest",0.016543649662017
"fpt1",4,5,10000,100,43,"vcm","2",2,NA,"lm_forest",0.0165383971072175
"fpt2",4,5,10000,100,43,"vcm","2",2,NA,"lm_forest",0.0159081194890009
"grad",4,5,10000,100,44,"vcm","2",2,NA,"lm_forest",0.00923918591508325
"fpt1",4,5,10000,100,44,"vcm","2",2,NA,"lm_forest",0.00942080583653345
"fpt2",4,5,10000,100,44,"vcm","2",2,NA,"lm_forest",0.00903590975761092
"grad",4,5,10000,100,45,"vcm","2",2,NA,"lm_forest",0.0120003062828155
"fpt1",4,5,10000,100,45,"vcm","2",2,NA,"lm_forest",0.0122749710784206
"fpt2",4,5,10000,100,45,"vcm","2",2,NA,"lm_forest",0.0122204110903892
"grad",4,5,10000,100,46,"vcm","2",2,NA,"lm_forest",0.0119425411376643
"fpt1",4,5,10000,100,46,"vcm","2",2,NA,"lm_forest",0.0121916722207174
"fpt2",4,5,10000,100,46,"vcm","2",2,NA,"lm_forest",0.0120491367251253
"grad",4,5,10000,100,47,"vcm","2",2,NA,"lm_forest",0.0139550082388707
"fpt1",4,5,10000,100,47,"vcm","2",2,NA,"lm_forest",0.0141530153844126
"fpt2",4,5,10000,100,47,"vcm","2",2,NA,"lm_forest",0.0136620477806688
"grad",4,5,10000,100,48,"vcm","2",2,NA,"lm_forest",0.0108051862642572
"fpt1",4,5,10000,100,48,"vcm","2",2,NA,"lm_forest",0.0108797428781008
"fpt2",4,5,10000,100,48,"vcm","2",2,NA,"lm_forest",0.0106543041827651
"grad",4,5,10000,100,49,"vcm","2",2,NA,"lm_forest",0.00978398661293148
"fpt1",4,5,10000,100,49,"vcm","2",2,NA,"lm_forest",0.0098355095743423
"fpt2",4,5,10000,100,49,"vcm","2",2,NA,"lm_forest",0.00999284943209023
"grad",4,5,10000,100,50,"vcm","2",2,NA,"lm_forest",0.0147403914115783
"fpt1",4,5,10000,100,50,"vcm","2",2,NA,"lm_forest",0.0143345765148033
"fpt2",4,5,10000,100,50,"vcm","2",2,NA,"lm_forest",0.0142580972179439
"grad",256,5,10000,100,1,"vcm","2",2,NA,"lm_forest",0.0436115597831487
"fpt1",256,5,10000,100,1,"vcm","2",2,NA,"lm_forest",0.0400413584415486
"fpt2",256,5,10000,100,1,"vcm","2",2,NA,"lm_forest",0.0478111090517166
"grad",256,5,10000,100,2,"vcm","2",2,NA,"lm_forest",0.0416239505197116
"fpt1",256,5,10000,100,2,"vcm","2",2,NA,"lm_forest",0.03707404515925
"fpt2",256,5,10000,100,2,"vcm","2",2,NA,"lm_forest",0.0437659652361526
"grad",256,5,10000,100,3,"vcm","2",2,NA,"lm_forest",0.036226984865841
"fpt1",256,5,10000,100,3,"vcm","2",2,NA,"lm_forest",0.0345620642471874
"fpt2",256,5,10000,100,3,"vcm","2",2,NA,"lm_forest",0.0429982722261771
"grad",256,5,10000,100,4,"vcm","2",2,NA,"lm_forest",0.0415428347010442
"fpt1",256,5,10000,100,4,"vcm","2",2,NA,"lm_forest",0.0377679160882616
"fpt2",256,5,10000,100,4,"vcm","2",2,NA,"lm_forest",0.0456616193181165
"grad",256,5,10000,100,5,"vcm","2",2,NA,"lm_forest",0.0408647882671912
"fpt1",256,5,10000,100,5,"vcm","2",2,NA,"lm_forest",0.0386099027605227
"fpt2",256,5,10000,100,5,"vcm","2",2,NA,"lm_forest",0.047836446760792
"grad",256,5,10000,100,6,"vcm","2",2,NA,"lm_forest",0.0501416594921274
"fpt1",256,5,10000,100,6,"vcm","2",2,NA,"lm_forest",0.0447438482710218
"fpt2",256,5,10000,100,6,"vcm","2",2,NA,"lm_forest",0.0556696487376998
"grad",256,5,10000,100,7,"vcm","2",2,NA,"lm_forest",0.0449135880211101
