"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","effect","dim_mse"
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta2",0.141670727516452
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta3",0.177896487650319
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta4",0.101955924564091
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta5",0.142603304850202
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta6",0.0731510872953832
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta7",0.066305279203149
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta8",0.076381411589989
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta9",0.217594765275732
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta10",0.100751656248849
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta11",0.451665975934771
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta12",0.117865895514783
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta13",0.0554021860507379
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta14",0.0408826498122555
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta15",0.190572744753715
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta16",0.936690770974422
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta17",0.159068764612385
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta18",0.272411750700295
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta19",0.206503864836252
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta20",0.162037842576039
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta21",0.0202474842147866
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta22",0.249467271043734
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta23",0.0400356410897179
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta24",0.0447825728931969
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta25",0.0879473446086938
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta26",0.0989277211896548
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta27",0.354826395600805
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta28",0.13123020214003
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta29",0.0893439582955697
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta30",0.027346324680712
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta31",0.0930746387931661
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta32",0.137466523230943
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta33",0.138050373480899
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta34",0.164485842766176
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta35",0.101933927181589
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta36",0.0866386047161227
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta37",0.0592594332861186
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta38",0.0436394446382968
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta39",0.0548503025954606
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta40",0.100585977930583
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta41",0.101203432651736
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta42",0.026573486943198
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta43",0.22128944289397
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta44",0.0872565532969235
