"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","effect","dim_mse"
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta1",0.0231227468676776
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta2",0.0176454085250527
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta3",0.0425088802010974
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta4",0.0461885273304112
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta5",0.0744293794783423
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta6",0.0140960635130368
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta7",0.022332312888265
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta8",0.019382866158458
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta9",0.0257691001811802
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta10",0.0179060774588271
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta11",0.0195339594348322
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta12",0.0487804597540447
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta13",0.0164021728756533
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta14",0.0159548439890356
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta15",0.0147931218979852
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta16",0.0293082189391928
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta17",0.0290673350790606
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta18",0.0578911996409136
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta19",0.0604082664015261
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta20",0.0402793919901227
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta21",0.0372487114475184
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta22",0.0549693164001091
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta23",0.0591219359241285
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta24",0.0772334443255983
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta25",0.0226108594720034
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta26",0.0235441936572952
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta27",0.0262777446328898
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta28",0.0278947717524571
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta29",0.0191118472328154
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta30",0.0456273639268879
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta31",0.0438334492675117
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta32",0.0246581957077349
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta33",0.0202925118252457
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta34",0.0350930408177241
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta35",0.0282714328697057
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta36",0.0177087538070129
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta37",0.0317489565195842
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta38",0.0474690407047192
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta39",0.0427671410163654
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta40",0.0623765531846972
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta41",0.0225599234869837
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta42",0.0603650015564654
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta43",0.042272185381335
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta44",0.0284926428178319
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta45",0.0243227021832583
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta46",0.030102304484501
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta47",0.0271400861768992
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta48",0.0197567621756424
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta49",0.0598118214514488
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta50",0.0348658634074319
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta51",0.0255930025082658
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta52",0.0302818230916881
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta53",0.0279820682686307
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta54",0.0417177968335859
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta55",0.0561861442802244
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta56",0.0571566524048313
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta57",0.0770308823070308
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta58",0.022838371446017
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta59",0.0339175020499919
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta60",0.0257601166798338
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta61",0.0568402840777659
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta62",0.0507495471358384
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta63",0.0231291775273903
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta64",0.0286282951683121
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta65",0.0203947268330257
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta66",0.0516464235508832
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta67",0.014237929018366
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta68",0.0450322150311624
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta69",0.0302493128224854
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta70",0.0216201784117641
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta71",0.0357369338586546
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta72",0.0226879119733222
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta73",0.0346999574973707
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta74",0.0364773747781789
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta75",0.0346981837689248
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta76",0.0390569860029848
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta77",0.0394965196836472
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta78",0.0680714856623414
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta79",0.0167072686628816
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta80",0.0420571805464192
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta81",0.0244619567841022
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta82",0.0207066401385739
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta83",0.0230050337230208
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta84",0.0320837820703948
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta85",0.0285411996584339
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta86",0.0281328107445143
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta87",0.0304997464700993
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta88",0.047135615302974
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta89",0.024301188780552
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta90",0.018605612514368
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta91",0.031828005017971
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta92",0.0422924654136808
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta93",0.0531344559012353
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta94",0.0342063107876838
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta95",0.0574715056878468
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta96",0.0242509011007743
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta97",0.0334323462947902
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta98",0.0204089221453594
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta99",0.0193505133208749
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta100",0.0313412958890412
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta101",0.0342807308687413
"grad",256,5,20000,100,1,"vcm","4",4,NA,"lm_forest","theta102",0.0152418523048731
