"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","tree","nsplits"
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",1,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",2,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",3,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",4,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",5,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",6,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",7,0
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",8,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",9,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",10,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",11,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",12,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",13,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",14,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",15,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",16,0
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",17,0
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",18,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",19,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",20,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",21,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",22,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",23,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",24,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",25,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",26,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",27,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",28,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",29,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",30,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",31,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",32,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",33,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",34,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",35,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",36,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",37,0
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",38,0
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",39,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",40,0
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",41,0
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",42,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",43,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",44,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",45,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",46,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",47,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",48,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",49,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",50,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",51,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",52,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",53,0
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",54,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",55,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",56,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",57,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",58,0
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",59,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",60,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",61,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",62,0
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",63,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",64,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",65,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",66,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",67,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",68,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",69,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",70,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",71,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",72,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",73,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",74,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",75,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",76,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",77,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",78,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",79,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",80,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",81,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",82,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",83,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",84,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",85,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",86,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",87,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",88,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",89,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",90,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",91,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",92,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",93,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",94,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",95,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",96,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",97,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",98,0
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",99,1
"grad",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",100,0
"FPT",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",1,1
"FPT",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",2,1
"FPT",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",3,1
"FPT",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",4,1
"FPT",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",5,1
"FPT",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",6,1
"FPT",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",7,0
"FPT",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",8,1
"FPT",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",9,1
"FPT",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",10,1
"FPT",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",11,1
"FPT",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",12,1
"FPT",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",13,1
"FPT",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",14,1
"FPT",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",15,1
"FPT",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",16,0
"FPT",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",17,0
"FPT",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",18,1
"FPT",256,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",19,1
