"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","tree","nsplits"
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",1,63
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",2,66
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",3,64
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",4,60
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",5,76
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",6,63
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",7,52
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",8,56
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",9,58
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",10,45
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",11,61
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",12,69
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",13,53
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",14,62
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",15,68
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",16,66
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",17,66
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",18,71
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",19,66
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",20,65
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",21,59
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",22,55
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",23,60
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",24,64
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",25,60
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",26,65
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",27,62
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",28,67
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",29,47
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",30,65
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",31,69
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",32,60
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",33,75
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",34,71
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",35,74
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",36,58
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",37,64
"grad",256,5,20000,100,1,"vcm","1",1,NA,"lm_forest",38,65
