"method","median","K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN"
"grad",1.2210453399457,256,5,10000,1,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",1.11513356014621,256,5,10000,1,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.349046600051224,64,5,10000,1,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.357873343047686,64,5,10000,1,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.107392680132762,16,5,10000,1,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.1008161441423,16,5,10000,1,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.0733689741464332,4,5,10000,1,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.069297707057558,4,5,10000,1,"hte","1",1,1,"multi_arm_causal_forest"
"grad",3.88044487312436,256,5,20000,1,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",3.02727077412419,256,5,20000,1,"hte","1",1,1,"multi_arm_causal_forest"
"grad",1.02612232707907,64,5,20000,1,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.853656908031553,64,5,20000,1,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.335347340092994,16,5,20000,1,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.247347042080946,16,5,20000,1,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.17967441608198,4,5,20000,1,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.160322751034983,4,5,20000,1,"hte","1",1,1,"multi_arm_causal_forest"
"grad",8.12048892793246,256,5,10000,50,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",6.85861499607563,256,5,10000,50,"hte","1",1,1,"multi_arm_causal_forest"
"grad",2.29104521102272,64,5,10000,50,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",1.83432127616834,64,5,10000,50,"hte","1",1,1,"multi_arm_causal_forest"
"grad",1.05207944195718,16,5,10000,50,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.932595651014708,16,5,10000,50,"hte","1",1,1,"multi_arm_causal_forest"
"grad",0.718337545054965,4,5,10000,50,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",0.667549106059596,4,5,10000,50,"hte","1",1,1,"multi_arm_causal_forest"
"grad",29.5036781841191,256,5,20000,50,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",23.8334209391614,256,5,20000,50,"hte","1",1,1,"multi_arm_causal_forest"
"grad",8.47481496015098,64,5,20000,50,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",6.50351794203743,64,5,20000,50,"hte","1",1,1,"multi_arm_causal_forest"
"grad",2.71123668004293,16,5,20000,50,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",2.48156109207775,16,5,20000,50,"hte","1",1,1,"multi_arm_causal_forest"
"grad",1.78599939902779,4,5,20000,50,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",1.66440304194111,4,5,20000,50,"hte","1",1,1,"multi_arm_causal_forest"
"grad",16.4513494290877,256,5,10000,100,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",13.8759631901048,256,5,10000,100,"hte","1",1,1,"multi_arm_causal_forest"
"grad",4.46596544899512,64,5,10000,100,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",3.78194757609162,64,5,10000,100,"hte","1",1,1,"multi_arm_causal_forest"
"grad",2.16192327102181,16,5,10000,100,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",1.86535171011928,16,5,10000,100,"hte","1",1,1,"multi_arm_causal_forest"
"grad",1.47680586704519,4,5,10000,100,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",1.38130985398311,4,5,10000,100,"hte","1",1,1,"multi_arm_causal_forest"
"grad",58.3210950960638,256,5,20000,100,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",47.5617075160844,256,5,20000,100,"hte","1",1,1,"multi_arm_causal_forest"
"grad",16.5878903411794,64,5,20000,100,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",13.300810788176,64,5,20000,100,"hte","1",1,1,"multi_arm_causal_forest"
"grad",5.66272552800365,16,5,20000,100,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",4.96021979814395,16,5,20000,100,"hte","1",1,1,"multi_arm_causal_forest"
"grad",3.45664472714998,4,5,20000,100,"hte","1",1,1,"multi_arm_causal_forest"
"fpt2",3.26972461806145,4,5,20000,100,"hte","1",1,1,"multi_arm_causal_forest"
