"K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN","grad","fpt2","fpt2_FACTOR"
256,5,10000,1,"hte","1",1,1,"multi_arm_causal_forest",1.2210453399457,1.11513356014621,1.09497676653693
64,5,10000,1,"hte","1",1,1,"multi_arm_causal_forest",0.349046600051224,0.357873343047686,0.975335567267201
16,5,10000,1,"hte","1",1,1,"multi_arm_causal_forest",0.107392680132762,0.1008161441423,1.06523296488288
4,5,10000,1,"hte","1",1,1,"multi_arm_causal_forest",0.0733689741464332,0.069297707057558,1.05875038672627
256,5,20000,1,"hte","1",1,1,"multi_arm_causal_forest",3.88044487312436,3.02727077412419,1.28182946378393
64,5,20000,1,"hte","1",1,1,"multi_arm_causal_forest",1.02612232707907,0.853656908031553,1.20203130487774
16,5,20000,1,"hte","1",1,1,"multi_arm_causal_forest",0.335347340092994,0.247347042080946,1.35577663380041
4,5,20000,1,"hte","1",1,1,"multi_arm_causal_forest",0.17967441608198,0.160322751034983,1.12070442231106
256,5,10000,50,"hte","1",1,1,"multi_arm_causal_forest",8.12048892793246,6.85861499607563,1.18398378281604
64,5,10000,50,"hte","1",1,1,"multi_arm_causal_forest",2.29104521102272,1.83432127616834,1.24898797216615
16,5,10000,50,"hte","1",1,1,"multi_arm_causal_forest",1.05207944195718,0.932595651014708,1.12811960983569
4,5,10000,50,"hte","1",1,1,"multi_arm_causal_forest",0.718337545054965,0.667549106059596,1.07608195192585
256,5,20000,50,"hte","1",1,1,"multi_arm_causal_forest",29.5036781841191,23.8334209391614,1.2379120168872
64,5,20000,50,"hte","1",1,1,"multi_arm_causal_forest",8.47481496015098,6.50351794203743,1.30311241326352
16,5,20000,50,"hte","1",1,1,"multi_arm_causal_forest",2.71123668004293,2.48156109207775,1.09255286468602
4,5,20000,50,"hte","1",1,1,"multi_arm_causal_forest",1.78599939902779,1.66440304194111,1.07305703848322
256,5,10000,100,"hte","1",1,1,"multi_arm_causal_forest",16.4513494290877,13.8759631901048,1.18560053840583
64,5,10000,100,"hte","1",1,1,"multi_arm_causal_forest",4.46596544899512,3.78194757609162,1.18086392239482
16,5,10000,100,"hte","1",1,1,"multi_arm_causal_forest",2.16192327102181,1.86535171011928,1.15898962072067
4,5,10000,100,"hte","1",1,1,"multi_arm_causal_forest",1.47680586704519,1.38130985398311,1.06913438920797
256,5,20000,100,"hte","1",1,1,"multi_arm_causal_forest",58.3210950960638,47.5617075160844,1.2262195396652
64,5,20000,100,"hte","1",1,1,"multi_arm_causal_forest",16.5878903411794,13.300810788176,1.24713377292199
16,5,20000,100,"hte","1",1,1,"multi_arm_causal_forest",5.66272552800365,4.96021979814395,1.14162794360898
4,5,20000,100,"hte","1",1,1,"multi_arm_causal_forest",3.45664472714998,3.26972461806145,1.05716692716445
