"K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN","grad","fpt2","fpt2_FACTOR"
256,5,10000,1,"vcm","2",2,NA,"lm_forest",3.44459603808355,1.48110407916829,2.32569478845663
64,5,10000,1,"vcm","2",2,NA,"lm_forest",0.382496629958041,0.24041037412826,1.59101549317492
16,5,10000,1,"vcm","2",2,NA,"lm_forest",0.123175430926494,0.101442763116211,1.21423576352497
4,5,10000,1,"vcm","2",2,NA,"lm_forest",0.100446456111968,0.0870150121627375,1.15435777822004
256,5,20000,1,"vcm","2",2,NA,"lm_forest",6.93013777816668,3.69203285512049,1.87705203342252
64,5,20000,1,"vcm","2",2,NA,"lm_forest",0.927099566091783,0.66918361489661,1.38541880801284
16,5,20000,1,"vcm","2",2,NA,"lm_forest",0.302004001103342,0.255817870958708,1.18054301668427
4,5,20000,1,"vcm","2",2,NA,"lm_forest",0.198465041117743,0.178819442982785,1.10986276328379
256,5,10000,50,"vcm","2",2,NA,"lm_forest",39.4216247119475,15.9092831058661,2.47790076080876
64,5,10000,50,"vcm","2",2,NA,"lm_forest",4.51001853996422,2.64551253803074,1.70478063329134
16,5,10000,50,"vcm","2",2,NA,"lm_forest",1.33181132713798,1.10691394004971,1.20317513308955
4,5,10000,50,"vcm","2",2,NA,"lm_forest",0.992049191030674,0.89536725601647,1.10798019959357
256,5,20000,50,"vcm","2",2,NA,"lm_forest",117.198872511042,45.5225038640201,2.57452605992689
64,5,20000,50,"vcm","2",2,NA,"lm_forest",17.3613108310383,12.7845161750447,1.35799513984952
16,5,20000,50,"vcm","2",2,NA,"lm_forest",3.73412356991321,2.79388203611597,1.33653587432931
4,5,20000,50,"vcm","2",2,NA,"lm_forest",2.16408821311779,1.99256238609087,1.08608303972024
256,5,10000,100,"vcm","2",2,NA,"lm_forest",97.5898368679918,43.5321355799679,2.24178840683616
64,5,10000,100,"vcm","2",2,NA,"lm_forest",11.2206734840292,7.10947974293958,1.57826928126105
16,5,10000,100,"vcm","2",2,NA,"lm_forest",3.67402938893065,2.79418311303016,1.3148849736431
4,5,10000,100,"vcm","2",2,NA,"lm_forest",5.45086712099146,3.29162767913658,1.65597924563001
256,5,20000,100,"vcm","2",2,NA,"lm_forest",287.065035966109,175.527146235108,1.63544524094069
64,5,20000,100,"vcm","2",2,NA,"lm_forest",21.244346929132,13.9352041970706,1.5245091947485
16,5,20000,100,"vcm","2",2,NA,"lm_forest",6.7247430710122,6.61323539493605,1.01686128943203
4,5,20000,100,"vcm","2",2,NA,"lm_forest",4.91907096316572,4.19646349013783,1.172194390521
