"method","median","K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN"
"grad",3.29003489308525,256,5,10000,1,"vcm","4",4,NA,"lm_forest"
"fpt2",1.45017207309138,256,5,10000,1,"vcm","4",4,NA,"lm_forest"
"grad",0.39411044109147,64,5,10000,1,"vcm","4",4,NA,"lm_forest"
"fpt2",0.323813262046315,64,5,10000,1,"vcm","4",4,NA,"lm_forest"
"grad",0.133360615116544,16,5,10000,1,"vcm","4",4,NA,"lm_forest"
"fpt2",0.112285639159381,16,5,10000,1,"vcm","4",4,NA,"lm_forest"
"grad",0.082507262006402,4,5,10000,1,"vcm","4",4,NA,"lm_forest"
"fpt2",0.077362313051708,4,5,10000,1,"vcm","4",4,NA,"lm_forest"
"grad",7.30094977596309,256,5,20000,1,"vcm","4",4,NA,"lm_forest"
"fpt2",3.7073016979266,256,5,20000,1,"vcm","4",4,NA,"lm_forest"
"grad",0.962859206134453,64,5,20000,1,"vcm","4",4,NA,"lm_forest"
"fpt2",0.61949239205569,64,5,20000,1,"vcm","4",4,NA,"lm_forest"
"grad",0.266298672999255,16,5,20000,1,"vcm","4",4,NA,"lm_forest"
"fpt2",0.220837712986395,16,5,20000,1,"vcm","4",4,NA,"lm_forest"
"grad",0.185115612111986,4,5,20000,1,"vcm","4",4,NA,"lm_forest"
"fpt2",0.172378497081809,4,5,20000,1,"vcm","4",4,NA,"lm_forest"
"grad",51.4839241279988,256,5,10000,50,"vcm","4",4,NA,"lm_forest"
"fpt2",24.2377647750545,256,5,10000,50,"vcm","4",4,NA,"lm_forest"
"grad",3.87702669808641,64,5,10000,50,"vcm","4",4,NA,"lm_forest"
"fpt2",2.27806735015474,64,5,10000,50,"vcm","4",4,NA,"lm_forest"
"grad",1.30512574606109,16,5,10000,50,"vcm","4",4,NA,"lm_forest"
"fpt2",1.03785857500043,16,5,10000,50,"vcm","4",4,NA,"lm_forest"
"grad",0.971927745151334,4,5,10000,50,"vcm","4",4,NA,"lm_forest"
"fpt2",0.932045339024626,4,5,10000,50,"vcm","4",4,NA,"lm_forest"
"grad",80.1401671679923,256,5,20000,50,"vcm","4",4,NA,"lm_forest"
"fpt2",40.2371308059664,256,5,20000,50,"vcm","4",4,NA,"lm_forest"
"grad",10.0746498740045,64,5,20000,50,"vcm","4",4,NA,"lm_forest"
"fpt2",6.95328363403678,64,5,20000,50,"vcm","4",4,NA,"lm_forest"
"grad",2.90397612715606,16,5,20000,50,"vcm","4",4,NA,"lm_forest"
"fpt2",2.46833201206755,16,5,20000,50,"vcm","4",4,NA,"lm_forest"
"grad",2.12851040391251,4,5,20000,50,"vcm","4",4,NA,"lm_forest"
"fpt2",1.98461062798742,4,5,20000,50,"vcm","4",4,NA,"lm_forest"
"grad",64.8650904741371,256,5,10000,100,"vcm","4",4,NA,"lm_forest"
"fpt2",31.351706842077,256,5,10000,100,"vcm","4",4,NA,"lm_forest"
"grad",8.48224581091199,64,5,10000,100,"vcm","4",4,NA,"lm_forest"
"fpt2",6.18280407902785,64,5,10000,100,"vcm","4",4,NA,"lm_forest"
"grad",2.55195855512284,16,5,10000,100,"vcm","4",4,NA,"lm_forest"
"fpt2",2.10305348900147,16,5,10000,100,"vcm","4",4,NA,"lm_forest"
"grad",1.96113918116316,4,5,10000,100,"vcm","4",4,NA,"lm_forest"
"fpt2",1.76420852402225,4,5,10000,100,"vcm","4",4,NA,"lm_forest"
"grad",166.610201371019,256,5,20000,100,"vcm","4",4,NA,"lm_forest"
"fpt2",80.7580884499475,256,5,20000,100,"vcm","4",4,NA,"lm_forest"
"grad",22.7442303540884,64,5,20000,100,"vcm","4",4,NA,"lm_forest"
"fpt2",14.0495650549419,64,5,20000,100,"vcm","4",4,NA,"lm_forest"
"grad",5.71589305193629,16,5,20000,100,"vcm","4",4,NA,"lm_forest"
"fpt2",4.58356271509547,16,5,20000,100,"vcm","4",4,NA,"lm_forest"
"grad",4.66289056907408,4,5,20000,100,"vcm","4",4,NA,"lm_forest"
"fpt2",3.83522540295962,4,5,20000,100,"vcm","4",4,NA,"lm_forest"
