"method","median","K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN"
"grad",0.55130851699505,256,5,10000,1,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.37676214100793,256,5,10000,1,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.199658137978986,64,5,10000,1,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.168231543968432,64,5,10000,1,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.10590735101141,16,5,10000,1,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0868492699228227,16,5,10000,1,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.0658535400871187,4,5,10000,1,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0653552610892802,4,5,10000,1,"hte","2",1,2,"multi_arm_causal_forest"
"grad",2.58801411103923,256,5,20000,1,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",2.07030490017496,256,5,20000,1,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.878228632034734,64,5,20000,1,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.720957390032709,64,5,20000,1,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.274518068064936,16,5,20000,1,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.253507509944029,16,5,20000,1,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.171256239176728,4,5,20000,1,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.17130025208462,4,5,20000,1,"hte","2",1,2,"multi_arm_causal_forest"
"grad",8.42887755401898,256,5,10000,50,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",6.83983082906343,256,5,10000,50,"hte","2",1,2,"multi_arm_causal_forest"
"grad",1.52690464514308,64,5,10000,50,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",1.26677153201308,64,5,10000,50,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.886038687080145,16,5,10000,50,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.825314606074244,16,5,10000,50,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.685355043970048,4,5,10000,50,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.657148172031157,4,5,10000,50,"hte","2",1,2,"multi_arm_causal_forest"
"grad",16.9850096830633,256,5,20000,50,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",14.2822602059459,256,5,20000,50,"hte","2",1,2,"multi_arm_causal_forest"
"grad",6.31154519994743,64,5,20000,50,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",5.6513449101476,64,5,20000,50,"hte","2",1,2,"multi_arm_causal_forest"
"grad",2.55108622310217,16,5,20000,50,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",2.39175674098078,16,5,20000,50,"hte","2",1,2,"multi_arm_causal_forest"
"grad",1.70615403109696,4,5,20000,50,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",1.61948226403911,4,5,20000,50,"hte","2",1,2,"multi_arm_causal_forest"
"grad",16.7401284041116,256,5,10000,100,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",14.2923706569709,256,5,10000,100,"hte","2",1,2,"multi_arm_causal_forest"
"grad",3.06028651806992,64,5,10000,100,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",2.68435005506035,64,5,10000,100,"hte","2",1,2,"multi_arm_causal_forest"
"grad",1.84854388108943,16,5,10000,100,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",1.79754962399602,16,5,10000,100,"hte","2",1,2,"multi_arm_causal_forest"
"grad",1.44228871993255,4,5,10000,100,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",1.33954849094152,4,5,10000,100,"hte","2",1,2,"multi_arm_causal_forest"
"grad",35.5070935441181,256,5,20000,100,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",30.217615108937,256,5,20000,100,"hte","2",1,2,"multi_arm_causal_forest"
"grad",12.839355417178,64,5,20000,100,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",11.1430822240654,64,5,20000,100,"hte","2",1,2,"multi_arm_causal_forest"
"grad",5.2020591389155,16,5,20000,100,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",4.7742623500526,16,5,20000,100,"hte","2",1,2,"multi_arm_causal_forest"
"grad",3.38980065390933,4,5,20000,100,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",3.19534255901817,4,5,20000,100,"hte","2",1,2,"multi_arm_causal_forest"
