"K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN","grad","fpt2","fpt2_FACTOR"
256,5,10000,1,"hte","2",1,2,"multi_arm_causal_forest",0.55130851699505,0.37676214100793,1.46328002999496
64,5,10000,1,"hte","2",1,2,"multi_arm_causal_forest",0.199658137978986,0.168231543968432,1.1868055970315
16,5,10000,1,"hte","2",1,2,"multi_arm_causal_forest",0.10590735101141,0.0868492699228227,1.21943858716974
4,5,10000,1,"hte","2",1,2,"multi_arm_causal_forest",0.0658535400871187,0.0653552610892802,1.00762416046595
256,5,20000,1,"hte","2",1,2,"multi_arm_causal_forest",2.58801411103923,2.07030490017496,1.25006423489628
64,5,20000,1,"hte","2",1,2,"multi_arm_causal_forest",0.878228632034734,0.720957390032709,1.21814221502728
16,5,20000,1,"hte","2",1,2,"multi_arm_causal_forest",0.274518068064936,0.253507509944029,1.08287943077325
4,5,20000,1,"hte","2",1,2,"multi_arm_causal_forest",0.171256239176728,0.17130025208462,0.9997430657144
256,5,10000,50,"hte","2",1,2,"multi_arm_causal_forest",8.42887755401898,6.83983082906343,1.23232251859263
64,5,10000,50,"hte","2",1,2,"multi_arm_causal_forest",1.52690464514308,1.26677153201308,1.20535124650031
16,5,10000,50,"hte","2",1,2,"multi_arm_causal_forest",0.886038687080145,0.825314606074244,1.07357688881183
4,5,10000,50,"hte","2",1,2,"multi_arm_causal_forest",0.685355043970048,0.657148172031157,1.04292315361954
256,5,20000,50,"hte","2",1,2,"multi_arm_causal_forest",16.9850096830633,14.2822602059459,1.18923821847134
64,5,20000,50,"hte","2",1,2,"multi_arm_causal_forest",6.31154519994743,5.6513449101476,1.11682180088042
16,5,20000,50,"hte","2",1,2,"multi_arm_causal_forest",2.55108622310217,2.39175674098078,1.06661608991893
4,5,20000,50,"hte","2",1,2,"multi_arm_causal_forest",1.70615403109696,1.61948226403911,1.0535181946616
256,5,10000,100,"hte","2",1,2,"multi_arm_causal_forest",16.7401284041116,14.2923706569709,1.17126324287895
64,5,10000,100,"hte","2",1,2,"multi_arm_causal_forest",3.06028651806992,2.68435005506035,1.14004748087936
16,5,10000,100,"hte","2",1,2,"multi_arm_causal_forest",1.84854388108943,1.79754962399602,1.02836876179254
4,5,10000,100,"hte","2",1,2,"multi_arm_causal_forest",1.44228871993255,1.33954849094152,1.07669765572937
256,5,20000,100,"hte","2",1,2,"multi_arm_causal_forest",35.5070935441181,30.217615108937,1.17504619130636
64,5,20000,100,"hte","2",1,2,"multi_arm_causal_forest",12.839355417178,11.1430822240654,1.15222657062058
16,5,20000,100,"hte","2",1,2,"multi_arm_causal_forest",5.2020591389155,4.7742623500526,1.08960479284474
4,5,20000,100,"hte","2",1,2,"multi_arm_causal_forest",3.38980065390933,3.19534255901817,1.0608567285978
