"K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN","grad","fpt2","fpt2_FACTOR"
256,5,10000,1,"vcm","1",1,NA,"lm_forest",3.32125625910703,1.71887462912127,1.93222716935727
64,5,10000,1,"vcm","1",1,NA,"lm_forest",0.387162342085503,0.238271069014445,1.62488187796745
16,5,10000,1,"vcm","1",1,NA,"lm_forest",0.147911548032425,0.125285075977445,1.18059989889821
4,5,10000,1,"vcm","1",1,NA,"lm_forest",0.0997851830907166,0.093889829935506,1.0627901143208
256,5,20000,1,"vcm","1",1,NA,"lm_forest",7.13629323907662,3.55755959101953,2.00595184887163
64,5,20000,1,"vcm","1",1,NA,"lm_forest",0.922183503163978,0.670124356052838,1.37613786879172
16,5,20000,1,"vcm","1",1,NA,"lm_forest",0.288475437089801,0.240193470031954,1.20101282125373
4,5,20000,1,"vcm","1",1,NA,"lm_forest",0.378918957081623,0.183120175031945,2.06923653833075
256,5,10000,50,"vcm","1",1,NA,"lm_forest",31.208029189962,12.6361195569625,2.46974785647436
64,5,10000,50,"vcm","1",1,NA,"lm_forest",3.8031338150613,2.32610996707808,1.63497593359207
16,5,10000,50,"vcm","1",1,NA,"lm_forest",1.31692077009939,1.06418288603891,1.23749478344011
4,5,10000,50,"vcm","1",1,NA,"lm_forest",1.01489669305738,0.912936384906061,1.11168391339974
256,5,20000,50,"vcm","1",1,NA,"lm_forest",77.6053102541482,39.0863828229485,1.98548201826914
64,5,20000,50,"vcm","1",1,NA,"lm_forest",16.5086630360456,6.93406976806,2.38080428784961
16,5,20000,50,"vcm","1",1,NA,"lm_forest",3.15565665799659,2.59085640311241,1.21799751395163
4,5,20000,50,"vcm","1",1,NA,"lm_forest",2.28654617897701,2.04489910404664,1.11817065910596
256,5,10000,100,"vcm","1",1,NA,"lm_forest",71.2846919760341,22.9935072601074,3.10020960132991
64,5,10000,100,"vcm","1",1,NA,"lm_forest",7.57794975093566,4.60364598210435,1.64607569313393
16,5,10000,100,"vcm","1",1,NA,"lm_forest",2.99065266805701,2.17232293693814,1.37670721843608
4,5,10000,100,"vcm","1",1,NA,"lm_forest",2.03150127991103,1.84775661805179,1.09944202611109
256,5,20000,100,"vcm","1",1,NA,"lm_forest",154.49129259598,82.226770612062,1.87884421881111
64,5,20000,100,"vcm","1",1,NA,"lm_forest",19.9467676910572,14.095522884978,1.41511371048995
16,5,20000,100,"vcm","1",1,NA,"lm_forest",8.21658169198781,5.2069976531202,1.57798836092507
4,5,20000,100,"vcm","1",1,NA,"lm_forest",4.59936870110687,4.81696054211352,0.954827979364934
