"method","median","K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN"
"grad",3.28379772708286,256,5,10000,1,"vcm","3",3,NA,"lm_forest"
"fpt2",1.38434713799506,256,5,10000,1,"vcm","3",3,NA,"lm_forest"
"grad",0.403770032920875,64,5,10000,1,"vcm","3",3,NA,"lm_forest"
"fpt2",0.236628505052067,64,5,10000,1,"vcm","3",3,NA,"lm_forest"
"grad",0.117298340075649,16,5,10000,1,"vcm","3",3,NA,"lm_forest"
"fpt2",0.101353815174662,16,5,10000,1,"vcm","3",3,NA,"lm_forest"
"grad",0.0881280000321567,4,5,10000,1,"vcm","3",3,NA,"lm_forest"
"fpt2",0.080654616933316,4,5,10000,1,"vcm","3",3,NA,"lm_forest"
"grad",13.5991484740516,256,5,20000,1,"vcm","3",3,NA,"lm_forest"
"fpt2",7.55971496214624,256,5,20000,1,"vcm","3",3,NA,"lm_forest"
"grad",1.94258713698946,64,5,20000,1,"vcm","3",3,NA,"lm_forest"
"fpt2",1.45226673397701,64,5,20000,1,"vcm","3",3,NA,"lm_forest"
"grad",0.376725496025756,16,5,20000,1,"vcm","3",3,NA,"lm_forest"
"fpt2",0.279120840947144,16,5,20000,1,"vcm","3",3,NA,"lm_forest"
"grad",0.205922674038447,4,5,20000,1,"vcm","3",3,NA,"lm_forest"
"fpt2",0.196526701096445,4,5,20000,1,"vcm","3",3,NA,"lm_forest"
"grad",30.4682356771082,256,5,10000,50,"vcm","3",3,NA,"lm_forest"
"fpt2",13.7053479430033,256,5,10000,50,"vcm","3",3,NA,"lm_forest"
"grad",4.14116496010683,64,5,10000,50,"vcm","3",3,NA,"lm_forest"
"fpt2",2.60105598310474,64,5,10000,50,"vcm","3",3,NA,"lm_forest"
"grad",1.3097866961034,16,5,10000,50,"vcm","3",3,NA,"lm_forest"
"fpt2",1.08540302910842,16,5,10000,50,"vcm","3",3,NA,"lm_forest"
"grad",0.971287321997806,4,5,10000,50,"vcm","3",3,NA,"lm_forest"
"fpt2",0.891296314075589,4,5,10000,50,"vcm","3",3,NA,"lm_forest"
"grad",76.7472850070335,256,5,20000,50,"vcm","3",3,NA,"lm_forest"
"fpt2",43.1568795860512,256,5,20000,50,"vcm","3",3,NA,"lm_forest"
"grad",10.2680986870546,64,5,20000,50,"vcm","3",3,NA,"lm_forest"
"fpt2",7.65996594692115,64,5,20000,50,"vcm","3",3,NA,"lm_forest"
"grad",3.19338981609326,16,5,20000,50,"vcm","3",3,NA,"lm_forest"
"fpt2",2.67070006811991,16,5,20000,50,"vcm","3",3,NA,"lm_forest"
"grad",2.34837293601595,4,5,20000,50,"vcm","3",3,NA,"lm_forest"
"fpt2",2.16480202204548,4,5,20000,50,"vcm","3",3,NA,"lm_forest"
"grad",69.3183716160711,256,5,10000,100,"vcm","3",3,NA,"lm_forest"
"fpt2",31.3165935321013,256,5,10000,100,"vcm","3",3,NA,"lm_forest"
"grad",7.73604206112213,64,5,10000,100,"vcm","3",3,NA,"lm_forest"
"fpt2",4.82602269004565,64,5,10000,100,"vcm","3",3,NA,"lm_forest"
"grad",2.67156599787995,16,5,10000,100,"vcm","3",3,NA,"lm_forest"
"fpt2",2.30116476106923,16,5,10000,100,"vcm","3",3,NA,"lm_forest"
"grad",2.04324071202427,4,5,10000,100,"vcm","3",3,NA,"lm_forest"
"fpt2",1.86235324607696,4,5,10000,100,"vcm","3",3,NA,"lm_forest"
"grad",171.858696195181,256,5,20000,100,"vcm","3",3,NA,"lm_forest"
"fpt2",79.0883604370756,256,5,20000,100,"vcm","3",3,NA,"lm_forest"
"grad",17.7555085411295,64,5,20000,100,"vcm","3",3,NA,"lm_forest"
"fpt2",12.2060396161396,64,5,20000,100,"vcm","3",3,NA,"lm_forest"
"grad",6.25757628795691,16,5,20000,100,"vcm","3",3,NA,"lm_forest"
"fpt2",5.15659830195364,16,5,20000,100,"vcm","3",3,NA,"lm_forest"
"grad",4.47256237803958,4,5,20000,100,"vcm","3",3,NA,"lm_forest"
"fpt2",3.91058811708353,4,5,20000,100,"vcm","3",3,NA,"lm_forest"
