"method","median","K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN"
"grad",0.873386341962032,256,5,10000,1,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",0.605202093953267,256,5,10000,1,"hte","5",4,3,"multi_arm_causal_forest"
"grad",0.249095709994435,64,5,10000,1,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",0.19240908708889,64,5,10000,1,"hte","5",4,3,"multi_arm_causal_forest"
"grad",0.136453411076218,16,5,10000,1,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",0.0973178599961102,16,5,10000,1,"hte","5",4,3,"multi_arm_causal_forest"
"grad",0.360249576042406,4,5,10000,1,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",0.278186974930577,4,5,10000,1,"hte","5",4,3,"multi_arm_causal_forest"
"grad",1.50882749899756,256,5,20000,1,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",1.24116944801062,256,5,20000,1,"hte","5",4,3,"multi_arm_causal_forest"
"grad",0.661584997083992,64,5,20000,1,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",0.545939159113914,64,5,20000,1,"hte","5",4,3,"multi_arm_causal_forest"
"grad",0.449126397958025,16,5,20000,1,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",0.311295871040784,16,5,20000,1,"hte","5",4,3,"multi_arm_causal_forest"
"grad",0.88211237010546,4,5,20000,1,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",0.566463952069171,4,5,20000,1,"hte","5",4,3,"multi_arm_causal_forest"
"grad",2.7216816181317,256,5,10000,50,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",6.35059071006253,256,5,10000,50,"hte","5",4,3,"multi_arm_causal_forest"
"grad",0.765822549932636,64,5,10000,50,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",0.634948616148904,64,5,10000,50,"hte","5",4,3,"multi_arm_causal_forest"
"grad",0.741261811112054,16,5,10000,50,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",0.598992849001661,16,5,10000,50,"hte","5",4,3,"multi_arm_causal_forest"
"grad",0.716942785889842,4,5,10000,50,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",0.617401183117181,4,5,10000,50,"hte","5",4,3,"multi_arm_causal_forest"
"grad",14.946862053941,256,5,20000,50,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",11.927240912104,256,5,20000,50,"hte","5",4,3,"multi_arm_causal_forest"
"grad",1.97871512908023,64,5,20000,50,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",1.7977438820526,64,5,20000,50,"hte","5",4,3,"multi_arm_causal_forest"
"grad",1.31573825108353,16,5,20000,50,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",1.01613175706007,16,5,20000,50,"hte","5",4,3,"multi_arm_causal_forest"
"grad",1.72602336597629,4,5,20000,50,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",1.35871563607361,4,5,20000,50,"hte","5",4,3,"multi_arm_causal_forest"
"grad",14.0841922990512,256,5,10000,100,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",11.429086085991,256,5,10000,100,"hte","5",4,3,"multi_arm_causal_forest"
"grad",1.53774199215695,64,5,10000,100,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",1.28820917312987,64,5,10000,100,"hte","5",4,3,"multi_arm_causal_forest"
"grad",1.07391741091851,16,5,10000,100,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",0.923067392082885,16,5,10000,100,"hte","5",4,3,"multi_arm_causal_forest"
"grad",1.23174905811902,4,5,10000,100,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",1.10277693904936,4,5,10000,100,"hte","5",4,3,"multi_arm_causal_forest"
"grad",29.9712353108916,256,5,20000,100,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",24.2317961620865,256,5,20000,100,"hte","5",4,3,"multi_arm_causal_forest"
"grad",4.19937869708519,64,5,20000,100,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",3.82693385798484,64,5,20000,100,"hte","5",4,3,"multi_arm_causal_forest"
"grad",3.6687419480877,16,5,20000,100,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",3.09832153201569,16,5,20000,100,"hte","5",4,3,"multi_arm_causal_forest"
"grad",3.51664088806137,4,5,20000,100,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",2.92339168314356,4,5,20000,100,"hte","5",4,3,"multi_arm_causal_forest"
