"K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN","grad","fpt2","fpt2_FACTOR"
256,5,10000,1,"hte","5",4,3,"multi_arm_causal_forest",0.873386341962032,0.605202093953267,1.44313172523404
64,5,10000,1,"hte","5",4,3,"multi_arm_causal_forest",0.249095709994435,0.19240908708889,1.29461510245281
16,5,10000,1,"hte","5",4,3,"multi_arm_causal_forest",0.136453411076218,0.0973178599961102,1.40214150908859
4,5,10000,1,"hte","5",4,3,"multi_arm_causal_forest",0.360249576042406,0.278186974930577,1.29499081016395
256,5,20000,1,"hte","5",4,3,"multi_arm_causal_forest",1.50882749899756,1.24116944801062,1.2156498868192
64,5,20000,1,"hte","5",4,3,"multi_arm_causal_forest",0.661584997083992,0.545939159113914,1.21182916821313
16,5,20000,1,"hte","5",4,3,"multi_arm_causal_forest",0.449126397958025,0.311295871040784,1.4427637490225
4,5,20000,1,"hte","5",4,3,"multi_arm_causal_forest",0.88211237010546,0.566463952069171,1.55722595742111
256,5,10000,50,"hte","5",4,3,"multi_arm_causal_forest",2.7216816181317,6.35059071006253,0.42857141050189
64,5,10000,50,"hte","5",4,3,"multi_arm_causal_forest",0.765822549932636,0.634948616148904,1.20611736202767
16,5,10000,50,"hte","5",4,3,"multi_arm_causal_forest",0.741261811112054,0.598992849001661,1.23751362365596
4,5,10000,50,"hte","5",4,3,"multi_arm_causal_forest",0.716942785889842,0.617401183117181,1.16122677684239
256,5,20000,50,"hte","5",4,3,"multi_arm_causal_forest",14.946862053941,11.927240912104,1.25317013080306
64,5,20000,50,"hte","5",4,3,"multi_arm_causal_forest",1.97871512908023,1.7977438820526,1.10066575602583
16,5,20000,50,"hte","5",4,3,"multi_arm_causal_forest",1.31573825108353,1.01613175706007,1.29485004473269
4,5,20000,50,"hte","5",4,3,"multi_arm_causal_forest",1.72602336597629,1.35871563607361,1.27033451308775
256,5,10000,100,"hte","5",4,3,"multi_arm_causal_forest",14.0841922990512,11.429086085991,1.23231133207708
64,5,10000,100,"hte","5",4,3,"multi_arm_causal_forest",1.53774199215695,1.28820917312987,1.19370520272015
16,5,10000,100,"hte","5",4,3,"multi_arm_causal_forest",1.07391741091851,0.923067392082885,1.16342254111613
4,5,10000,100,"hte","5",4,3,"multi_arm_causal_forest",1.23174905811902,1.10277693904936,1.11695213646818
256,5,20000,100,"hte","5",4,3,"multi_arm_causal_forest",29.9712353108916,24.2317961620865,1.23685570439822
64,5,20000,100,"hte","5",4,3,"multi_arm_causal_forest",4.19937869708519,3.82693385798484,1.09732199534185
16,5,20000,100,"hte","5",4,3,"multi_arm_causal_forest",3.6687419480877,3.09832153201569,1.18410626856436
4,5,20000,100,"hte","5",4,3,"multi_arm_causal_forest",3.51664088806137,2.92339168314356,1.20293182344963
