"K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN","grad","fpt2","fpt2_FACTOR"
256,5,10000,1,"vcm","3",3,NA,"lm_forest",3.28379772708286,1.38434713799506,2.37209124572522
64,5,10000,1,"vcm","3",3,NA,"lm_forest",0.403770032920875,0.236628505052067,1.70634570349853
16,5,10000,1,"vcm","3",3,NA,"lm_forest",0.117298340075649,0.101353815174662,1.15731548806042
4,5,10000,1,"vcm","3",3,NA,"lm_forest",0.0881280000321567,0.080654616933316,1.09265908615026
256,5,20000,1,"vcm","3",3,NA,"lm_forest",13.5991484740516,7.55971496214624,1.79889698780266
64,5,20000,1,"vcm","3",3,NA,"lm_forest",1.94258713698946,1.45226673397701,1.33762420603666
16,5,20000,1,"vcm","3",3,NA,"lm_forest",0.376725496025756,0.279120840947144,1.34968601680695
4,5,20000,1,"vcm","3",3,NA,"lm_forest",0.205922674038447,0.196526701096445,1.04781015958433
256,5,10000,50,"vcm","3",3,NA,"lm_forest",30.4682356771082,13.7053479430033,2.22309100095941
64,5,10000,50,"vcm","3",3,NA,"lm_forest",4.14116496010683,2.60105598310474,1.59210912298925
16,5,10000,50,"vcm","3",3,NA,"lm_forest",1.3097866961034,1.08540302910842,1.20672843264432
4,5,10000,50,"vcm","3",3,NA,"lm_forest",0.971287321997806,0.891296314075589,1.08974681781914
256,5,20000,50,"vcm","3",3,NA,"lm_forest",76.7472850070335,43.1568795860512,1.77833257972245
64,5,20000,50,"vcm","3",3,NA,"lm_forest",10.2680986870546,7.65996594692115,1.34048881655691
16,5,20000,50,"vcm","3",3,NA,"lm_forest",3.19338981609326,2.67070006811991,1.1957126351299
4,5,20000,50,"vcm","3",3,NA,"lm_forest",2.34837293601595,2.16480202204548,1.08479801483048
256,5,10000,100,"vcm","3",3,NA,"lm_forest",69.3183716160711,31.3165935321013,2.21347100044633
64,5,10000,100,"vcm","3",3,NA,"lm_forest",7.73604206112213,4.82602269004565,1.60298501643575
16,5,10000,100,"vcm","3",3,NA,"lm_forest",2.67156599787995,2.30116476106923,1.16096250171961
4,5,10000,100,"vcm","3",3,NA,"lm_forest",2.04324071202427,1.86235324607696,1.09712844022923
256,5,20000,100,"vcm","3",3,NA,"lm_forest",171.858696195181,79.0883604370756,2.17299606725208
64,5,20000,100,"vcm","3",3,NA,"lm_forest",17.7555085411295,12.2060396161396,1.45464942762041
16,5,20000,100,"vcm","3",3,NA,"lm_forest",6.25757628795691,5.15659830195364,1.21350858095465
4,5,20000,100,"vcm","3",3,NA,"lm_forest",4.47256237803958,3.91058811708353,1.14370581716368
